theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,2.0,0.25,0.0,-8493.843646815803,1724.9022618613672,-10128.043916948693,8493.843646815803,1724.9022618613672,10128.043916948693
newton,2.0,0.25,5.0,-7699.594213748182,-1885.5019605380076,-9954.097110135108,7834.627257016677,-1207.263203774761,9954.097110135108
newton,2.0,0.25,10.0,-6496.88861140341,-3872.2219745108914,-9294.916642756369,7070.5905643624565,-2685.221354007331,9294.916642756369
newton,2.0,0.25,15.0,-5291.27782494844,-4970.99522749627,-8481.628667934026,6397.570143178118,-3432.1291985730513,8481.628667934026
newton,2.0,0.25,20.0,-4762.571883157737,-4923.933853725293,-7886.406851547809,6159.43821694301,-2998.0887895071696,7886.406851547809
newton,2.0,0.25,25.0,-4335.687694276545,-4757.418518597595,-7739.0452838457395,5940.03946418454,-2479.3446527916694,7739.0452838457395
newton,2.0,0.25,30.0,-4439.121802719297,-5170.840578336337,-7701.052697925635,6429.812540816452,-2258.5183983990387,7701.052697925635
newton,2.0,0.25,35.0,-5614.847815557272,-5646.4378985512485,-8058.414477563124,7838.0777944138335,-1404.7467468482982,8058.414477563124
newton,2.0,0.25,40.0,-4798.103001488961,-8100.600008039306,-8487.206468517372,8882.525457997453,-3121.25846273116,8487.206468517372
newton,2.0,0.25,45.0,-3047.4685845819963,-9903.566189735622,-7473.282695262781,9157.764512302776,-4847.993109080978,7473.282695262781
newton,2.0,0.25,50.0,-2629.4769912774505,-8976.794647907307,-6626.894679877348,8566.81888699856,-3755.8761368979567,6626.894679877348
newton,2.0,0.25,55.0,-1358.414818683896,-9037.61634356079,-6212.096135708031,8182.336634114587,-4071.015499730195,6212.096135708031
newton,2.0,0.25,60.0,-597.4636507325255,-9277.361305812006,-5264.915385136634,8333.162396286232,-4121.261953533844,5264.915385136634
newton,2.0,0.25,65.0,-921.5292907916606,-8403.53798180658,-4579.689547634793,8005.647018587068,-2716.299442116199,4579.689547634793
