case,perturbation,theory,vector_relative_rms,maximum_group_relative_rms,vertical_component_relative_rms,full_vector_gates_pass
common_thin,lateral,newton,0.0021156824629116363,0.004384042187443167,0.0019053025850274497,True
common_thin,lateral,mond,0.0018879872913143022,0.004093568951348844,0.0017502130249985345,True
common_thin,vertical,newton,0.0059370116625391215,0.011122557394358884,0.008325146757284057,True
common_thin,vertical,mond,0.005086510245192189,0.010083636642579809,0.007477959953021038,True
common_thin,box,newton,3.710778183814426e-05,0.00045496573478119573,8.90594665148961e-06,True
common_thin,box,mond,0.0016171148719558313,0.008038964445528667,0.00033017501720830297,True
common_mixed,lateral,newton,0.0038846718559588404,0.007378546200285795,0.0022101951645139067,True
common_mixed,lateral,mond,0.003438705889666223,0.00718915720318418,0.002016217942125643,True
common_mixed,vertical,newton,0.004159643673178035,0.008187822425754152,0.006580198797545535,True
common_mixed,vertical,mond,0.0037488854801873265,0.007961562649811503,0.006217961395934941,True
common_mixed,box,newton,3.6616258518358985e-05,0.00041535531619145557,1.038692067003293e-05,True
common_mixed,box,mond,0.0016794119682157693,0.007733568986650854,0.0003890336407847193,True
