galaxy,object_group_id,raw_or_P1_astrometry_pass,cleaned_stellar_flux_available,stellar_input,cleaned_stellar_relative_transfer_validated,co21_moment_and_error_available,co_spatial_total_baryon_coverage_validated,total_mass_3d_posterior_validated,admitted_full_field_cube_likelihood,development_exposed,previous_background_all_splits_pass,background_emission_support_overlap,background_excluded_support_partitions,background_excluded_all_declared_splits_pass,joint_raw_image_and_excluded_background_diagnostics_pass,pure_noise_established,selection_mask_validated
DDO154,NAME:DDO154,True,False,raw IRAC flux,False,True,False,False,False,True,True,True,0,False,False,False,False
IC2574,NAME:IC2574,True,False,raw IRAC flux,False,True,False,False,False,True,True,True,0,False,False,False,False
NGC2841,NAME:NGC2841,True,False,raw IRAC flux,False,True,False,False,False,True,False,True,0,False,False,False,False
NGC2903,NAME:NGC2903,True,True,P5 cleaned flux,True,True,False,False,False,True,False,True,0,False,False,False,False
NGC2976,NAME:NGC2976,True,True,P5 cleaned flux,False,True,False,False,False,True,True,False,16,True,True,False,False
NGC3198,NAME:NGC3198,True,True,P5 cleaned flux,False,True,False,False,False,True,False,True,4,False,False,False,False
NGC3521,NAME:NGC3521,True,True,P5 cleaned flux,False,True,False,False,False,True,True,True,11,False,False,False,False
NGC4214,NAME:NGC4214,False,True,P5 cleaned flux,False,True,False,False,False,True,True,True,2,False,False,False,False
NGC5055,NAME:NGC5055,True,False,raw IRAC flux,False,True,False,False,False,True,True,True,0,False,False,False,False
NGC6946,NAME:NGC6946,True,False,raw IRAC flux,False,True,False,False,False,True,True,True,0,False,False,False,False
NGC7331,NAME:NGC7331,True,False,raw IRAC flux,False,True,False,False,False,True,True,True,16,True,True,False,False
UGC04305,NAME:UGC4305,True,False,raw IRAC flux,False,True,False,False,False,True,True,True,0,False,False,False,False
