galaxy,original_noise_passes,mean_corrected_passes,declared_partitions,minimum_original_direct_hi_overlap,maximum_original_direct_hi_overlap,post_exclusion_sufficient_partitions,post_exclusion_passing_partitions
DDO154,16,16,16,0.0,0.15625,0,0
IC2574,16,16,16,0.10875331564986737,0.32432432432432434,0,0
NGC2841,9,10,16,0.12322274881516587,0.40540540540540543,0,0
NGC2903,14,14,16,0.19444444444444445,0.43548387096774194,0,0
NGC2976,16,16,16,0.0,0.0,16,16
NGC3198,10,11,16,0.0,0.30303030303030304,4,4
NGC3521,16,16,16,0.0,0.17142857142857143,11,11
NGC4214,16,16,16,0.0,0.1891891891891892,2,2
NGC5055,16,16,16,0.9166666666666666,1.0,0,0
NGC6946,16,16,16,0.8126888217522659,1.0,0,0
NGC7331,16,16,16,0.0,0.02830188679245283,16,16
UGC04305,16,16,16,0.006896551724137931,0.11345646437994723,0,0
