role,model_id,comparator_ranking_if_applicable,holdout_score,pressure_score,temperature_score,information_criterion_k,discrete_variants_screened,conditional_boundary_observations
candidate,ITEM59_CROSS_SCALE_BOUNDARY,1,9.3233764027,4.20268209341,14.444070712,5,2025,8
comparator,FLEXIBLE_HSE_MONOTONE_PRESSURE_RECONSTRUCTION,6,272.47808764,53.5022583117,491.453916968,31,3,8
comparator,GENERIC_RBF_PRESSURE_CEILING,5,174.183825734,13.1747115692,335.192939899,6,27,8
comparator,GNFW_PRESSURE_SHAPE,4,63.2786897022,14.1225932768,112.434786128,5,18,8
comparator,GR_PLUS_EINASTO,3,30.912589678,11.1034097185,50.7217696375,7,4374,8
comparator,GR_PLUS_NFW,2,28.4383315239,11.0389802832,45.8376827646,6,1944,8
comparator,WRONG_REVERSED_NFW,7,592.776731612,64.6109182048,1120.94254502,6,1944,8
ablation,REMOVE_BOTH_NONLOCAL_CHANNELS,,823.416522598,386.85371497,1259.97933023,5,1,8
ablation,REMOVE_INTERIOR_KERNEL_CHANNEL,,11.5255444211,2.55696241444,20.4941264277,5,1,8
ablation,REMOVE_OCCUPANCY_TRANSITION,,125.833476346,90.086474719,161.580477973,5,1,8
ablation,REMOVE_SYMMETRIC_KERNEL_CHANNEL,,487.190253565,233.488376838,740.892130291,5,1,8
