split,cluster,aggregate_score,pressure_score,temperature_score,disposition
development_train,A1644,18.0219410895,0.299499809539,35.7443823694,
development_train,A1795,6.41400931787,0.557251050025,12.2707675857,
development_train,A2142,7.50030597875,0.87403904324,14.1265729143,
development_train,A2255,3.27188450267,2.57206423801,3.97170476732,
development_train,A2319,15.2880849478,2.67327815486,27.9028917407,
development_train,A3266,19.2799513812,10.4579233979,28.1019793646,
development_train,A85,5.55585837004,4.37891029493,6.73280644515,
development_train,ZW1215,1.65704590647,0.580905111821,2.73318670112,
development_holdout,A1644,6.34878202039,0.927406985391,11.7701570554,
development_holdout,A1795,6.75544637901,2.00729635775,11.5035964003,
development_holdout,A2142,5.09561820121,2.0361091051,8.15512729732,
development_holdout,A2255,4.22196322087,3.58152285901,4.86240358272,
development_holdout,A2319,19.9230091963,6.60159145125,33.2444269413,
development_holdout,A3266,15.5912595023,2.85697565275,28.3255433518,
development_holdout,A85,14.0103525986,15.0225462318,12.9981589653,
development_holdout,ZW1215,2.64058010299,0.588008104164,4.69315210182,
confirmation,A2029,7.42706137588,5.09520435616,9.7589183956,candidate_win
confirmation,A3158,7.39139396244,3.57667803169,11.2061098932,candidate_win
confirmation,A644,12.0975209643,1.61311395402,22.5819279746,candidate_win
confirmation,RXC1825,11.6757828682,2.42416135859,20.9274043777,candidate_win
