fold,band,candidate,core,q,logpdf
0,DC,r0_a0.1,training_r02_c14,4.62461860906486,-3.1706743300106632
0,DC,r0_a0.1,training_r03_c15,5.184761882774798,-3.450745966865633
0,DC,r0_a0.1,training_r04_c16,12.796980936339697,-7.256855493648082
0,DC,r0_a0.1,training_r05_c17,16.343757368055623,-9.030243709506047
0,DC,r0_a0.1,training_r06_c18,4.5896690992046825,-3.153199575080575
0,DC,r0_a0.1,training_r09_c18,9.027118487672121,-5.371924269314294
0,DC,r0_a0.1,training_r10_c19,6.131233202510365,-3.9239816267334167
0,DC,r0_a0.1,training_r12_c18,5.395791526549199,-3.5562607887528332
0,DC,r0_a0.1,training_r16_c16,6.116164550574305,-3.9164473007653866
0,DC,r0_a0.1,training_r18_c12,5.7960498015834565,-3.756389926269962
0,DC,r0_a0.3,training_r02_c14,1.8191493582271439,-2.0673390323204006
0,DC,r0_a0.3,training_r03_c15,2.073337042631889,-2.1944328745227732
0,DC,r0_a0.3,training_r04_c16,4.727991252701616,-3.521759979557637
0,DC,r0_a0.3,training_r05_c17,5.868442034936992,-4.091985370675324
0,DC,r0_a0.3,training_r06_c18,1.855450015263389,-2.0854893608385234
0,DC,r0_a0.3,training_r09_c18,3.691046384119115,-3.003287545266386
0,DC,r0_a0.3,training_r10_c19,2.190737469456284,-2.253133087934971
0,DC,r0_a0.3,training_r12_c18,1.944376654858768,-2.129952680636213
0,DC,r0_a0.3,training_r16_c16,2.3275347787375287,-2.3215317425755932
0,DC,r0_a0.3,training_r18_c12,2.170138601803102,-2.24283365410838
0,DC,r0_a0.6,training_r02_c14,1.1458514388633265,-1.8974494170005005
0,DC,r0_a0.6,training_r03_c15,1.3707414703329976,-2.0098944327353356
0,DC,r0_a0.6,training_r04_c16,2.640242111587616,-2.644644753362645
0,DC,r0_a0.6,training_r05_c17,3.2575830751440202,-2.953315235140847
0,DC,r0_a0.6,training_r06_c18,1.2152715295176195,-1.9321594623276468
0,DC,r0_a0.6,training_r09_c18,2.439246700700636,-2.5441470479191555
0,DC,r0_a0.6,training_r10_c19,1.2392588757925804,-1.9441531354651276
0,DC,r0_a0.6,training_r12_c18,1.1081261515430303,-1.8785867733403525
0,DC,r0_a0.6,training_r16_c16,1.429656148185997,-2.0393517716618357
0,DC,r0_a0.6,training_r18_c12,1.3184890228513,-1.9837682089944872
0,DC,r0_a1.0,training_r02_c14,1.0056756796900816,-1.8982325179627557
0,DC,r0_a1.0,training_r03_c15,1.3146135897614049,-2.052701472998417
0,DC,r0_a1.0,training_r04_c16,1.8456280767092368,-2.3182087164723333
0,DC,r0_a1.0,training_r05_c17,2.3179104959666756,-2.554349926101053
0,DC,r0_a1.0,training_r06_c18,1.1458639528056727,-1.9683266545205513
0,DC,r0_a1.0,training_r09_c18,2.3485470976422698,-2.5696682269388496
0,DC,r0_a1.0,training_r10_c19,1.0005485323174395,-1.8956689442764345
0,DC,r0_a1.0,training_r12_c18,0.8915126710204169,-1.8411510136279232
0,DC,r0_a1.0,training_r16_c16,1.3156680612561846,-2.053228708745807
0,DC,r0_a1.0,training_r18_c12,1.2360522301505719,-2.0134207931930006
0,DC,r1_a0.1,training_r02_c14,4.62461860906486,-3.1706743300106632
0,DC,r1_a0.1,training_r03_c15,5.184761882774798,-3.450745966865633
0,DC,r1_a0.1,training_r04_c16,12.796980936339697,-7.256855493648082
0,DC,r1_a0.1,training_r05_c17,16.343757368055623,-9.030243709506047
0,DC,r1_a0.1,training_r06_c18,4.5896690992046825,-3.153199575080575
0,DC,r1_a0.1,training_r09_c18,9.027118487672121,-5.371924269314294
0,DC,r1_a0.1,training_r10_c19,6.131233202510365,-3.9239816267334167
0,DC,r1_a0.1,training_r12_c18,5.395791526549199,-3.5562607887528332
0,DC,r1_a0.1,training_r16_c16,6.116164550574305,-3.9164473007653866
0,DC,r1_a0.1,training_r18_c12,5.7960498015834565,-3.756389926269962
0,DC,r1_a0.3,training_r02_c14,1.8191493582271439,-2.0673390323204006
0,DC,r1_a0.3,training_r03_c15,2.073337042631889,-2.1944328745227732
