galaxy	point_index	outer_fold	source_family	radius_arcsec	radius_kpc	log10_gbar	log10_radius_over_r50	log10_surface_density	enclosed_mass_fraction	log10_total_mass	inclination_sine	log10_distance	newtonian_speed_km_s	rar_speed_km_s	surface_brightness_q10	surface_brightness_q100	surface_brightness_q1000	acceleration_q0p01	acceleration_q0p1	acceleration_q1	enclosed_mass_fraction_source	outer_inverse_radius_potential_source	outer_radius_lever_source	condition_surface_density	condition_compactness	condition_vacuum_fraction	condition_radial_span	condition_concentration
DDO101	0	2	2015AJ....149..180O	8.460000000000e+00	2.624975194999e-01	2.322928271923e+00	-5.947698724063e-01	1.480254307502e+00	4.716918548758e-02	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	7.430648842104e+00	1.613583347263e+01	7.513502066242e-01	2.320523304517e-01	2.933090805721e-02	8.503135118060e-01	3.622705091660e-01	5.375279958335e-02	4.716918548758e-02	2.254676802895e-01	7.994107245250e-01	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	1	2	2015AJ....149..180O	1.693000000000e+01	5.253053197558e-01	2.272423125722e+00	-2.934832773364e-01	1.344831858825e+00	1.681614412580e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	9.917848325867e+00	2.210054691178e+01	6.886905693650e-01	1.811492737962e-01	2.164357318853e-02	8.349012526681e-01	3.358562448673e-01	4.813560309736e-02	1.681614412580e-01	2.951751190829e-01	6.553037649986e-01	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	2	2	2015AJ....149..180O	2.507000000000e+01	7.778738550666e-01	2.195486460723e+00	-1.229859014871e-01	1.254216366177e+00	3.088762440446e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	1.104581633641e+01	2.561073942914e+01	6.422986162461e-01	1.522282654535e-01	1.763953938028e-02	8.090140588355e-01	2.975548761717e-01	4.063843590410e-02	3.088762440446e-01	3.091948786846e-01	5.396633376808e-01	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	3	2	2015AJ....149..180O	3.353000000000e+01	1.040371374567e+00	2.158493551856e+00	3.293317983493e-03	1.104089125805e+00	5.073995032101e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	1.224167859853e+01	2.893430416320e+01	5.596333272373e-01	1.127542806300e-01	1.254887332949e-02	7.955055771389e-01	2.800632405222e-01	3.744445890192e-02	5.073995032101e-01	2.709958872052e-01	4.136138380774e-01	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	4	2	2015AJ....149..180O	4.199000000000e+01	1.302868894067e+00	2.104691041866e+00	1.010056391926e-01	9.125266959703e-01	7.030272679543e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	1.287644207959e+01	3.130209106096e+01	4.498158593270e-01	7.557825311822e-02	8.109432370962e-03	7.746143396105e-01	2.557773721659e-01	3.322645503669e-02	7.030272679543e-01	1.934944364050e-01	2.765410929658e-01	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	5	2	2015AJ....149..180O	5.046000000000e+01	1.565676694322e+00	2.024264988223e+00	1.808070107362e-01	6.409289811923e-01	8.436238702230e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	1.286718477673e+01	3.263172270906e+01	3.043239017966e-01	4.191162982742e-02	4.355452691589e-03	7.406528405173e-01	2.221431307920e-01	2.776542084129e-02	8.436238702230e-01	1.177542644521e-01	1.600676589724e-01	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	6	2	2015AJ....149..180O	5.859000000000e+01	1.817934948877e+00	1.931102478874e+00	2.456832625622e-01	4.336295267861e-01	9.177805587645e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	1.245490470025e+01	3.318724977240e+01	2.134730808467e-01	2.642404889887e-02	2.706776484657e-03	6.973794297216e-01	1.872870915811e-01	2.252558539551e-02	9.177805587645e-01	6.906360381586e-02	8.710161572090e-02	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	7	2	2015AJ....149..180O	6.706000000000e+01	2.080742749133e+00	1.836252780859e+00	3.043233136475e-01	8.189127075852e-02	9.664274522981e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	1.194635965440e+01	3.348996687942e+01	1.077412669292e-01	1.193104611469e-02	1.206055161240e-03	6.494108084998e-01	1.562848369210e-01	1.818653544577e-02	9.664274522981e-01	3.158242428694e-02	3.691056416757e-02	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO101	8	2	2015AJ....149..180O	7.552000000000e+01	2.343240268633e+00	1.744535758342e+00	3.559217458447e-01	-3.762431712083e-01	9.923139571957e-01	7.853959947968e+00	9.508839692185e-01	8.061799739839e-01	1.140712735395e+01	3.359973002293e+01	4.035233226686e-02	4.187303959287e-03	4.203143815955e-04	5.999517597492e-01	1.304119869101e-01	1.477539890698e-02	9.923139571957e-01	7.699605324473e-03	8.709753356834e-03	-4.184895163989e-01	-6.872124874172e-01	8.137296817223e-01	-3.846245168893e-01	1.822081736431e-01
DDO133	1	2	2015AJ....149..180O	2.202000000000e+01	3.736459040311e-01	1.821917771146e+00	-4.403434983080e-01	9.184925533556e-01	9.575066070015e-02	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	4.979537398697e+00	1.406745223715e+01	4.532177789440e-01	7.654361053927e-02	8.220677346595e-03	6.418592046949e-01	1.519816721795e-01	1.760643744101e-02	9.575066070015e-02	2.569810520751e-01	7.506317823395e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	2	2	2015AJ....149..180O	3.274000000000e+01	5.555479971834e-01	1.774039216217e+00	-2.680821378678e-01	9.058251165370e-01	1.895771304856e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	5.746195546804e+00	1.665765598056e+01	4.460000128313e-01	7.450718700894e-02	7.986248307420e-03	6.161404791099e-01	1.383113437612e-01	1.579762619233e-02	1.895771304856e-01	2.877302725045e-01	6.607386093121e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	3	2	2015AJ....149..180O	4.345000000000e+01	7.372804055473e-01	1.702001463493e+00	-1.451710321591e-01	8.501231728822e-01	2.828592620569e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	6.092802179539e+00	1.836484998066e+01	4.145701537673e-01	6.613157479533e-02	7.031671434393e-03	5.762322578949e-01	1.197015100668e-01	1.341541152233e-02	2.828592620569e-01	2.994051115336e-01	5.808170163236e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	4	2	2015AJ....149..180O	5.476000000000e+01	9.291939012145e-01	1.668283742117e+00	-4.469737348179e-02	7.908000000000e-01	4.157191206752e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	6.579532649795e+00	2.019862994656e+01	3.818505862457e-01	5.817926717481e-02	6.139393595750e-03	5.571707166623e-01	1.117590593272e-01	1.242572448459e-02	4.157191206752e-01	2.808810189212e-01	4.941555781127e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
