cluster	redshift	theta_arcmin	n_members	response_log10_sigma	response_fractional_error	redshift_stratum	extent_stratum	log_y_sz	log_y_snr	log_xi	log_theta_eff	log_da	log_ez	log1pz	thermal_energy_proxy	log_extent	pressure_surface_proxy	detection_aperture_coherence	aperture_filter_ratio	coherence_x_extent	coherence_x_surface	coherence_x_aperture	surface_x_aperture	coherence_squared	alternative_responses_json
0000-5748	0.7004	0.5	56	2.833784374656479	0.15835777126099707	high_z	resolved	-4.086186147616283	0.8346326063360918	0.9289076902439527	-0.25257498915995297	3.1685804517868426	0.16872370467309072	0.23055109629508527	-4.652849304955139	-0.6202684201659264	-3.5810361692963775	0.09427508390786081	0.12763625255165303	-0.05847585735653898	-0.3376024853375004	0.012032918418992003	-0.4570700369009166	0.008887791445834197	"[{""estimator"":""gapper"",""fractional_error"":0.18227424749163879,""log10_sigma"":2.776701183988411,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.1847246891651865,""log10_sigma"":2.7505083948513462,""source_id"":""J/ApJ/792/45/table4""}]"
0014-4952	0.752	0.25	29	2.99563519459755	0.1202020202020202	high_z	unresolved	-3.910094888560602	0.67493176346858	0.9479236198317263	-0.45154499349597177	3.180436785970701	0.1821189172285054	0.24353410183206192	-4.439650164976327	-0.807382090318087	-3.0070049015686586	0.2729918563631464	0.3266062568876718	-0.2204087356302921	-0.8208878501723084	0.08916084836758419	-0.9821066153442216	0.07452455364059675	"[{""estimator"":""gapper"",""fractional_error"":0.1724137931034483,""log10_sigma"":2.9095560292411755,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.17385943279901356,""log10_sigma"":2.909020854211156,""source_id"":""J/ApJ/792/45/table4""}]"
0040-4407	0.3498	0.5	36	3.1000257301078626	0.11834789515488484	low_z	resolved	-3.6595558851598815	1.2265007625332816	1.286456469746983	-0.25257498915995297	3.0079707830164364	0.07884689848814926	0.13026942380537024	-4.637315186224492	-0.7808780889363325	-3.1544059068399757	0.059955707213701255	0.12763625255165303	-0.04681809806986132	-0.18912463698366738	0.007652521787840939	-0.40261654897585325	0.0035946868274950687	"[{""estimator"":""biweight"",""fractional_error"":0.15488482922954727,""log10_sigma"":3.1000257301078626,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.15517241379310345,""log10_sigma"":3.1058506743851435,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.15372549019607842,""log10_sigma"":3.1055101847699738,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.1558339859044636,""log10_sigma"":3.1061908972634154,""source_id"":""J/ApJ/792/45/table4""}]"
0102-4603	0.8405	0.25	20	2.907411360774586	0.16584158415841585	high_z	unresolved	-4.0	0.638272163982407	0.865103974641128	-0.45154499349597177	3.1970380714722753	0.20499825558651907	0.2649358217826855	-4.473473367054562	-0.7907808048165125	-3.0969100130080567	0.22683181065872088	0.3266062568876718	-0.17937424179069006	-0.7024777056977404	0.07408468862229792	-1.0114701872665124	0.0514526703267138	"[{""estimator"":""biweight"",""fractional_error"":0.21065675340768278,""log10_sigma"":2.90687353472207,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.21046077210460773,""log10_sigma"":2.904715545278681,""source_id"":""J/ApJS/227/3/table2""}]"
0106-5943	0.3484	0.5	29	3.11293997608408	0.15188897455666925	low_z	resolved	-3.939302159646388	0.8846065812979305	0.9809119377768436	-0.25257498915995297	3.006838347614752	0.07850026862868692	0.12981874384893433	-4.919672961373829	-0.7820105243380167	-3.4341521813264824	0.0963053564789131	0.12763625255165303	-0.07531180231663444	-0.3307272500254839	0.012292054801619528	-0.4383223151165971	0.009274721686530528	"[{""estimator"":""biweight"",""fractional_error"":0.17334360554699538,""log10_sigma"":3.1132746924643504,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.17331288343558282,""log10_sigma"":3.1152775913959014,""source_id"":""J/ApJS/227/3/table2""}]"
0142-5032	0.6793	0.75	31	3.0	0.11	high_z	resolved	-3.9318141382538383	0.9890046156985368	1.0051805125037803	-0.10205999132796237	3.1631870470117747	0.16324087034191717	0.22512828798208745	-4.514746939474003	-0.47514682710900347	-3.7276941555979137	0.016175896805243475	-0.02287874528033758	-0.0076859260426541025	-0.060298795982461066	-0.00037008422268819185	0.08528496506892774	0.00026165963745388603	"[{""estimator"":""biweight"",""fractional_error"":0.168,""log10_sigma"":3.0,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.1679920477137177,""log10_sigma"":3.0025979807199086,""source_id"":""J/ApJS/227/3/table2""}]"
0212-4657	0.6535	0.75	26	2.9689496809813427	0.12459720730397422	high_z	resolved	-3.9430951486635273	0.9107768156582345	1.0021660617565078	-0.10205999132796237	3.1561133984949983	0.1565360123277232	0.21840419924972165	-4.54688010493144	-0.4822204756257801	-3.7389751660076027	0.09138924609827317	-0.02287874528033758	-0.04406976572059076	-0.34170212160160063	-0.002090871282844477	0.08554306043259585	0.008351994302410739	"[{""estimator"":""biweight"",""fractional_error"":0.1836734693877551,""log10_sigma"":2.9689496809813427,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.18349619978284473,""log10_sigma"":2.964259630196849,""source_id"":""J/ApJS/227/3/table2""}]"
0232-5257	0.5562	0.75	57	3.0086001717619175	0.08529411764705883	low_z	resolved	-4.017728766960432	0.9030899869919435	0.9370161074648142	-0.10205999132796237	3.1238046054401756	0.13129935589020286	0.19206541097929203	-4.711367965775509	-0.5145292686806028	-3.813608784304507	0.03392612047287065	-0.02287874528033758	-0.01745598195607616	-0.1293809510527125	-0.0007761870686488534	0.08725058397496067	0.001150981650339733	[]
0234-5831	0.415	0.5	21	2.974971994298069	0.1641949152542373	low_z	resolved	-3.774690718274137	1.0791812460476249	1.1661339703051092	-0.25257498915995297	3.0542779263059847	0.09515807542501414	0.15075643986030904	-4.643524555822785	-0.7345709456467842	-3.2695407399542313	0.08695272425748432	0.12763625255165303	-0.06387294488438433	-0.28429547440985153	0.011098319873382516	-0.4173119276127168	0.007560776255798102	"[{""estimator"":""gapper"",""fractional_error"":0.1991388589881593,""log10_sigma"":2.968015713993642,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.20086393088552915,""log10_sigma"":2.966610986681934,""source_id"":""J/ApJ/792/45/table4""}]"
0235-5121	0.2776	2.0	78	3.0394141191761372	0.07853881278538813	low_z	resolved	-3.9355420107730814	0.8091854841236125	0.9903388547876014	0.3043966869934654	2.9395501381572013	0.06120842430633595	0.10639490313042654	-5.067781075737975	-0.2923270576421493	-4.5443353847600125	0.18115337066398898	-0.42933542360176535	-0.05295603182816154	-0.8232216723769116	-0.07777555913091132	1.9510441574044313	0.03281654370292458	[]
0243-5930	0.6345	0.25	26	3.062581984228163	0.11688311688311688	high_z	unresolved	-4.026872146400302	0.6720978579357175	0.884795363948981	-0.45154499349597177	3.150541044509471	0.15159957132389637	0.2133849249163878	-4.646738251643096	-0.837277831779317	-3.123782159408358	0.21269750601326345	0.3266062568876718	-0.17808690665965346	-0.6644206746348843	0.06946833628833504	-1.0202467984168524	0.04524022906426224	"[{""estimator"":""biweight"",""fractional_error"":0.1835897435897436,""log10_sigma"":2.989004615698537,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.18404907975460122,""log10_sigma"":2.9903388547876015,""source_id"":""J/ApJS/227/3/table2""}]"
0252-4824	0.4207	0.25	24	2.94546858513182	0.07369614512471655	low_z	unresolved	-4.0655015487564325	0.7883704155653297	0.846955325019824	-0.45154499349597177	3.057802244479589	0.09659811971602791	0.1525023804611257	-4.925846705666857	-0.9300166318091984	-3.162411561764489	0.05858490945449429	0.3266062568876718	-0.05448494016571564	-0.18526959500381845	0.019134197987035553	-1.032863402926196	0.003432191615791294	"[{""estimator"":""biweight"",""fractional_error"":0.19055118110236222,""log10_sigma"":2.8027737252919755,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.19207317073170732,""log10_sigma"":2.8169038393756605,""source_id"":""J/ApJS/227/3/table2""}]"
0254-5857	0.4377	1.5	32	3.160168292958512	0.12378976486860305	low_z	resolved	-3.8239087409443187	1.0969100130080565	1.1501421618485586	0.1820408707055351	3.067885866796722	0.10090464498655644	0.15766827273876932	-4.65978012794995	-0.2863471452905587	-4.187990482355389	0.05323214884050222	-0.30697960731383506	-0.015242873858159936	-0.22293573269934874	-0.016341184147528994	1.2856276737075358	0.0028336616701773822	"[{""estimator"":""gapper"",""fractional_error"":0.15583508036338226,""log10_sigma"":3.1556396337597765,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.15778826702629806,""log10_sigma"":3.1711411510283822,""source_id"":""J/ApJ/792/45/table4""}]"
0304-4401	0.4584	1.0	35	3.0472748673841794	0.10493273542600896	low_z	resolved	-3.7619538968712045	1.0619548440731141	1.1956229435869368	0.013164469361174578	3.079358999889411	0.10617034425132198	0.16387665564691986	-4.5696133184266925	-0.44375041354223044	-3.7882828355935536	0.13366809951382247	-0.13810320596947454	-0.059315274436662735	-0.5063725670546246	-0.018459993078705644	0.5231740047146016	0.017867160827637146	"[{""estimator"":""biweight"",""fractional_error"":0.1570915619389587,""log10_sigma"":3.04688519083771,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.15770609318996415,""log10_sigma"":3.04766419460156,""source_id"":""J/ApJS/227/3/table2""}]"
0304-4921	0.392	1.25	70	3.021602716028242	0.07897240723120837	low_z	resolved	-3.8728952016351923	1.0479235523171828	1.105510184769974	0.10542668265744656	3.039266189932739	0.0893688639663483	0.14363923527454328	-4.777541723388998	-0.3915810102026303	-4.083748566950085	0.057586632452791206	-0.23036541926574652	-0.022549831710031554	-0.23516932775456734	-0.013265968729089691	0.9407544508013479	0.0033162202372528653	[]
0307-6225	0.5801	0.75	20	2.81424759573192	0.23466257668711657	low_z	resolved	-4.040958607678906	0.8798601462734688	0.9273703630390235	-0.10205999132796237	3.1326694172764227	0.13748492092458914	0.19868457307714327	-4.7106826177871035	-0.5056644568443555	-3.8368386250229816	0.04751021676555481	-0.02287874528033758	-0.024024227955311863	-0.18228903476929512	-0.0010869741475927524	0.08778205358366147	0.002257220697110005	"[{""estimator"":""biweight"",""fractional_error"":0.21012269938650308,""log10_sigma"":2.81424759573192,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.21035598705501618,""log10_sigma"":2.790988475088816,""source_id"":""J/ApJS/227/3/table2""}]"
0310-4647	0.7067	0.5	28	2.7902851640332416	0.1166936790923825	high_z	resolved	-4.096910013008056	0.8239087409443188	0.8524799936368563	-0.25257498915995297	3.1701264392115083	0.170360379966551	0.232157188487434	-4.658844520204121	-0.6187224327412606	-3.5917600346881504	0.028571252692537637	0.12763625255165303	-0.017677674972392178	-0.1026210835620329	0.0036467276243818307	-0.4584387908923908	0.0008163164804208392	"[{""estimator"":""biweight"",""fractional_error"":0.1766612641815235,""log10_sigma"":2.7902851640332416,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.1767515923566879,""log10_sigma"":2.797959643737196,""source_id"":""J/ApJS/227/3/table2""}]"
