branch,center,kind,shift,amplitude,actual_maximum_detector_signal_over_sigma
boxcar_independent,10,rotation,0,5,1.34046989655935
boxcar_independent,10,rotation,0,10,2.6809397931187
boxcar_independent,10,rotation,-4,5,1.34046989655935
boxcar_independent,10,rotation,-4,10,2.6809397931187
boxcar_independent,10,rotation,4,5,1.34046989655935
boxcar_independent,10,rotation,4,10,2.6809397931187
boxcar_independent,10,warp,0,5,1.3103848695942415
boxcar_independent,10,warp,0,10,2.620769739188483
boxcar_independent,10,warp,-4,5,1.310384869594242
boxcar_independent,10,warp,-4,10,2.620769739188484
boxcar_independent,10,warp,4,5,1.3103848695942415
boxcar_independent,10,warp,4,10,2.620769739188483
boxcar_independent,10,streaming,0,5,1.145308866756274
boxcar_independent,10,streaming,0,10,2.290617733512548
boxcar_independent,10,streaming,-4,5,1.1453088667562745
boxcar_independent,10,streaming,-4,10,2.290617733512549
boxcar_independent,10,streaming,4,5,1.1453088667562745
boxcar_independent,10,streaming,4,10,2.290617733512549
boxcar_independent,36,rotation,0,5,1.3802566665428548
boxcar_independent,36,rotation,0,10,2.7605133330857097
boxcar_independent,36,rotation,-4,5,1.3802566665428548
boxcar_independent,36,rotation,-4,10,2.7605133330857097
boxcar_independent,36,rotation,4,5,1.3802566665428548
boxcar_independent,36,rotation,4,10,2.7605133330857097
boxcar_independent,36,warp,0,5,1.3521137806116619
boxcar_independent,36,warp,0,10,2.7042275612233238
boxcar_independent,36,warp,-4,5,1.3521137806116619
boxcar_independent,36,warp,-4,10,2.7042275612233238
boxcar_independent,36,warp,4,5,1.3521137806116619
boxcar_independent,36,warp,4,10,2.7042275612233238
boxcar_independent,36,streaming,0,5,1.191032803569546
boxcar_independent,36,streaming,0,10,2.382065607139092
boxcar_independent,36,streaming,-4,5,1.191032803569546
boxcar_independent,36,streaming,-4,10,2.382065607139092
boxcar_independent,36,streaming,4,5,1.191032803569546
boxcar_independent,36,streaming,4,10,2.382065607139092
