detector,group,branch,center,shift,amplitude,kind,mean_true_full_retention_difference
native_core,empirical,boxcar_hanning_decimated,10,0,10,warp,-0.003706330548316039
native_core,empirical,boxcar_hanning_decimated,10,-4,5,warp,-0.004781497892100528
native_core,empirical,boxcar_hanning_decimated,10,-4,10,warp,-0.0061010805673039625
native_core,empirical,boxcar_hanning_decimated,10,4,5,warp,-0.0041570552366248514
native_core,empirical,boxcar_hanning_decimated,10,4,10,warp,-0.003933264677857373
native_core,empirical,boxcar_hanning_decimated,10,0,5,streaming,-0.03685835414716998
native_core,empirical,boxcar_hanning_decimated,10,0,10,streaming,-0.011414761245688743
native_core,empirical,boxcar_hanning_decimated,10,-4,5,streaming,-0.03579213548737176
native_core,empirical,boxcar_hanning_decimated,10,-4,10,streaming,-0.017421629667632832
native_core,empirical,boxcar_hanning_decimated,10,4,5,streaming,-0.03065559845029925
native_core,empirical,boxcar_hanning_decimated,10,4,10,streaming,-0.016497791287865327
native_core,empirical,boxcar_hanning_decimated,36,0,5,warp,-0.0007067843307728694
native_core,empirical,boxcar_hanning_decimated,36,0,10,warp,-0.0006930262224689177
native_core,empirical,boxcar_hanning_decimated,36,-4,5,warp,-0.009228075837512673
native_core,empirical,boxcar_hanning_decimated,36,-4,10,warp,-0.007556604302393355
native_core,empirical,boxcar_hanning_decimated,36,4,5,warp,-0.007931026133982111
native_core,empirical,boxcar_hanning_decimated,36,4,10,warp,-0.0058104177304254545
native_core,empirical,boxcar_hanning_decimated,36,0,5,streaming,-0.03144768326586572
native_core,empirical,boxcar_hanning_decimated,36,0,10,streaming,-0.017112678911217594
native_core,empirical,boxcar_hanning_decimated,36,-4,5,streaming,-0.04010715239556656
native_core,empirical,boxcar_hanning_decimated,36,-4,10,streaming,-0.013945211129626545
native_core,empirical,boxcar_hanning_decimated,36,4,5,streaming,-0.03451993521865293
native_core,empirical,boxcar_hanning_decimated,36,4,10,streaming,-0.019160477530970832
native_core,empirical,boxcar_hanning_decimated,61,0,5,warp,-0.003796117929727949
native_core,empirical,boxcar_hanning_decimated,61,0,10,warp,-0.006801595910449154
native_core,empirical,boxcar_hanning_decimated,61,-4,5,warp,-0.005641678830683616
native_core,empirical,boxcar_hanning_decimated,61,-4,10,warp,-0.004151660715547401
native_core,empirical,boxcar_hanning_decimated,61,4,5,warp,-0.008818540454587132
native_core,empirical,boxcar_hanning_decimated,61,4,10,warp,-0.0031042853958062055
native_core,empirical,boxcar_hanning_decimated,61,0,5,streaming,-0.03147407771379518
native_core,empirical,boxcar_hanning_decimated,61,0,10,streaming,-0.014879483798454052
native_core,empirical,boxcar_hanning_decimated,61,-4,5,streaming,-0.025923848653927606
native_core,empirical,boxcar_hanning_decimated,61,-4,10,streaming,-0.01905347566632276
native_core,empirical,boxcar_hanning_decimated,61,4,5,streaming,-0.039905727165151283
native_core,empirical,boxcar_hanning_decimated,61,4,10,streaming,-0.01243768958691338
native_core,gaussian,boxcar_independent,10,0,5,warp,-0.004310908596355967
native_core,gaussian,boxcar_independent,10,0,10,warp,-0.0007858475196721448
native_core,gaussian,boxcar_independent,10,-4,5,warp,-0.007140509956041319
native_core,gaussian,boxcar_independent,10,-4,10,warp,-0.006837266343645343
native_core,gaussian,boxcar_independent,10,4,5,warp,-0.013189039746701325
native_core,gaussian,boxcar_independent,10,4,10,warp,-0.003490188886415835
native_core,gaussian,boxcar_independent,10,0,5,streaming,-0.034781360048446786
native_core,gaussian,boxcar_independent,10,0,10,streaming,-0.011673833094766217
native_core,gaussian,boxcar_independent,10,-4,5,streaming,-0.03408806540681364
native_core,gaussian,boxcar_independent,10,-4,10,streaming,-0.016948064557394726
native_core,gaussian,boxcar_independent,10,4,5,streaming,-0.04200822853156033
native_core,gaussian,boxcar_independent,10,4,10,streaming,-0.015045296918628326
native_core,gaussian,boxcar_independent,36,0,5,warp,-0.01044528912401832
native_core,gaussian,boxcar_independent,36,0,10,warp,-0.0019216547115439297
native_core,gaussian,boxcar_independent,36,-4,5,warp,-0.0077521655932439315
native_core,gaussian,boxcar_independent,36,-4,10,warp,-0.003584898537739911
native_core,gaussian,boxcar_independent,36,4,5,warp,-0.008106523936437793
native_core,gaussian,boxcar_independent,36,4,10,warp,-0.0019057239869411102
native_core,gaussian,boxcar_independent,36,0,5,streaming,-0.04535752111709468
native_core,gaussian,boxcar_independent,36,0,10,streaming,-0.01877339478503326
native_core,gaussian,boxcar_independent,36,-4,5,streaming,-0.0351400934036622
native_core,gaussian,boxcar_independent,36,-4,10,streaming,-0.015546020351257406
native_core,gaussian,boxcar_independent,36,4,5,streaming,-0.03545546001775135
native_core,gaussian,boxcar_independent,36,4,10,streaming,-0.013142974399752316
native_core,gaussian,boxcar_independent,61,0,5,warp,-0.004067295041640329
native_core,gaussian,boxcar_independent,61,0,10,warp,-0.000626486855339059
native_core,gaussian,boxcar_independent,61,-4,5,warp,-0.009233474198757974
native_core,gaussian,boxcar_independent,61,-4,10,warp,-0.0007124003936886947
native_core,gaussian,boxcar_independent,61,4,5,warp,-0.0058892220676329265
native_core,gaussian,boxcar_independent,61,4,10,warp,-0.0037939450775794636
native_core,gaussian,boxcar_independent,61,0,5,streaming,-0.026745405474311645
native_core,gaussian,boxcar_independent,61,0,10,streaming,-0.009428294759275202
native_core,gaussian,boxcar_independent,61,-4,5,streaming,-0.03698934696306594
native_core,gaussian,boxcar_independent,61,-4,10,streaming,-0.013446826189608463
native_core,gaussian,boxcar_independent,61,4,5,streaming,-0.028285996956764092
native_core,gaussian,boxcar_independent,61,4,10,streaming,-0.011144315260720239
native_core,gaussian,boxcar_hanning_full,10,0,5,warp,-0.003947378401092383
native_core,gaussian,boxcar_hanning_full,10,0,10,warp,-0.0014172188640524386
native_core,gaussian,boxcar_hanning_full,10,-4,5,warp,-0.006286508814062619
native_core,gaussian,boxcar_hanning_full,10,-4,10,warp,-0.004783434241092399
native_core,gaussian,boxcar_hanning_full,10,4,5,warp,-0.006911504376741151
native_core,gaussian,boxcar_hanning_full,10,4,10,warp,-0.003647605746291971
native_core,gaussian,boxcar_hanning_full,10,0,5,streaming,-0.032650943845042135
native_core,gaussian,boxcar_hanning_full,10,0,10,streaming,-0.013116787319510381
native_core,gaussian,boxcar_hanning_full,10,-4,5,streaming,-0.033534419733787846
native_core,gaussian,boxcar_hanning_full,10,-4,10,streaming,-0.013077474239220899
native_core,gaussian,boxcar_hanning_full,10,4,5,streaming,-0.03532489782055759
native_core,gaussian,boxcar_hanning_full,10,4,10,streaming,-0.013929420574895435
native_core,gaussian,boxcar_hanning_full,36,0,5,warp,-0.010388988719597425
native_core,gaussian,boxcar_hanning_full,36,0,10,warp,-0.0033679076877162206
native_core,gaussian,boxcar_hanning_full,36,-4,5,warp,-0.00880096695714927
native_core,gaussian,boxcar_hanning_full,36,-4,10,warp,-0.0034992481146949306
native_core,gaussian,boxcar_hanning_full,36,4,5,warp,-0.008048980922749971
