hrs	radius_kpc	radius_error_kpc	velocity_km_s	velocity_error_km_s	bins	side
65	5.370000000000e+00	5.700000000000e-01	7.900000000000e+01	2.000000000000e+00	16	r
66	1.500000000000e-01	2.000000000000e-02	2.600000000000e+01	8.000000000000e+00	2	a
66	2.100000000000e-01	3.000000000000e-02	3.100000000000e+01	8.000000000000e+00	4	a
66	3.100000000000e-01	2.000000000000e-02	5.300000000000e+01	5.000000000000e+00	5	a
66	4.000000000000e-01	2.000000000000e-02	6.800000000000e+01	6.000000000000e+00	5	a
66	4.800000000000e-01	3.000000000000e-02	7.300000000000e+01	5.000000000000e+00	7	a
66	5.600000000000e-01	3.000000000000e-02	7.600000000000e+01	4.000000000000e+00	7	a
66	6.600000000000e-01	2.000000000000e-02	8.900000000000e+01	2.000000000000e+00	10	a
66	7.300000000000e-01	3.000000000000e-02	9.100000000000e+01	2.000000000000e+00	14	a
66	8.200000000000e-01	3.000000000000e-02	9.800000000000e+01	1.000000000000e+00	12	a
66	9.000000000000e-01	2.000000000000e-02	1.080000000000e+02	2.000000000000e+00	22	a
66	9.900000000000e-01	2.000000000000e-02	1.190000000000e+02	2.000000000000e+00	21	a
66	1.070000000000e+00	2.000000000000e-02	1.170000000000e+02	1.000000000000e+00	23	a
66	1.150000000000e+00	2.000000000000e-02	1.170000000000e+02	2.000000000000e+00	24	a
66	1.230000000000e+00	3.000000000000e-02	1.170000000000e+02	1.000000000000e+00	24	a
66	1.310000000000e+00	2.000000000000e-02	1.210000000000e+02	1.000000000000e+00	24	a
66	1.380000000000e+00	2.000000000000e-02	1.230000000000e+02	1.000000000000e+00	24	a
66	1.460000000000e+00	2.000000000000e-02	1.270000000000e+02	2.000000000000e+00	24	a
66	1.520000000000e+00	2.000000000000e-02	1.280000000000e+02	2.000000000000e+00	24	a
66	1.570000000000e+00	2.000000000000e-02	1.290000000000e+02	1.000000000000e+00	24	a
66	1.620000000000e+00	2.000000000000e-02	1.320000000000e+02	1.000000000000e+00	24	a
66	1.680000000000e+00	2.000000000000e-02	1.350000000000e+02	1.000000000000e+00	24	a
66	1.730000000000e+00	1.000000000000e-02	1.360000000000e+02	2.000000000000e+00	24	a
66	1.780000000000e+00	1.000000000000e-02	1.390000000000e+02	1.000000000000e+00	24	a
66	1.820000000000e+00	1.000000000000e-02	1.420000000000e+02	2.000000000000e+00	24	a
66	1.870000000000e+00	1.000000000000e-02	1.450000000000e+02	1.000000000000e+00	24	a
66	1.910000000000e+00	1.000000000000e-02	1.450000000000e+02	1.000000000000e+00	24	a
66	1.950000000000e+00	1.000000000000e-02	1.460000000000e+02	1.000000000000e+00	24	a
66	2.000000000000e+00	1.000000000000e-02	1.460000000000e+02	1.000000000000e+00	24	a
66	2.040000000000e+00	1.000000000000e-02	1.470000000000e+02	1.000000000000e+00	24	a
66	2.080000000000e+00	1.000000000000e-02	1.500000000000e+02	1.000000000000e+00	24	a
66	2.120000000000e+00	1.000000000000e-02	1.460000000000e+02	2.000000000000e+00	24	a
66	2.170000000000e+00	1.000000000000e-02	1.430000000000e+02	2.000000000000e+00	24	a
66	2.210000000000e+00	1.000000000000e-02	1.480000000000e+02	2.000000000000e+00	24	a
66	2.250000000000e+00	1.000000000000e-02	1.440000000000e+02	2.000000000000e+00	24	a
66	2.300000000000e+00	2.000000000000e-02	1.510000000000e+02	2.000000000000e+00	24	a
66	2.350000000000e+00	1.000000000000e-02	1.510000000000e+02	2.000000000000e+00	24	a
66	2.400000000000e+00	2.000000000000e-02	1.450000000000e+02	2.000000000000e+00	24	a
66	2.460000000000e+00	2.000000000000e-02	1.480000000000e+02	2.000000000000e+00	24	a
66	2.510000000000e+00	1.000000000000e-02	1.450000000000e+02	1.000000000000e+00	24	a
66	2.560000000000e+00	2.000000000000e-02	1.470000000000e+02	2.000000000000e+00	24	a
66	2.620000000000e+00	1.000000000000e-02	1.450000000000e+02	2.000000000000e+00	24	a
66	2.670000000000e+00	2.000000000000e-02	1.480000000000e+02	2.000000000000e+00	24	a
66	2.720000000000e+00	1.000000000000e-02	1.480000000000e+02	2.000000000000e+00	24	a
66	2.780000000000e+00	2.000000000000e-02	1.490000000000e+02	1.000000000000e+00	24	a
66	2.840000000000e+00	2.000000000000e-02	1.480000000000e+02	2.000000000000e+00	24	a
66	2.890000000000e+00	1.000000000000e-02	1.500000000000e+02	2.000000000000e+00	24	a
66	2.940000000000e+00	2.000000000000e-02	1.470000000000e+02	2.000000000000e+00	24	a
66	2.990000000000e+00	2.000000000000e-02	1.470000000000e+02	1.000000000000e+00	24	a
66	3.060000000000e+00	2.000000000000e-02	1.510000000000e+02	2.000000000000e+00	24	a
66	3.110000000000e+00	2.000000000000e-02	1.480000000000e+02	2.000000000000e+00	24	a
66	3.160000000000e+00	2.000000000000e-02	1.530000000000e+02	1.000000000000e+00	24	a
66	3.210000000000e+00	1.000000000000e-02	1.520000000000e+02	1.000000000000e+00	24	a
66	3.270000000000e+00	1.000000000000e-02	1.510000000000e+02	1.000000000000e+00	24	a
66	3.320000000000e+00	1.000000000000e-02	1.560000000000e+02	1.000000000000e+00	24	a
66	3.360000000000e+00	2.000000000000e-02	1.510000000000e+02	2.000000000000e+00	24	a
66	3.410000000000e+00	2.000000000000e-02	1.550000000000e+02	2.000000000000e+00	24	a
66	3.470000000000e+00	2.000000000000e-02	1.570000000000e+02	1.000000000000e+00	24	a
66	3.520000000000e+00	1.000000000000e-02	1.570000000000e+02	2.000000000000e+00	24	a
66	3.560000000000e+00	2.000000000000e-02	1.620000000000e+02	1.000000000000e+00	24	a
66	3.610000000000e+00	1.000000000000e-02	1.560000000000e+02	2.000000000000e+00	24	a
66	3.680000000000e+00	2.000000000000e-02	1.600000000000e+02	1.000000000000e+00	24	a
66	3.740000000000e+00	2.000000000000e-02	1.640000000000e+02	1.000000000000e+00	24	a
66	3.820000000000e+00	2.000000000000e-02	1.690000000000e+02	2.000000000000e+00	24	a
66	3.880000000000e+00	2.000000000000e-02	1.680000000000e+02	1.000000000000e+00	24	a
66	3.960000000000e+00	2.000000000000e-02	1.660000000000e+02	1.000000000000e+00	24	a
66	4.060000000000e+00	3.000000000000e-02	1.710000000000e+02	1.000000000000e+00	24	a
66	4.160000000000e+00	3.000000000000e-02	1.710000000000e+02	2.000000000000e+00	24	a
66	4.320000000000e+00	7.000000000000e-02	1.680000000000e+02	2.000000000000e+00	24	a
66	4.540000000000e+00	9.000000000000e-02	1.740000000000e+02	2.000000000000e+00	24	a
66	5.140000000000e+00	3.500000000000e-01	1.790000000000e+02	4.000000000000e+00	19	a
66	1.300000000000e-01	0.000000000000e+00	9.000000000000e+00	9.000000000000e+00	2	r
66	2.200000000000e-01	0.000000000000e+00	4.000000000000e+01	9.000000000000e+00	1	r
66	2.800000000000e-01	1.000000000000e-02	4.700000000000e+01	6.000000000000e+00	4	r
66	3.800000000000e-01	2.000000000000e-02	6.700000000000e+01	5.000000000000e+00	5	r
66	4.700000000000e-01	2.000000000000e-02	6.600000000000e+01	7.000000000000e+00	5	r
66	5.600000000000e-01	3.000000000000e-02	8.400000000000e+01	3.000000000000e+00	8	r
66	6.400000000000e-01	3.000000000000e-02	9.400000000000e+01	4.000000000000e+00	6	r
66	7.200000000000e-01	2.000000000000e-02	9.600000000000e+01	3.000000000000e+00	9	r
66	8.200000000000e-01	3.000000000000e-02	1.020000000000e+02	4.000000000000e+00	9	r
66	9.100000000000e-01	2.000000000000e-02	1.100000000000e+02	3.000000000000e+00	7	r
66	9.700000000000e-01	2.000000000000e-02	1.050000000000e+02	3.000000000000e+00	8	r
66	1.070000000000e+00	2.000000000000e-02	1.210000000000e+02	5.000000000000e+00	8	r
66	1.270000000000e+00	8.000000000000e-02	1.310000000000e+02	2.000000000000e+00	24	r
66	1.530000000000e+00	6.000000000000e-02	1.350000000000e+02	3.000000000000e+00	24	r
66	1.740000000000e+00	5.000000000000e-02	1.430000000000e+02	3.000000000000e+00	24	r
66	1.970000000000e+00	6.000000000000e-02	1.380000000000e+02	2.000000000000e+00	24	r
66	2.150000000000e+00	5.000000000000e-02	1.460000000000e+02	2.000000000000e+00	24	r
66	2.300000000000e+00	3.000000000000e-02	1.440000000000e+02	2.000000000000e+00	24	r
66	2.410000000000e+00	4.000000000000e-02	1.440000000000e+02	2.000000000000e+00	24	r
66	2.520000000000e+00	3.000000000000e-02	1.500000000000e+02	2.000000000000e+00	24	r
66	2.620000000000e+00	3.000000000000e-02	1.540000000000e+02	2.000000000000e+00	24	r
66	2.730000000000e+00	3.000000000000e-02	1.490000000000e+02	2.000000000000e+00	24	r
66	2.830000000000e+00	3.000000000000e-02	1.520000000000e+02	2.000000000000e+00	24	r
66	2.920000000000e+00	2.000000000000e-02	1.550000000000e+02	2.000000000000e+00	24	r
66	3.010000000000e+00	3.000000000000e-02	1.600000000000e+02	2.000000000000e+00	24	r
66	3.120000000000e+00	3.000000000000e-02	1.560000000000e+02	2.000000000000e+00	24	r
66	3.230000000000e+00	4.000000000000e-02	1.550000000000e+02	2.000000000000e+00	24	r
66	3.340000000000e+00	4.000000000000e-02	1.590000000000e+02	2.000000000000e+00	24	r
66	3.480000000000e+00	5.000000000000e-02	1.620000000000e+02	1.000000000000e+00	24	r
66	3.640000000000e+00	4.000000000000e-02	1.630000000000e+02	2.000000000000e+00	24	r
66	3.800000000000e+00	5.000000000000e-02	1.630000000000e+02	3.000000000000e+00	24	r
