Name [-]	r_5re [kpc]	r_5re_err [kpc]	kT [keV]	kT_err [keV]	log10_fX_0.5-2.0keV [log10(erg cm-2 s-1)]	log10_fX_err [dex]	LX_0.5-2.0keV [1e40 erg s-1]	LX_err [1e40 erg s-1]	Z [Zsun]	Z_err [Zsun]	Cstat_per_dof [-]	sigma_c [km s-1]	sigma_c_err [km s-1]
ESO3060170	89	7	2.40	0.11	-11.88	0.01	382.37	8.80	0.69	0.13	1.2	271.7	13.2
IC1262	123	13	1.80	0.05	-12.02	0.006	229.75	3.17	0.45	0.05	1.2	232.5	9.6
IC1459	35	6	0.70	0.01	-12.52	0.01	2.41	0.06	0.07	0.01	1.1	293.6	6.3
IC1633	135	25	1.84	0.14	-12.40	0.02	52.42	2.41	0.72	0.21	1.0	356.6	12.4
IC4296	77	9	0.94	0.01	-12.28	0.01	18.11	0.42	0.29	0.05	1.1	327.1	5.4
IC5267	38	6	0.48	0.12	-13.27	0.03	0.39	0.03	0.11	0.07	1.0	167.7	5.2
IC5358	250	32	3.34	0.06	-11.43	0.003	694.59	4.80	0.66	0.06	1.3	214.2	5.0
NGC315	88	19	0.76	0.01	-12.35	0.007	27.02	0.44	0.19	0.02	1.5	293.3	0.2
NGC326	191	33	0.94	0.10	-13.80	0.07	8.13	1.31	0.5		1.0	231.9	13.1
NGC383	48	5	0.98	0.02	-12.81	0.01	9.98	0.23	0.5		1.0	271.9	6.7
NGC499	57	8	0.79	0.01	-11.93	0.007	56.15	0.91	0.48	0.07	1.9	253.3	6.7
NGC507	107	12	1.25	0.01	-11.77	0.004	102.43	0.94	0.56	0.04	1.2	291.8	5.9
NGC533	112	15	1.04	0.004	-11.97	0.004	81.85	0.75	0.41	0.03	1.4	271.2	5.6
NGC708	110	14	1.56	0.01	-11.48	0.002	193.03	0.89	0.65	0.02	3.1	222.2	7.8
NGC720	32	3	0.62	0.01	-12.26	0.006	4.11	0.06	0.26	0.03	1.1	235.6	5.6
NGC741	88	7	1.02	0.01	-12.37	0.008	32.75	0.60	0.25	0.03	1.1	286.0	9.3
NGC821	30	7	0.20	0.08	-13.85	0.12	0.10	0.03	0.5		0.9	198.4	2.8
NGC1023	35	4	0.20	0.09	-13.25	0.03	0.21	0.02	0.5		1.1	197.9	4.6
NGC1265	143	17	0.96	0.04	-13.28	0.03	7.43	0.51	0.5		1.1	-	
NGC1266	13	2	0.80	0.03	-13.23	0.03	0.67	0.05	0.5		0.9	94.4	5.2
NGC1316	58	7	0.75	0.01	-12.07	0.006	6.47	0.09	0.22	0.02	1.2	223.7	3.3
NGC1332	30	4	0.70	0.03	-12.42	0.007	2.16	0.04	0.15	0.02	1.1	312.5	10.7
NGC1386	16	4	0.32	0.04	-13.20	0.04	0.23	0.02	0.5		1.1	166.2	18.0
NGC1399	45	5	1.26	0.003	-11.30	0.002	24.96	0.12	0.46	0.01	2.9	333.7	5.3
NGC1404	45	5	0.67	0.004	-11.54	0.003	26.86	0.19	0.19	0.007	1.6	228.1	3.6
NGC1407	44	5	1.02	0.02	-12.13	0.01	5.77	0.13	0.19	0.03	1.4	264.9	5.1
NGC1482	69	7	0.80	0.01	-12.64	0.01	2.06	0.05	0.5		1.6	108.5	7.4
NGC1550	54	5	1.27	0.005	-11.51	0.003	105.04	0.73	0.48	0.02	1.4	300.3	5.3
NGC1600	97	10	1.24	0.02	-12.49	0.01	17.14	0.40	0.32	0.05	1.1	331.4	7.0
NGC1700	45	6	0.51	0.02	-12.68	0.01	7.81	0.18	0.13	0.03	1.1	233.1	3.9
NGC2434	25	3	0.59	0.03	-12.78	0.02	0.79	0.04	0.5		1.2	183.7	5.3
NGC2768	31	4	0.35	0.02	-12.7848	0.01	0.74	0.02	0.5		1.1	184.2	2.8
NGC3079	25	4	0.78	0.01	-12.58	0.01	0.97	0.02	0.5		1.7	175.1	12.3
NGC3091	47	6	0.88	0.01	-12.14	0.006	28.06	0.39	0.57	0.08	1.0	310.2	7.6
NGC3379	29	5	0.24	0.08	-13.31	0.05	0.18	0.02	0.11	0.08	1.4	203.7	1.8
NGC3384	23	3	0.31	0.04	-13.59	0.05	0.09	0.01	0.5		1.0	145.7	2.5
NGC3557	60	7	0.43	0.10	-12.68	0.06	4.91	0.67	0.5		2.2	264.1	7.2
NGC3585	35	4	0.32	0.07	-13.25	0.04	0.28	0.03	0.5		1.1	210.9	6.2
NGC3607	28	3	0.59	0.11	-12.75	0.02	0.73	0.03	0.5		1.1	220.8	4.2
NGC3665	38	5	0.30	0.05	-12.85	0.03	1.48	0.10	0.5		0.9	214.7	8.6
NGC3923	50	6	0.58	0.01	-12.17	0.005	5.02	0.06	0.18	0.02	1.5	246.6	5.6
NGC3955	11	1	0.31	0.03	-13.41	0.04	0.21	0.02	0.5		0.9	94.4	5.3
NGC4036	18	2	0.46	0.07	-13.46	0.06	0.16	0.01	0.5		0.7	197.9	6.3
NGC4073	104	16	1.88	0.02	-11.58	0.003	225.24	1.56	1.67	0.10	1.5	267.0	6.3
NGC4104	132	14	1.43	0.04	-12.38	0.01	74.48	1.71	0.30	0.04	1.3	291.0	5.5
NGC4125	32	3	0.49	0.01	-12.45	0.007	1.60	0.03	0.18	0.02	1.0	238.2	7.0
NGC4203	21	3	0.28	0.03	-12.92	0.02	0.44	0.02	0.5		1.0	160.8	5.5
NGC4261	45	4	0.80	0.006	-12.26	0.005	6.61	0.08	0.19	0.01	1.5	296.4	4.3
NGC4278	25	3	0.33	0.02	-13.02	0.01	0.35	0.01	0.5		1.0	234.3	4.5
NGC4325	16	1	0.93	0.006	-11.82	0.004	224.34	2.07	0.51	0.04	0.9	-	
NGC4342	11	1	0.64	0.02	-13.06	0.01	0.32	0.01	0.16	0.04	1.0	240.7	5.7
NGC4365	28	2	0.44	0.02	-12.97	0.02	0.41	0.02	0.5		1.1	246.9	2.6
NGC4374	32.51	3	0.81	0.005	-11.85	0.004	5.18	0.05	0.16	0.007	1.4	274.9	2.4
NGC4382	34	3	0.44	0.03	-12.51	0.01	1.13	0.03	0.23	0.05	1.1	175.3	3.5
NGC4388	39	4	0.98	0.05	-12.63	0.03	3.68	0.25	0.5		4.9	98.9	9.4
NGC4406	35	3	0.88	0.01	-11.55	0.01	10.28	0.24	0.34	0.03	1.1	230.0	2.6
NGC4457	18	2	0.59	0.02	-12.83	0.02	0.54	0.03	0.17	0.05	1.1	113.3	9.8
NGC4472	36	3	1.06	0.002	-11.30	0.002	18.36	0.08	0.55	0.02	3.0	280.8	2.9
NGC4477	21	3	0.34	0.02	-12.63	0.01	1.04	0.03	0.5		1.1	172.2	6.2
NGC4486	35	4	1.85	0.002	-10.19	0.0003	262.93	0.18	0.75	0.004	4.3	321.7	4.3
NGC4526	25	3	0.37	0.02	-13.06	0.02	0.32	0.02	0.5		1.2	224.4	9.4
NGC4552	24	2	0.64	0.01	-12.17	0.007	2.48	0.04	0.16	0.02	1.2	249.7	2.9
NGC4555	63	7	1.05	0.02	-12.82	0.01	16.83	0.33	0.33	0.07	1.3	344.0	28.5
NGC4564	13	3	0.38	0.15	-13.61	0.11	0.09	0.02	0.5		0.9	155.9	2.2
NGC4621	24	3	0.26	0.07	-13.65	0.09	0.02	0.004	0.5		1.1	227.7	3.8
NGC4636	34	3	0.75	0.003	-11.27	0.002	19.68	0.09	0.42	0.02	1.7	199.7	2.7
NGC4649	41	4	0.94	0.003	-11.48	0.002	12.13	0.06	0.58	0.03	2.0	329.1	4.6
NGC4696	64	5	1.88	0.02	-10.74	0.003	391.42	2.70	0.86	0.04	2.2	243.8	6.5
NGC4697	35	3	0.31	0.01	-12.77	0.02	0.64	0.03	0.5		1.1	166.6	1.6
NGC4710	17	2	0.32	0.05	-13.56	0.06	0.10	0.01	0.5		1.1	116.5	6.4
NGC4782	64	3	1.02	0.01	-12.65	0.01	11.88	0.28	0.5		1.8	308.5	11.2
NGC4936	69	4	0.91	0.04	-12.31	0.02	11.71	0.54	0.22	0.09	0.8	278.2	14.8
