Name [-]	RA_gal_l [deg]	DEC_gal_b [deg]	ObsID [-]	Exposure_before [ks]	Exposure_after [ks]	MorphType [-]	BCG_flag [Y/blank]	cD_flag [Y/blank]	z [-]	D_A [Mpc]	D_A_isVirgoAssumed [0/1]	D_L [Mpc]	D_L_isVirgoAssumed [0/1]	NH_gal [1e20 cm-2]	NH_intrinsic_or_total [1e20 cm-2]
ESO3060170	246.41	-30.289	multi	28.05	25.96	E3	Y		0.035805	145.1	0	155.7	0	3.51	13.4
IC1262	69.5188	32.0738	multi	113.68	106.17	E	Y		0.032649	133.0	0	141.8	0	2.47	21.2
IC1459	4.6590	-64.1096	2196	58.83	45.14	E3			0.006011	25.503	0	25.8	0	1.19	1.68
IC1633	293.098	-70.8424	4971	24.79	22.24	E1	Y	Y	0.02425	100.0	0	104.9	0	2.01	5.34
IC4296	313.5384	27.9729	multi	48.53	40.05	E			0.012465	52.358	0	53.7	0	4.11	12.4
IC5267	350.2369	-61.801	3947	54.97	43.71	SA0			0.005711	24.241	0	24.5	0	1.62	1.91
IC5358	25.1415	-75.8683	multi	39.61	38.82	E4	Y	Y	0.02884	118.1	0	125.0	0	1.54	7.2
NGC315	124.5631	-32.4991	4156	55.02	39.49	E		Y	0.016485	68.816	0	71.1	0	5.87	48.2
NGC326	124.8444	-35.9797	6830	90.83	90.83	E	Y	Y	0.047400	188.8	0	207.1	0	5.81	68.7
NGC383	126.8391	-30.3379	2147	44.41	41.29	S0			0.017005	70.930	0	73.4	0	5.42	21.5
NGC499	130.4977	-28.9448	multi	38.62	38.48	E5			0.014673	61.423	0	63.2	0	5.26	13.6
NGC507	130.6430	-29.1326	317	43.63	40.30	S0	Y		0.016458	68.706	0	71.0	0	5.32	13.7
NGC533	140.1457	-59.9683	2880	37.61	28.40	E3		Y	0.018509	77.025	0	79.9	0	3.12	24.7
NGC708	136.5695	-25.0903	multi	139.43	137.38	E	Y	Y	0.016195	67.635	0	69.8	0	5.37	11.5
NGC720	173.0194	-70.3572	multi	99.21	98.22	E5			0.005821	24.704	0	25.0	0	1.55	13.9
NGC741	150.9342	-53.6764	2223	30.35	28.14	E0			0.018549	77.186	0	80.1	0	4.47	59.2
NGC821	151.5555	-47.5568	multi	188.31	181.64	E6			0.005787	24.561	0	24.8	0	6.34	13.0
NGC1023	145.0232	-19.0892	multi	616.18	188.09	SB0			0.002125	16.5	1	17.5	1	7.17	4.26
NGC1265	150.1336	-13.1299	3237	93.86	93.60	E		Y	0.025137	103.6	0	108.8	0	14.3	5.25
NGC1266	183.6680	-47.5077	11578	153.60	28.63	SB			0.007238	30.649	0	31.1	0	5.39	7.16
NGC1316	240.1627	-56.6898	2022	29.86	21.21	S0			0.005871	24.914	0	25.2	0	1.92	48.4
