Name [-]	T_type_RC3 [-]	D [Mpc]	r_e [arcmin]	r_e [kpc] (RECONSTRUCTED = D*1000*r_e_arcmin*pi/10800)	log10_L_B [log10(Lsun_B)]	sigma [km s-1]	NH [1e20 cm-2]	Xray_morph_class [XC=compact/XE=extended]	Environment [-]	r_0.5re [kpc] (RECONSTRUCTED)	r_3re [kpc] (RECONSTRUCTED)	r_6re [kpc] (RECONSTRUCTED)	M_over_LB_lt_0.5re [Msun/Lsun_B]	M_over_LB_lt_3re [Msun/Lsun_B]	M_over_LB_lt_6re [Msun/Lsun_B]	M_over_LK_lt_0.5re [Msun/Lsun_K]	M_over_LK_lt_3re [Msun/Lsun_K]	M_over_LK_lt_6re [Msun/Lsun_K]	M_tot_hydrostatic_lt_0.5re [Msun] (RECONSTRUCTED = M_over_LB * 10^log10_L_B)	M_tot_hydrostatic_lt_3re [Msun] (RECONSTRUCTED)	M_tot_hydrostatic_lt_6re [Msun] (RECONSTRUCTED)
IC1459	-5.0	20	0.58	3.374	10.42	311	1.18	XC		1.687	10.12	20.25	8.8	18.1	29.9	1.4	2.9	4.8	2.315e+11	4.761e+11	7.865e+11
NGC720	-5.0	20.3	0.6	3.543	10.34	240	1.54	XC		1.772	10.63	21.26	8.7	19.5	33.6	1.7	3.9	6.7	1.903e+11	4.266e+11	7.351e+11
NGC1316	-2.0	16.9	1.35	6.637	10.78	250	1.89	XC	Fornax	3.318	19.91	39.82	9.1	17.8	29.5	1.5	3	4.9	5.483e+11	1.073e+12	1.778e+12
NGC1332	-2.0	17.7	0.47	2.42	10.22	319	2.23	XC		1.21	7.26	14.52	10.6	16.5	27.3	1.7	2.7	4.4	1.759e+11	2.738e+11	4.531e+11
NGC1395	-5.0	20	0.81	4.712	10.33	254	1.99	XE		2.356	14.14	28.27	10.9	27.7	50.9	1.5	3.9	7.2	2.33e+11	5.922e+11	1.088e+12
NGC1399	-5.0	16.9	0.68	3.343	10.31	362	1.34	XE	Fornax	1.671	10.03	20.06	14.3	27.1	58.1	1.6	3	6.4	2.92e+11	5.533e+11	1.186e+12
NGC1549	-5.0	13.4	0.78	3.04	10.1	213	1.46	XC		1.52	9.121	18.24	10.2	20.9		1.7	3.5		1.284e+11	2.631e+11	
NGC3585	-5.0	21.6	0.6	3.77	10.56	227	5.58	XC		1.885	11.31	22.62	4	6.9	11.4	0.7	1.2	1.9	1.452e+11	2.505e+11	4.139e+11
NGC3607	-2.0	19.9	0.73	4.226	10.41	223	1.48	XC		2.113	12.68	25.35	8.1	17.3	30.8	1.5	3.2	5.8	2.082e+11	4.447e+11	7.917e+11
NGC3665	-2.0	32.4	0.48	4.524	10.54	186	2.06	XC		2.262	13.57	27.14	4.8	10	16.6	0.9	1.8	3	1.664e+11	3.467e+11	5.756e+11
NGC3923	-5.0	25.8	0.83	6.229	10.68	241	6.21	XC		3.115	18.69	37.37	8.2	13.7	20.4	1.1	1.8	2.6	3.925e+11	6.557e+11	9.764e+11
NGC4365	-5.0	16.8	0.83	4.056	10.4	266	1.62	XC	Virgo	2.028	12.17	24.34	8.4	17.4		1.6	3.2		2.11e+11	4.371e+11	
NGC4382	-2.0	16.8	0.91	4.447	10.64	187	2.52	XC	Virgo	2.224	13.34	26.68	3.3	6	8.7	0.7	1.2	1.8	1.441e+11	2.619e+11	3.798e+11
NGC4472	-5.0	16.8	1.74	8.503	10.92	302	1.66	XE	Virgo	4.252	25.51	51.02	6.5	23.8	40.4	1.3	4.7	7.9	5.406e+11	1.98e+12	3.36e+12
NGC4477	-2.0	16.8	0.63	3.079	10.14	175	2.64	XC	Virgo	1.539	9.236	18.47	10	22	31	2	4.3	6.1	1.38e+11	3.037e+11	4.279e+11
NGC4526	-2.0	16.8	0.74	3.616	10.41	260	1.65	XC	Virgo	1.808	10.85	21.7	5.3	9.2		0.9	1.5		1.362e+11	2.365e+11	
NGC4552	-5.0	16.8	0.49	2.395	10.35	262	2.57	XC	Virgo	1.197	7.184	14.37	7.4	10.9		1.3	1.9		1.657e+11	2.44e+11	
NGC4636	-5.0	17	1.48	7.319	10.46	208	1.81	XE	Virgo	3.659	21.96	43.91	9.8	43	75.3	1.7	7.3	12.8	2.826e+11	1.24e+12	2.172e+12
NGC4649	-5.0	16.8	1.15	5.62	10.74	343	2.2	XC	Virgo	2.81	16.86	33.72	9.1	21.4	36.4	1.6	3.8	6.5	5.001e+11	1.176e+12	2e+12
NGC5044	-5.0	38.9	0.89	10.07	10.6	237	4.93	XE		5.035	30.21	60.43	6.9	41.5	109.9	1	6	15.9	2.747e+11	1.652e+12	4.375e+12
NGC5322	-5.0	31.6	0.56	5.148	10.86	233	1.81	XC		2.574	15.44	30.89	2.7	4.8	7.2	0.7	1.2	1.8	1.956e+11	3.477e+11	5.216e+11
NGC5846	-5.0	28.5	1.05	8.705	10.66	251	4.26	XE		4.352	26.11	52.23	10.5	30.8	80.6	1.6	4.8	12.5	4.799e+11	1.408e+12	3.684e+12
