Name [-]	MorphType [-]	BCG_flag [Y/blank]	cD_flag [Y/blank]	z [-]	D_A [Mpc]	D_L [Mpc]	r_5re [kpc]	r_5re_err [kpc]	kT [keV]	kT_err [keV]	LX_0.5-2.0keV [1e40 erg s-1]	LX_err [1e40 erg s-1]	Z [Zsun]	Z_err [Zsun]	sigma_c [km s-1]	sigma_c_err [km s-1]	M_gas_lt_5re [1e11 Msun]	M_gas_err [1e11 Msun]	M_tot_hydrostatic_lt_5re [1e13 Msun]	M_tot_err_stat [1e13 Msun]	M_tot_err_sys [1e13 Msun]
ESO3060170	E3	Y		0.035805	145.1	155.7	89	7	2.40	0.11	382.37	8.80	0.69	0.13	271.7	13.2	17.09	1.33	1.06	0.18	0.35
IC1262	E	Y		0.032649	133.0	141.8	123	13	1.80	0.05	229.75	3.17	0.45	0.05	232.5	9.6	38.6	3.7	1.40	0.20	0.42
IC1459	E3			0.006011	25.503	25.8	35	6	0.70	0.01	2.41	0.06	0.07	0.01	293.6	6.3	0.27	0.11	0.14	0.01	0.03
IC1633	E1	Y	Y	0.02425	100.0	104.9	135	25	1.84	0.14	52.42	2.41	0.72	0.21	356.6	12.4	4.63	0.45	1.70	0.08	0.21
IC4296	E			0.012465	52.358	53.7	77	9	0.94	0.01	18.11	0.42	0.29	0.05	327.1	5.4	0.61	0.16	0.55	0.08	0.12
IC5267	SA0			0.005711	24.241	24.5	38	6	0.48	0.12	0.39	0.03	0.11	0.07	167.7	5.2	0.44	0.12	0.08	0.01	0.03
IC5358	E4	Y	Y	0.02884	118.1	125.0	250	32	3.34	0.06	694.59	4.80	0.66	0.06	214.2	5.0	15.65	2.11	1.77	0.11	0.20
NGC315	E		Y	0.016485	68.816	71.1	88	19	0.76	0.01	27.02	0.44	0.19	0.02	293.3	0.2	2.72	0.65	0.38	0.02	0.05
NGC326	E	Y	Y	0.047400	188.8	207.1	191	33	0.94	0.10	8.13	1.31	0.5		231.9	13.1	1.74	0.61	1.31	0.24	0.51
NGC383	S0			0.017005	70.930	73.4	48	5	0.98	0.02	9.98	0.23	0.5		271.9	6.7	0.18	0.03	0.52	0.02	0.04
NGC499	E5			0.014673	61.423	63.2	57	8	0.79	0.01	56.15	0.91	0.48	0.07	253.3	6.7	4.78	0.63	0.16	0.01	0.02
NGC507	S0	Y		0.016458	68.706	71.0	107	12	1.25	0.01	102.43	0.94	0.56	0.04	291.8	5.9	6.96	0.54	0.52	0.01	0.02
NGC533	E3		Y	0.018509	77.025	79.9	112	15	1.04	0.004	81.85	0.75	0.41	0.03	271.2	5.6	9.28	1.12	0.65	0.02	0.04
NGC708	E	Y	Y	0.016195	67.635	69.8	110	14	1.56	0.01	193.03	0.89	0.65	0.02	222.2	7.8	18.10	2.64	0.49	0.01	0.02
NGC720	E5			0.005821	24.704	25.0	32	3	0.62	0.01	4.11	0.06	0.26	0.03	235.6	5.6	0.54	0.05	0.09	0.01	0.02
NGC741	E0			0.018549	77.186	80.1	88	7	1.02	0.01	32.75	0.60	0.25	0.03	286.0	9.3	5.96	0.73	0.43	0.02	0.04
