Name [-]	RA_resolved [deg, J2000]	DE_resolved [deg, J2000]	name_resolver [-]	match_sep [arcsec]	Ks_total [mag]	e_Ks_total [mag]	Ks_catalogue [-]	Ks_column [-]	Ks_extinction_corrected [yes/no]	xsc_2MASX_id [-]	xsc_K.ext [mag]	xsc_e_K.ext [mag]	xsc_r.ext [arcsec]	mrs_Ktmag [mag]	mrs_sep [arcsec]	mrs_CAT_id [-]	leda_kt [mag]	leda_e_kt [mag]	atlas3d_KMAG_abs [mag]	atlas3d_Dist [Mpc]	atlas3d_mK_apparent [mag] (RECONSTRUCTED = KMAG + 5log10(Dist*1e5))	atlas3d_minus_ours [mag]	flags [-]
NGC4697	192.149576	-5.800690	stras	0.59	6.367	0.027	VII/233/xsc	K.ext (2MASS k_m_ext)	no	12483590-0548030	6.367	0.027	240.20	6.357	0.59	NGC_4697	6.35	0.15	-23.93	11.4	6.355	-0.012	
NGC4710	192.412325	15.165489	stras	0.01	7.567	0.020	VII/233/xsc	K.ext (2MASS k_m_ext)	no	12493895+1509557	7.567	0.020	190.50	7.557	0.02	NGC_4710	7.58	0.05	-23.53	16.5	7.557	-0.010	
NGC4782	193.648742	-12.568589	stras	0.01	7.751	0.018	VII/233/xsc	K.ext (2MASS k_m_ext)	no	12543569-1234069	7.751	0.018	118.17	8.058	0.08	12543570-1234070	7.82	0.11					
NGC4936	196.071213	-30.526308	stras	0.00	7.731	0.020	VII/233/xsc	K.ext (2MASS k_m_ext)	no	13041709-3031347	7.731	0.020	98.70	7.702	0.13	g1304171-303135	7.75	0.06					
NGC5018	198.254355	-19.518236	stras	0.68	7.734	0.014	VII/233/xsc	K.ext (2MASS k_m_ext)	no	13130099-1931058	7.734	0.014	90.57	7.700	0.54	g1313010-193106	7.77	0.05					
NGC5044	198.849837	-16.385430	stras	0.46	7.710	0.020	VII/233/xsc	K.ext (2MASS k_m_ext)	no	13152396-1623079	7.710	0.020	85.93	7.685	0.38	NGC_5044	7.72	0.04					
NGC5171	202.339878	11.735108	stras	0.42	10.039	0.047	VII/233/xsc	K.ext (2MASS k_m_ext)	no	13292154+1144065	10.039	0.047	48.43	10.028	0.14	NGC_5171	10.08	0.08					
NGC5353	208.361294	40.283111	stras	0.35	7.625	0.012	VII/233/xsc	K.ext (2MASS k_m_ext)	no	13532674+4016592	7.625	0.012	115.58	7.621	0.17	NGC_5353	7.55	0.12	-25.11	35.2	7.623	-0.002	
NGC5532	214.220571	10.807394	stras	0.22	8.764	0.024	VII/233/xsc	K.ext (2MASS k_m_ext)	no	14165292+1048264	8.764	0.024	60.99	8.755	0.13	14165294+1048267	8.78	0.03					
NGC5813	225.296793	1.701984	stras	0.52	7.413	0.031	VII/233/xsc	K.ext (2MASS k_m_ext)	no	15011126+0142070	7.413	0.031	162.50	7.393	0.53	NGC_5813	7.44	0.09	-25.09	31.3	7.388	-0.025	
NGC5846	226.621888	1.605636	stras	0.01	6.935	0.023	VII/233/xsc	K.ext (2MASS k_m_ext)	no	15062925+0136202	6.935	0.023	149.45	6.929	1.14	15062920+0136210	6.98	0.05	-25.01	24.2	6.909	-0.026	
NGC5866	226.623171	55.763308	stras	0.01	6.873	0.018	VII/233/xsc	K.ext (2MASS k_m_ext)	no	15062956+5545479	6.873	0.018	194.50	6.868	0.01	NGC_5866	6.88	0.04	-24.00	14.9	6.866	-0.007	
NGC6098	243.892449	19.461976	stras	36.19	10.223	0.042	VII/233/xsc	K.ext (2MASS k_m_ext)	no	16153554+1927123	10.223	0.042	51.57	10.205	36.31	16153556+1927121	10.17	0.10					large_sep_36.2arcsec;offset_match_corroborated_by_name_lookup
NGC6107	244.333929	34.901661	stras		9.375		J/ApJS/199/26/table3	Ktmag (2MRS total Ks)	yes					9.375	0.67	NGC_6107	9.38	0.05					FALLBACK_2mrs
NGC6251	248.133208	82.537889	stras	0.45	9.026	0.024	VII/233/xsc	K.ext (2MASS k_m_ext)	no	16323175+8232165	9.026	0.024	54.57	8.995	0.23	NGC_6251	9.06	0.05					
