Name [-]	beta [-]	beta_err [-]	r_c [kpc]	r_c_err [kpc]	rho_0 [1e-24 g cm-3]	rho_0_err [1e-24 g cm-3]	chi2 [-]	M_gas_lt_5re [1e11 Msun]	M_gas_err [1e11 Msun]	M_tot_hydrostatic_lt_5re [1e13 Msun]	M_tot_err_stat [1e13 Msun]	M_tot_err_sys [1e13 Msun]
ESO3060170	0.41	0.03	3.23	0.68	1.28	0.14	93	17.09	1.33	1.06	0.18	0.35
IC1262	0.57	0.04	27.3	2.27	0.25	0.05	217	38.6	3.7	1.40	0.20	0.42
IC1459	0.50	0.01	0.20	0.02	12.8	1.60	220	0.27	0.11	0.14	0.01	0.03
IC1633	0.63	0.02	1.88	0.15	3.37	0.40	243	4.63	0.45	1.70	0.08	0.21
IC4296	0.65	0.02	0.69	0.04	10.1	1.25	120	0.61	0.16	0.55	0.08	0.12
IC5267	0.37	0.02	0.18	0.01	2.71	0.30	120	0.44	0.12	0.08	0.01	0.03
IC5358	0.19	0.01	7.00	0.26	0.48	0.12	200	15.65	2.11	1.77	0.11	0.20
NGC315	0.53	0.01	0.79	0.04	6.77	0.72	108	2.72	0.65	0.38	0.02	0.05
NGC326	0.67	0.13	3.28	0.90	0.61	0.17	54	1.74	0.61	1.31	0.24	0.51
NGC383	0.90	0.13	2.88	0.07	1.74	0.15	160	0.18	0.03	0.52	0.02	0.04
NGC499	0.34	0.01	2.86	0.44	0.73	0.12	141	4.78	0.63	0.16	0.01	0.02
NGC507	0.35	0.01	0.47	0.07	3.57	0.39	178	6.96	0.54	0.52	0.01	0.02
NGC533	0.53	0.01	2.61	0.11	2.49	0.24	114	9.28	1.12	0.65	0.02	0.04
NGC708	0.35	0.01	2.69	0.06	1.70	0.21	462	18.10	2.64	0.49	0.01	0.02
NGC720	0.40	0.01	0.65	0.07	1.58	0.17	112	0.54	0.05	0.09	0.01	0.02
NGC741	0.46	0.01	1.09	0.09	0.33	0.05	161	5.96	0.73	0.43	0.02	0.04
NGC821	0.48	0.01	0.04	0.004	4.55	0.51	470	0.10	0.02	0.03	0.02	0.02
NGC1023	0.35	0.01	0.01	0.003	5.02	0.68	124	0.22	0.05	0.03	0.01	0.02
NGC1265	0.90	0.03	3.78	0.12	0.82	0.11	114	0.30	0.03	1.47	0.01	0.02
NGC1266	0.48	0.02	0.09	0.03	2.08	1.08	301	0.05	0.01	0.05	0.01	0.02
