image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
S1	SN_Refsdal	177.3982292	22.3956250	1.489	spec			parity=+	MODEL-DERIVED lensing params (not observables): kappa=0.722 gamma=0.093 mu=14.6 mu_t=5.4 mu_r=2.7
S2	SN_Refsdal	177.3977250	22.3957833	1.489	spec			parity=-	MODEL-DERIVED lensing params (not observables): kappa=0.733 gamma=0.361 mu=16.8 mu_t=-10.6 mu_r=1.5
S3	SN_Refsdal	177.3973750	22.3955333	1.489	spec			parity=+	MODEL-DERIVED lensing params (not observables): kappa=0.675 gamma=0.230 mu=19.0 mu_t=10.5 mu_r=1.8
S4	SN_Refsdal	177.3978083	22.3951750	1.489	spec			parity=-	MODEL-DERIVED lensing params (not observables): kappa=0.727 gamma=0.466 mu=7.0 mu_t=-5.2 mu_r=1.4
SX	SN_Refsdal	177.4000917	22.3966944	1.489	spec			parity=-	MODEL-DERIVED lensing params (not observables): kappa=0.966 gamma=0.488 mu=4.2 mu_t=-2.2 mu_r=1.9
