cluster	image_id	system_id	ra_deg	dec_deg	z	z_flag	z_free_in_model	z_spec_reference	id_reference
Abell 2744	1.1	1	3.597568	-30.403941	1.500000	spec	Y	Wang et al. 2015	Merten et al. 2011
Abell 2744	1.2	1	3.595964	-30.406808	1.500000	spec	Y	Wang et al. 2015	Merten et al. 2011
Abell 2744	1.3	1	3.586224	-30.409992	1.500000	spec	Y	Wang et al. 2015	Merten et al. 2011
Abell 2744	2.1	2	3.583248	-30.403342	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	2.2	2	3.597296	-30.396724	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	2.3	2	3.585413	-30.399892	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	2.4	2	3.586418	-30.402125	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	3.1	3	3.589374	-30.393875	3.980000	spec	N	Johnson et al. 2014	Merten et al. 2011
Abell 2744	3.2	3	3.588794	-30.393808	3.980000	spec	N	Johnson et al. 2014	Merten et al. 2011
Abell 2744	4.1	4	3.592118	-30.402641	3.580000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	4.2	4	3.595616	-30.401624	3.580000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	4.3	4	3.580408	-30.408925	3.580000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	4.4	4	3.593201	-30.404908	3.580000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	4.5	4	3.593587	-30.405108	3.580000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	6.1	6	3.598534	-30.401807	2.020000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	6.2	6	3.594051	-30.408008	2.020000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	6.3	6	3.586418	-30.409375	2.020000	spec	N	Richard et al. 2014	Merten et al. 2011
Abell 2744	56.1	56	3.582533	-30.402292	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	56.2	56	3.586205	-30.400842	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	56.3	56	3.584466	-30.399292	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	56.4	56	3.596716	-30.396291	1.800000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	7.1	7	3.598244	-30.402324	2.510000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	7.2	7	3.595210	-30.407425	2.510000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	7.3	7	3.584582	-30.409809	2.510000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	8.1	8	3.589702	-30.394341	4.080000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	8.2	8	3.588833	-30.394225	4.080000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	9.1	9	3.588369	-30.405275	2.970000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	9.2	9	3.587133	-30.406242	2.970000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	10.1	10	3.588408	-30.405875	3.610000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	10.2	10	3.587384	-30.406475	3.610000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	10.3	10	3.600716	-30.397107	3.610000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	11.1	11	3.591384	-30.403858	2.520000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	11.2	11	3.597258	-30.401458	2.520000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	11.4	11	3.594534	-30.406541	2.520000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	13.1	13	3.592369	-30.402558	1.600000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	13.2	13	3.593799	-30.402158	1.600000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	13.3	13	3.582784	-30.408042	1.600000	adopted_phot_or_model	Y		Merten et al. 2011
Abell 2744	14.1	14	3.589741	-30.394641	2.470000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	14.2	14	3.588466	-30.394441	2.470000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	14.3	14	3.579461	-30.400292	2.470000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	22.1	22	3.587925	-30.411608	2.910000	adopted_phot_or_model	Y		Jauzac et al. 2014
