image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
1.1	1	003.59754770	-30.403918	1.6880	spec			2	zref=M
1.2	1	003.59595100	-30.406813	1.6880	spec			2	zref=M
1.3	1	003.58623300	-30.409989	1.6880	spec			2	zref=M
2.1	2	003.58325880	-30.403351	1.8876	spec			2	zref=M
2.2	2	003.59727520	-30.396724	1.8876	spec			1	zref=M
2.3	2	003.58540360	-30.399898	1.8876	spec			1	zref=M
2.4	2	003.58642750	-30.402128	1.8876	spec			1	zref=M
3.1	3	003.58937140	-30.393864	3.9803	spec			3	zref=MJ
3.2	3	003.58879080	-30.393806	3.9803	spec			3	zref=MJ
3.3	3	003.57662500	-30.401813	3.9803	spec_sys				zref=-;z propagated from same system
4.1	4	003.59211450	-30.402634	3.5769	spec			3	zref=M
4.2	4	003.59564340	-30.401623	3.5769	spec			3	zref=M
4.3	4	003.58043310	-30.408926	3.5769	spec			3	zref=MR
4.4	4	003.59319330	-30.404915	3.5769	spec			3	zref=M
4.5	4	003.59359340	-30.405106	3.5769	spec			3	zref=MJ
5.1	5	003.58692570	-30.390704	4.0225	spec			3	zref=M
5.2	5	003.58498160	-30.391374	4.0225	spec			3	zref=M
5.3	5	003.57995830	-30.394772	4.0225	spec			3	zref=M
105.1	105	003.58343040	-30.392070	4.0225	spec			3	zref=M
105.2	105	003.58229170	-30.392789	4.0225	spec			3	zref=M
105.3	105	003.58041180	-30.394316	4.0225	spec			3	zref=M
105.4	105	003.58106030	-30.393624	4.0225	spec			3	zref=M
6.1	6	003.59853400	-30.401800	2.0160	spec			3	zref=MRW
6.2	6	003.59405180	-30.408011	2.0160	spec			3	zref=MW
6.3	6	003.58642250	-30.409371	2.0160	spec			3	zref=MW
7.1	7	003.59826040	-30.402326	2.5791	model	0.1103	0.1065		zref=-
7.2	7	003.59521950	-30.407412	2.5791	model_sys	0.1103	0.1065		zref=-;z propagated from same system
7.3	7	003.58459890	-30.409822	2.5791	model_sys	0.1103	0.1065		zref=-;z propagated from same system
8.1	8	003.58970880	-30.394339	3.9750	spec			2	zref=M
8.2	8	003.58882250	-30.394210	3.9750	spec			2	zref=M
8.3	8	003.57639660	-30.402554	3.9750	spec_sys				zref=-;z propagated from same system
9.1	9	003.58839000	-30.405272	2.3556	model	0.0603	0.4538		zref=-
9.2	9	003.58713620	-30.406229	2.3556	model_sys	0.0603	0.4538		zref=-;z propagated from same system
9.3	9	003.60015110	-30.397153	2.3556	model_sys	0.0603	0.4538		zref=-;z propagated from same system
10.1	10	003.58840110	-30.405880	2.6565	spec			3	zref=M
10.2	10	003.58737760	-30.406485	2.6565	spec			3	zref=M
10.3	10	003.60072080	-30.397095	2.6565	spec_sys				zref=-;z propagated from same system
11.1	11	003.59139300	-30.403847	2.4508	model	0.0488	0.0942		zref=-
11.2	11	003.59727080	-30.401435	2.4508	model_sys	0.0488	0.0942		zref=-;z propagated from same system
11.3	11	003.58280510	-30.408910	2.4508	model_sys	0.0488	0.0942		zref=-;z propagated from same system
11.4	11	003.59452980	-30.406546	2.4508	model_sys	0.0488	0.0942		zref=-;z propagated from same system
12.1	12	003.59361560	-30.404464	3.6388	model	0.2953	0.6205		zref=-
12.2	12	003.59323490	-30.403259	3.6388	model_sys	0.2953	0.6205		zref=-;z propagated from same system
12.3	12	003.59456460	-30.402986	3.6388	model_sys	0.2953	0.6205		zref=-;z propagated from same system
12.4	12	003.57957310	-30.410258	3.6388	model_sys	0.2953	0.6205		zref=-;z propagated from same system
13.1	13	003.59239850	-30.402536	1.3905	model	0.0378	0.0385		zref=-
13.2	13	003.59377000	-30.402170	1.3905	model_sys	0.0378	0.0385		zref=-;z propagated from same system
13.3	13	003.58275780	-30.408035	1.3905	model_sys	0.0378	0.0385		zref=-;z propagated from same system
14.1	14	003.58973440	-30.394638	2.5710	model	0.5613	0.0348		zref=-
14.2	14	003.58842450	-30.394434	2.5710	model_sys	0.5613	0.0348		zref=-;z propagated from same system
14.3	14	003.57757290	-30.401688	2.5710	model_sys	0.5613	0.0348		zref=-;z propagated from same system
