image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
1.1a	1	003.597551	-30.403906	1.688	spec			QP=1;QF=3	flag=d;loc=BCGs
1.1b	1	003.595952	-30.406787	1.688	spec			QP=1;QF=2	flag=d;loc=BCGs
1.1c	1	003.586210	-30.409963	1.688	spec			QP=1;QF=3	flag=d;loc=BCGs
1.2a	1	003.597062	-30.404703	1.688	spec			QP=1;QF=2	flag=d;loc=BCGs
1.2b	1	003.596384	-30.406123	1.688	spec			QP=1;QF=3	flag=d;loc=BCGs
1.2c	1	003.585732	-30.410077	1.688	spec			QP=1;QF=3	flag=d;loc=BCGs
1.3a	1	003.597746	-30.403511	1.688	spec			QP=2;QF=3	flag=d;loc=BCGs
1.3b	1	003.595516	-30.407178	1.688	spec			QP=2;QF=3	flag=d;loc=BCGs
1.3c	1	003.586444	-30.409849	1.688	spec			QP=2;QF=3	flag=d;loc=BCGs
1.4a	1	003.598073	-30.403961	1.688	spec			QP=1;QF=1	flag=d;loc=BCGs
1.4b	1	003.595710	-30.407526	1.688	spec			QP=1;QF=1	flag=d;loc=BCGs
1.4c	1	003.587368	-30.410130	1.688	spec			QP=1;QF=1	flag=d;loc=BCGs
2.1a	2	003.583251	-30.403317	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.1b	2	003.597281	-30.396694	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.1c	2	003.585356	-30.399856	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.1d	2	003.586400	-30.402106	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.2a	2	003.583015	-30.403167	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.2b	2	003.597130	-30.396620	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.2c	2	003.585122	-30.399647	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.2d	2	003.586425	-30.401849	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.3a	2	003.582980	-30.403028	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.3b	2	003.597087	-30.396561	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.3c	2	003.585004	-30.399603	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.3d	2	003.586381	-30.401744	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.4a	2	003.582905	-30.402908	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.4b	2	003.597044	-30.396509	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.4c	2	003.584902	-30.399559	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.4d	2	003.586340	-30.401611	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.5a	2	003.582814	-30.402771	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.5b	2	003.596982	-30.396451	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.5c	2	003.584807	-30.399495	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.5d	2	003.586309	-30.401469	1.887	spec			QP=1;QF=3	flag=d;loc=BCGs
2.6a	2	003.582758	-30.402661	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.6b	2	003.596934	-30.396403	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.6c	2	003.584710	-30.399442	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.6d	2	003.586272	-30.401331	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.7a	2	003.582516	-30.402291	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.7b	2	003.596726	-30.396273	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.7c	2	003.584460	-30.399268	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
2.7d	2	003.586224	-30.400848	1.887	spec			QP=2;QF=3	flag=d;loc=BCGs
3.1a	3	003.589365	-30.393837	3.980	spec			QP=1;QF=3	flag=d;loc=BCGs
