image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
1.1	1	109.395340	37.741178	3.07	phot	0.06	0.06		
1.2	1	109.393820	37.740095	2.963	spec				
1.3	1	109.390980	37.738280	2.963	spec				
1.4	1	109.384360	37.736945	3.11	phot	0.06	0.06		
1.5	1	109.405780	37.761378	3.11	phot	0.07	0.07		
2.1	2	109.392810	37.741010	2.6	model	0.3	0.3		zmodel(non-cored,cored,NFW)=2.6pm0.3, 2.2pm0.4, 3.0pm0.3
2.2	2	109.390430	37.739245	2.72	phot	0.07	0.07		
3.1	3	109.398550	37.741495	1.855	spec				
3.2	3	109.394460	37.739176	1.855	spec				
3.3	3	109.407150	37.753827	1.855	spec				
4.1	4	109.380880	37.750127	1.855	spec				
4.2	4	109.376440	37.744696	1.855	spec				
4.3	4	109.391090	37.763296	1.855	spec				
5.1	5	109.379910	37.746861	4.1	model	0.2	0.2		zmodel(non-cored,cored,NFW)=4.1pm0.2, 3.8pm0.2, 3.7pm0.1
5.2	5	109.377910	37.742810	4.1	model_sys	0.2	0.2		z propagated from same system
5.3	5	109.400030	37.767399	4.1	model_sys	0.2	0.2		z propagated from same system
6.1	6	109.364360	37.757091	2.393	spec				
6.2	6	109.362710	37.752693	2.393	spec				
6.3	6	109.373880	37.769711	2.393	spec				
7.1	7	109.366570	37.766343	1.9	model	0.1	0.1		zmodel(non-cored,cored,NFW)=1.9pm0.1, 2.0pm0.1, 2.0pm0.1
7.2	7	109.365050	37.764125	1.9	model_sys	0.1	0.1		z propagated from same system
7.3	7	109.359050	37.751780	2.23	phot	0.13	0.13		
8.1	8	109.366650	37.769694	2.5	model	0.1	0.1		zmodel(non-cored,cored,NFW)=2.5pm0.1, 2.9pm0.2, 2.8pm0.1
8.2	8	109.362080	37.763125	2.5	model_sys	0.1	0.1		z propagated from same system
8.3	8	109.356520	37.751928	2.5	model_sys	0.1	0.1		z propagated from same system
12.1	12	109.385160	37.751844	1.699	spec				
12.2	12	109.377620	37.742878	1.699	spec				
12.3	12	109.391220	37.760626	1.699	spec				
13.1	13	109.385670	37.750733	2.547	spec				
13.2	13	109.377560	37.739627	2.54	phot	0.07	0.07		
13.3	13	109.396210	37.763333	2.540	spec				
14.1	14	109.388790	37.752163	1.855	spec				
14.2	14	109.379660	37.739707	1.855	spec				
14.3	14	109.396190	37.760427	1.855	spec				
15.1	15	109.367660	37.772059	2.405	spec				
15.2	15	109.358620	37.760127	2.405	spec_sys				z propagated from same system
15.3	15	109.356540	37.754641	3.40	phot	0.08	0.08		
16.1	16	109.369160	37.773279	3.2	model	0.3	0.3		zmodel(non-cored,cored,NFW)=3.2pm0.3, 3.6pm0.3, 3.1pm0.1
16.2	16	109.358560	37.759558	3.2	model_sys	0.3	0.3		z propagated from same system
16.3	16	109.356940	37.753691	3.2	model_sys	0.3	0.3		z propagated from same system
17.1	17	109.369380	37.771869	2.7	model	0.2	0.2		zmodel(non-cored,cored,NFW)=2.7pm0.2, 2.8pm0.2, 2.7pm0.1
17.2	17	109.359380	37.758792	2.7	model_sys	0.2	0.2		z propagated from same system
17.3	17	109.358220	37.753609	3.15	phot	0.14	0.14		
18.1	18	109.364250	37.768628	2.0	model	0.1	0.1		zmodel(non-cored,cored,NFW)=2.0pm0.1, 2.6pm0.5, 2.2pm0.1
18.2	18	109.361210	37.764326	2.0	model_sys	0.1	0.1		z propagated from same system
19.1	19	109.409060	37.754681	6.40	spec				
19.2	19	109.407720	37.742731	6.40	spec				
19.3	19	109.381050	37.731391	6.40	spec				
20.1	20	109.374200	37.765145	3.4	model	1.0	1.0		zmodel(non-cored,cored,NFW)=3.4pm1.0, >2.6, uncons.
20.2	20	109.373400	37.764661	3.4	model_sys	1.0	1.0		z propagated from same system
21.1	21	109.372410	37.746392	2.61	phot	0.16	0.16		candidate(*)
21.2	21	109.376730	37.752029	2.65	phot	0.12	0.12		candidate(*)
22.1	22	109.367730	37.755897	0.87	phot	0.11	0.11		candidate(*)
22.2	22	109.367690	37.755556	0.93	phot	0.05	0.05		candidate(*)
23.1	23	109.379580	37.762879		none				candidate(*)
23.2	23	109.378970	37.761983		none				candidate(*)
24.1	24	109.392290	37.732946	2.7	model	0.1	0.1		zmodel(non-cored,cored,NFW)=2.7pm0.1, 2.5pm0.1, 2.5pm0.1
24.2	24	109.410560	37.748427	2.7	model_sys	0.1	0.1		z propagated from same system
25.1	25	109.380290	37.744746	4.0	model	0.1	0.1		zmodel(non-cored,cored,NFW)=4.0pm0.1, 3.8pm0.1, 3.8pm0.2
25.2	25	109.379510	37.742762	4.0	model_sys	0.1	0.1		z propagated from same system
25.3	25	109.402910	37.766411	4.0	model_sys	0.1	0.1		z propagated from same system
27.1	27	109.397390	37.747883	1.6	model	0.9	0.9		zmodel(non-cored,cored,NFW)=1.6pm0.9, 3.0pm1.1, uncons.
27.2	27	109.397560	37.747567	2.17	phot	0.32	0.32		
29.1	29	109.400870	37.743174	1.7	model	0.1	0.1		zmodel(non-cored,cored,NFW)=1.7pm0.1, 1.7pm0.1, 1.7pm0.1
29.2	29	109.392840	37.738612	1.62	phot	0.06	0.06		
31.1	31	109.374720	37.756347	1.6	model	0.1	0.1		zmodel(non-cored,cored,NFW)=1.6pm0.1, 1.6pm0.1, 1.6pm0.1
