image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
1.1	1	039.967047	-01.5769172	0.8041	spec			gold	-
1.2	1	039.976273	-01.5760558	0.8041	spec			gold	-
1.3	1	039.968691	-01.5766113	0.8041	spec			gold	-
2.1	2	039.973825	-01.5842290	0.7251	spec			gold	-
2.2	2	039.971003	-01.5850422	0.7251	spec			gold	-
2.3	2	039.968722	-01.5845058	0.7251	spec			gold	-
2.4	2	039.969394	-01.5847328	0.7251	spec			gold	-
2.5	2	039.969630	-01.5848508	0.7251	spec			gold	-
3.1	3	039.965658	-01.5668560	1.9553	spec			gold	-
3.2	3	039.968526	-01.5657906	1.9553	spec			gold	-
3.3	3	039.978925	-01.5674624	1.9553	spec			bronze	-
4.1	4	039.979704	-01.5764364	1.2728	spec			gold	-
4.2	4	039.970688	-01.5763221	1.2728	spec			gold	-
4.3	4	039.961971	-01.5779671	1.2728	spec			gold	-
5.1	5	039.973473	-01.5890463	1.2775	spec			gold	-
5.2	5	039.970576	-01.5891946	1.2775	spec			gold	-
5.3	5	039.969472	-01.5890961	1.2775	spec			gold	-
5.4	5	039.968580	-01.5890045	1.2775	spec			gold	-
6.1	6	039.969405	-01.5771811	1.0633	spec			gold	-
6.2	6	039.964334	-01.5782307	1.0633	spec			gold	-
6.3	6	039.979641	-01.5770904	1.0633	spec			gold	-
7.1	7	039.969788	-01.5804299	2.7512	spec			gold	-
7.2	7	039.969882	-01.5807608	2.7512	spec			gold	-
7.3	7	039.968815	-01.5856313	2.7512	spec			gold	-
7.4	7	039.986567	-01.5775688	2.7512	spec			gold	-
7.5	7	039.961533	-01.5800028	2.7512	spec			gold	-
8.1	8	039.964485	-01.5698065	2.884	model	0.084	0.084	silver	-
8.2	8	039.961889	-01.5736473	2.884	model	0.084	0.084	silver	-
9.1	9	039.962402	-01.5778911	1.5182	spec			gold	-
9.2	9	039.969486	-01.5762654	1.5182	spec			gold	-
9.3	9	039.982022	-01.5765337	1.5182	spec			gold	-
10.1	10	039.968142	-01.5710778	2.7512	spec			-	1,2
10.2	10	039.968454	-01.5715778	2.7512	spec			gold	2
10.3	10	039.969046	-01.5774833	2.7512	spec			copper	2
11.1	11	039.963839	-01.5693802	7.040	model	0.181	0.181	silver	-
11.2	11	039.960789	-01.5741702	7.040	model	0.181	0.181	silver	-
11.3	11	039.988460	-01.5719676	7.040	model	0.181	0.181	copper	-
12.1	12	039.969682	-01.5666360	3.4809	spec			gold	-
12.2	12	039.959198	-01.5753221	3.4809	spec			gold	-
12.3	12	039.984100	-01.5709127	3.4809	spec			gold	-
13.1	13	039.979513	-01.5717782	4.2480	spec			gold	-
13.2	13	039.975210	-01.5688203	4.2480	spec			gold	-
13.3	13	039.956759	-01.5775032	4.2480	spec			gold	-
14.1	14	039.972309	-01.5780910	3.1309	spec			gold	-
14.2	14	039.972192	-01.5801027	3.1309	spec			gold	-
14.3	14	039.974254	-01.5855770	3.1309	spec			gold	-
14.4	14	039.981313	-01.5782202	3.1309	spec			gold	-
14.5	14	039.957673	-01.5804590	3.1309	spec			gold	-
15.1	15	039.971328	-01.5806040	3.7084	spec			gold	-
15.2	15	039.971935	-01.5870512	3.7084	spec			gold	-
15.3	15	039.971027	-01.5777907	3.7084	spec			gold	-
15.4	15	039.984008	-01.5784556	3.7084	spec			gold	-
15.5	15	039.958795	-01.5805488	3.7084	spec			silver	-
15.6	15	039.970391	-01.5696387	3.7084	spec			copper	-
15.7	15	039.970450	-01.5689437	3.7084	spec			copper	-
16.1	16	039.964016	-01.5880782	3.7743	spec			gold	-
16.2	16	039.966037	-01.5890355	3.7743	spec			-	1
16.3	16	039.984414	-01.5841111	3.7743	spec			gold	-
17.1	17	039.969758	-01.5885333	4.2567	spec			gold	-
17.2	17	039.985403	-01.5808406	4.2567	spec			gold	-
17.3	17	039.960235	-01.5836508	4.2567	spec			gold	-
18.1	18	039.975830	-01.5870613	4.4296	spec			gold	-
18.2	18	039.981476	-01.5820728	4.4296	spec			gold	-
18.3	18	039.957362	-01.5820861	4.4296	spec			gold	-
19.1	19	039.971996	-01.5878654	5.6493	spec			gold	-
19.2	19	039.985142	-01.5790944	5.6493	spec			gold	-
19.3	19	039.958316	-01.5813093	5.6493	spec			gold	-
20.1	20	039.965279	-01.5878055	5.7505	spec			gold	-
20.2	20	039.963619	-01.5868798	5.7505	spec			gold	-
21.1	21	039.966733	-01.5846943	1.2567	spec			gold	-
21.2	21	039.967252	-01.5849694	1.2567	spec			gold	-
21.3	21	039.981539	-01.5814028	1.2567	spec			gold	-
