cluster	image_id	system_id	ra_deg	dec_deg	z_adopted	z_provenance	model_version
Abell 2744	1.1	1	3.5975477	-30.4039180	1.6880	adopted_undifferentiated	CATS v4.1
Abell 2744	1.2	1	3.5959456	-30.4068220	1.6880	adopted_undifferentiated	CATS v4.1
Abell 2744	1.3	1	3.5862071	-30.4099850	1.6880	adopted_undifferentiated	CATS v4.1
Abell 2744	2.1	2	3.5832588	-30.4033510	1.8876	adopted_undifferentiated	CATS v4.1
Abell 2744	2.2	2	3.5972752	-30.3967240	1.8876	adopted_undifferentiated	CATS v4.1
Abell 2744	2.3	2	3.5854036	-30.3998980	1.8876	adopted_undifferentiated	CATS v4.1
Abell 2744	2.4	2	3.5864275	-30.4021280	1.8876	adopted_undifferentiated	CATS v4.1
Abell 2744	3.2	3	3.5884292	-30.3937860	3.9803	adopted_undifferentiated	CATS v4.1
Abell 2744	3.1	3	3.5896250	-30.3939060	3.9803	adopted_undifferentiated	CATS v4.1
Abell 2744	4.1	4	3.5921145	-30.4026340	3.5719	adopted_undifferentiated	CATS v4.1
Abell 2744	4.2	4	3.5956434	-30.4016230	3.5719	adopted_undifferentiated	CATS v4.1
Abell 2744	4.3	4	3.5804331	-30.4089260	3.5719	adopted_undifferentiated	CATS v4.1
Abell 2744	4.4	4	3.5931933	-30.4049150	3.5719	adopted_undifferentiated	CATS v4.1
Abell 2744	4.5	4	3.5935934	-30.4051060	3.5719	adopted_undifferentiated	CATS v4.1
Abell 2744	5.2	5	3.5849816	-30.3913740	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	5.3	5	3.5799583	-30.3947720	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	105.1	105	3.5834304	-30.3920700	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	105.2	105	3.5822917	-30.3927890	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	6.1	6	3.5985340	-30.4018000	2.0160	adopted_undifferentiated	CATS v4.1
Abell 2744	6.2	6	3.5940518	-30.4080110	2.0160	adopted_undifferentiated	CATS v4.1
Abell 2744	6.3	6	3.5864225	-30.4093710	2.0160	adopted_undifferentiated	CATS v4.1
Abell 2744	8.1	8	3.5896976	-30.3943390	3.9750	adopted_undifferentiated	CATS v4.1
Abell 2744	8.2	8	3.5888150	-30.3942230	3.9750	adopted_undifferentiated	CATS v4.1
Abell 2744	10.1	10	3.5884167	-30.4058778	2.6550	adopted_undifferentiated	CATS v4.1
Abell 2744	10.2	10	3.5873750	-30.4064806	2.6550	adopted_undifferentiated	CATS v4.1
Abell 2744	18.1	18	3.5761227	-30.4044880	5.6605	adopted_undifferentiated	CATS v4.1
Abell 2744	18.2	18	3.5883786	-30.3956488	5.6605	adopted_undifferentiated	CATS v4.1
Abell 2744	18.3	18	3.5907115	-30.3955613	5.6605	adopted_undifferentiated	CATS v4.1
Abell 2744	22.1	22	3.5879167	-30.4116111	5.2830	adopted_undifferentiated	CATS v4.1
Abell 2744	22.2	22	3.6000833	-30.4044167	5.2830	adopted_undifferentiated	CATS v4.1
Abell 2744	22.3	22	3.5965417	-30.4090305	5.2830	adopted_undifferentiated	CATS v4.1
Abell 2744	24.1	24	3.5959003	-30.4044801	1.0430	adopted_undifferentiated	CATS v4.1
Abell 2744	24.2	24	3.5951250	-30.4059333	1.0430	adopted_undifferentiated	CATS v4.1
Abell 2744	24.3	24	3.5873333	-30.4091028	1.0430	adopted_undifferentiated	CATS v4.1
Abell 2744	26.1	26	3.5938976	-30.4097310	3.0537	adopted_undifferentiated	CATS v4.1
Abell 2744	26.2	26	3.5903464	-30.4105810	3.0537	adopted_undifferentiated	CATS v4.1
Abell 2744	26.3	26	3.6001103	-30.4029420	3.0537	adopted_undifferentiated	CATS v4.1
Abell 2744	30.1	30	3.5910000	-30.3974444	1.0250	adopted_undifferentiated	CATS v4.1
Abell 2744	30.2	30	3.5867083	-30.3981861	1.0250	adopted_undifferentiated	CATS v4.1
Abell 2744	30.3	30	3.5819167	-30.4017027	1.0250	adopted_undifferentiated	CATS v4.1
Abell 2744	31.1	31	3.5859167	-30.4031667	4.7584	adopted_undifferentiated	CATS v4.1
Abell 2744	31.2	31	3.5837083	-30.4041167	4.7584	adopted_undifferentiated	CATS v4.1
Abell 2744	33.1	33	3.5847083	-30.4031472	5.7235	adopted_undifferentiated	CATS v4.1
Abell 2744	33.2	33	3.5843959	-30.4034000	5.7235	adopted_undifferentiated	CATS v4.1
Abell 2744	33.3	33	3.6004183	-30.3951110	5.7235	adopted_undifferentiated	CATS v4.1
Abell 2744	134.1	134	3.5943292	-30.4107000	3.7850	adopted_undifferentiated	CATS v4.1
Abell 2744	134.2	134	3.5931319	-30.4110510	3.7850	adopted_undifferentiated	CATS v4.1
Abell 2744	134.3	134	3.6005938	-30.4046370	3.7850	adopted_undifferentiated	CATS v4.1
Abell 2744	37.1	37	3.5890417	-30.3949139	2.6490	adopted_undifferentiated	CATS v4.1
Abell 2744	37.2	37	3.5887083	-30.3948528	2.6490	adopted_undifferentiated	CATS v4.1
Abell 2744	39.1	39	3.5887917	-30.3925305	4.0150	adopted_undifferentiated	CATS v4.1
Abell 2744	39.2	39	3.5885417	-30.3925083	4.0150	adopted_undifferentiated	CATS v4.1
Abell 2744	39.3	39	3.5774787	-30.3995680	4.0150	adopted_undifferentiated	CATS v4.1
Abell 2744	40.1	40	3.5890833	-30.3926638	4.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	40.2	40	3.5882083	-30.3925528	4.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	41.1	41	3.5991758	-30.3995820	4.9113	adopted_undifferentiated	CATS v4.1
Abell 2744	41.2	41	3.5935571	-30.4077690	4.9113	adopted_undifferentiated	CATS v4.1
Abell 2744	41.3	41	3.5834467	-30.4085000	4.9113	adopted_undifferentiated	CATS v4.1
Abell 2744	41.4	41	3.5906170	-30.4044590	4.9113	adopted_undifferentiated	CATS v4.1
Abell 2744	42.1	42	3.5973131	-30.4006080	3.6900	adopted_undifferentiated	CATS v4.1
Abell 2744	42.2	42	3.5909583	-30.4032611	3.6900	adopted_undifferentiated	CATS v4.1
Abell 2744	42.3	42	3.5815833	-30.4086333	3.6900	adopted_undifferentiated	CATS v4.1
Abell 2744	42.4	42	3.5942499	-30.4063888	3.6900	adopted_undifferentiated	CATS v4.1
Abell 2744	42.5	42	3.5924125	-30.4051940	3.6900	adopted_undifferentiated	CATS v4.1
Abell 2744	147.1	147	3.5896792	-30.3921360	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	147.2	147	3.5864542	-30.3921280	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	147.3	147	3.5780083	-30.3983920	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	47.1	47	3.5901625	-30.3921810	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	47.2	47	3.5858417	-30.3922440	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	47.3	47	3.5783292	-30.3981330	4.0225	adopted_undifferentiated	CATS v4.1
Abell 2744	55.1	55	3.5970420	-30.4047460	1.6880	adopted_undifferentiated	CATS v4.1
Abell 2744	55.2	55	3.5963710	-30.4061610	1.6880	adopted_undifferentiated	CATS v4.1
Abell 2744	55.3	55	3.5857260	-30.4100850	1.6880	adopted_undifferentiated	CATS v4.1
Abell 2744	56.1	56	3.5825238	-30.4022940	1.8870	adopted_undifferentiated	CATS v4.1
Abell 2744	56.2	56	3.5862448	-30.4009070	1.8870	adopted_undifferentiated	CATS v4.1
Abell 2744	56.3	56	3.5844817	-30.3992900	1.8870	adopted_undifferentiated	CATS v4.1
Abell 2744	56.4	56	3.5967306	-30.3962920	1.8870	adopted_undifferentiated	CATS v4.1
Abell 2744	61.1	61	3.5955330	-30.4034990	2.9520	adopted_undifferentiated	CATS v4.1
Abell 2744	61.2	61	3.5951427	-30.4044950	2.9520	adopted_undifferentiated	CATS v4.1
Abell 2744	62.1	62	3.5913260	-30.3986430	4.1925	adopted_undifferentiated	CATS v4.1
Abell 2744	62.2	62	3.5905821	-30.3989180	4.1925	adopted_undifferentiated	CATS v4.1
Abell 2744	63.1	63	3.5822614	-30.4071660	5.6599	adopted_undifferentiated	CATS v4.1
Abell 2744	63.2	63	3.5927578	-30.4070220	5.6599	adopted_undifferentiated	CATS v4.1
Abell 2744	63.3	63	3.5891334	-30.4034190	5.6599	adopted_undifferentiated	CATS v4.1
Abell 2744	63.4	63	3.5988055	-30.3982790	5.6599	adopted_undifferentiated	CATS v4.1
Abell 2744	64.1	64	3.5811967	-30.3987080	3.4072	adopted_undifferentiated	CATS v4.1
Abell 2744	64.3	64	3.5963329	-30.3942320	3.4072	adopted_undifferentiated	CATS v4.1
Abell 2744	7.1	7	3.5982604	-30.4023260	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	7.2	7	3.5952195	-30.4074120	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	7.3	7	3.5845989	-30.4098220	0.0000	adopted_undifferentiated	CATS v4.1
