image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
1.1	1	177.39700	+22.396000	1.488	spec			1.0	note=
1.2	1	177.39942	+22.397439	1.488	spec			1.0	note=
1.3	1	177.40342	+22.402439	1.488	spec			1.0	note=
1.5	1	177.39986	+22.397133	1.488	spec_sys			2.0	note=1;z propagated from same system
2.1	2	177.40242	+22.389750	1.891	spec			1.0	note=
2.2	2	177.40604	+22.392478	1.891	spec			1.0	note=
2.3	2	177.40658	+22.392886	1.891	spec			1.0	note=
3.1	3	177.39075	+22.399847	3.129	spec			1.0	note=2
3.2	3	177.39271	+22.403081	3.129	spec			1.0	note=2
3.3	3	177.40129	+22.407189	3.129	spec			1.1	note=2
4.1	4	177.39300	+22.396825	2.949	spec			1.0	note=
4.2	4	177.39438	+22.400736	2.949	spec			1.0	note=
4.3	4	177.40417	+22.406128	2.949	spec			1.0	note=
5.1	5	177.39975	+22.393061	2.800	spec			1.0	note=
5.2	5	177.40108	+22.393825	2.800	spec_sys			1.0	note=;z propagated from same system
5.3	5	177.40792	+22.403553	2.800	spec_sys			1.7	note=;z propagated from same system
6.1	6	177.39971	+22.392544		none			1.1	note=
6.2	6	177.40183	+22.393858		none			1.1	note=
6.3	6	177.40804	+22.402506		none			1.7	note=
7.1	7	177.39896	+22.391339		none			1.1	note=
7.2	7	177.40342	+22.394269		none			1.1	note=
7.3	7	177.40758	+22.401242		none			1.2	note=
8.1	8	177.39850	+22.394350		none			1.2	note=
8.2	8	177.39979	+22.395044		none			1.2	note=
8.4	8	177.40709	+22.404722		none			1.2	note=3
		177.40704	+22.405553	2.780	spec			3.0	note=3
		177.40517	+22.401563	2.780	spec_sys			3.0	note=3;z propagated from same system
9.1	9	177.40517	+22.426233		none			1.8	note=
9.2	9	177.40388	+22.427231		none			1.8	note=
9.3	9	177.40325	+22.427228		none			1.8	note=
9.4	9	177.40364	+22.426422		none			1.8	note=
10.1	10	177.40450	+22.425514		none			1.8	note=
10.2	10	177.40362	+22.425636		none			1.8	note=
10.3	10	177.40221	+22.426625		none			1.8	note=
12.1	12	177.39857	+22.389356	1.020	spec			2.6	note=4
12.2	12	177.40375	+22.392345	0.929	spec			2.9	note=4
12.3	12	177.40822	+22.398801	1.118	spec			2.6	note=4
13.1	13	177.40371	+22.397786	1.230	spec			1.0	note=
13.2	13	177.40283	+22.396656	1.250	spec			1.0	note=
13.3	13	177.40004	+22.393858	1.230	spec			1.3	note=
14.1	14	177.39167	+22.403489	3.703	spec			1.3	note=
14.2	14	177.39083	+22.402647	3.703	spec			1.3	note=
110.1	110	177.40014	+22.390162	3.214	spec			1.0	note=
110.2	110	177.40402	+22.392894	3.214	spec			1.0	note=
110.3	110	177.40907	+22.400242	3.214	spec_sys			2.0	note=;z propagated from same system
21.1	21	177.40451	+22.386704		none			1.8	note=
21.2	21	177.40800	+22.389057		none			1.6	note=
21.3	21	177.40907	+22.390407		none			1.6	note=
22.1	22	177.40370	+22.386838		none			1.8	note=
22.2	22	177.40791	+22.389232		none			1.8	note=
22.3	22	177.40902	+22.391053		none			1.8	note=
23.1	23	177.39302	+22.411428		none			1.8	note=
23.2	23	177.39308	+22.411455		none			1.8	note=
23.3	23	177.39315	+22.411473		none			1.8	note=
24.1	24	177.39285	+22.412872		none			1.7	note=
24.2	24	177.39353	+22.413071		none			1.7	note=
24.3	24	177.39504	+22.412697		none			1.8	note=
25.1	25	177.40428	+22.398782		none			2.0	note=
25.2	25	177.40411	+22.398599		none			2.0	note=
25.3	25	177.39489	+22.391796		none			2.3	note=
26.1	26	177.41035	+22.388749		none			1.8	note=
26.2	26	177.40922	+22.387697		none			1.8	note=
26.3	26	177.40623	+22.385369		none			1.8	note=
27.1	27	177.40971	+22.387665		none			1.8	note=
27.2	27	177.40988	+22.387835		none			1.8	note=
27.3	27	177.40615	+22.385142		none			2.5	note=
28.1	28	177.39531	+22.391809		none			2.0	note=
28.2	28	177.40215	+22.396750		none			2.2	note=
28.3	28	177.40562	+22.402434		none			2.0	note=
200.1	200	177.40875	+22.394467	2.320	spec			2.6	note=
200.2	200	177.40512	+22.391261	2.320	spec_sys			2.6	note=;z propagated from same system
200.3	200	177.40256	+22.389233	2.320	spec_sys			2.8	note=;z propagated from same system
201.1	201	177.40048	+22.395444		none			1.6	note=5
201.2	201	177.40683	+22.404517		none			1.6	note=5
202.1	202	177.40765	+22.396789		none			2.0	note=
202.2	202	177.40224	+22.391489		none			2.0	note=
202.3	202	177.40353	+22.392586		none			2.0	note=
203.1	203	177.40995	+22.387244		none			1.8	note=
203.2	203	177.40657	+22.384511		none			2.0	note=
203.3	203	177.41123	+22.388461		none			1.8	note=
204.1	204	177.40961	+22.386661		none			1.8	note=
204.2	204	177.40668	+22.384322		none			1.8	note=
204.3	204	177.41208	+22.389056		none			1.8	note=
205.1	205	177.40520	+22.386042		none			2.0	note=
205.2	205	177.40821	+22.388119		none			2.0	note=
205.3	205	177.41038	+22.390625		none			2.0	note=
206.1	206	177.40764	+22.385647		none			2.2	note=
