cluster	image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
Abell 370	9.1	9	39.9624167	-1.5780139	1.64	model	0.04	0.04	[0.6-6.0]	orig_sexagesimal=02 39 50.98 -01 34 40.85
Abell 370	9.2	9	39.9695000	-1.5763722	1.64	model_sys	0.04	0.04		orig_sexagesimal=02 39 52.68 -01 34 34.94;z propagated from same system
Abell 370	9.3	9	39.9820417	-1.5766694	1.64	model_sys	0.04	0.04		orig_sexagesimal=02 39 55.69 -01 34 36.01;z propagated from same system
Abell 370	11.1	11	39.9638333	-1.5694778	5.93	model	0.15	0.15	[0.6-6.0]	orig_sexagesimal=02 39 51.32 -01 34 10.12
Abell 370	11.2	11	39.9607917	-1.5742667	5.93	model_sys	0.15	0.15		orig_sexagesimal=02 39 50.59 -01 34 27.36;z propagated from same system
Abell 370	12.1	12	39.9697500	-1.5667861	4.59	model	0.44	0.44	[0.6-6.0]	orig_sexagesimal=02 39 52.74 -01 34 00.43
Abell 370	12.2	12	39.9592083	-1.5754167	4.59	model_sys	0.44	0.44		orig_sexagesimal=02 39 50.21 -01 34 31.50;z propagated from same system
Abell 370	12.3	12	39.9841250	-1.5710278	4.59	model_sys	0.44	0.44		orig_sexagesimal=02 39 56.19 -01 34 15.70;z propagated from same system
Abell 370	13.1	13	39.9795417	-1.5718917	5.97	model	0.33	0.33	[0.6-6.0]	orig_sexagesimal=02 39 55.09 -01 34 18.81
Abell 370	13.2	13	39.9752083	-1.5688944	5.97	model_sys	0.33	0.33		orig_sexagesimal=02 39 54.05 -01 34 08.02;z propagated from same system
