image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
1.1	1	342.194450	-44.527003	1.229	spec			3	flag=b;
1.2	1	342.195867	-44.528950	1.229	spec			3	flag=b;
1.3	1	342.186421	-44.521203	1.229	spec			3	flag=b;
2.1	2	342.192708	-44.531189	1.261	spec			3	flag=b;
2.2	2	342.192125	-44.529831	1.261	spec			3	
2.3	2	342.179863	-44.521561	1.261	spec			3	flag=b;
3.1	3	342.195542	-44.532139	1.91	phot	1.75	2.54	2	
3.2	3	342.193917	-44.528731	1.24	phot	1.22	1.25	2	
4.1	4	342.193708	-44.530161	1.59	phot	1.13	2.24	2	
4.2	4	342.193333	-44.529419	1.57	phot	1.12	3.21	2	
5.1	5	342.179208	-44.523589	1.398	spec			3	flag=b;
5.2	5	342.187833	-44.527311	1.398	spec			3	flag=b;Tailor-made photometry
5.3	5	342.193167	-44.536531	1.29	phot	1.27	1.30	2	
6.1	6	342.174250	-44.528331	1.428	spec			3	flag=b;
6.2	6	342.175833	-44.532539	1.428	spec			3	flag=b;
6.3	6	342.188438	-44.539994	1.428	spec			3	flag=b;
7.1	7	342.169375	-44.527250	1.837	spec			3	flag=b;
7.2	7	342.174250	-44.537111	1.837	spec			3	flag=b;
7.3	7	342.181833	-44.540500	2.12	phot	2.08	2.15	2	
8.1	8	342.167958	-44.526200	2.87	geom			2	
8.2	8	342.174625	-44.538389	3.12	phot	2.99	3.26	2	
8.3	8	342.180792	-44.540881	2.94	phot	2.96	3.05	2	
9.1	9	342.167792	-44.526281	2.70	phot	2.55	2.79	2	
9.2	9	342.174792	-44.538611	3.02	phot	2.91	3.08	2	
9.3	9	342.180292	-44.540811	2.92	phot	2.82	2.99	2	
10.1	10	342.190238	-44.529764	0.730	spec			2	flag=*;
10.2	10	342.189550	-44.528842	0.730	spec			2	flag=*;
10.3	10	342.184917	-44.525475	0.730	spec			2	flag=*;
11.1	11	342.175042	-44.541031	3.116	spec			3	flag=b;
11.2	11	342.173167	-44.539981	3.116	spec			3	flag=b;
11.3	11	342.165554	-44.529531	3.04	phot	2.64	3.18	3	Tailor-made photometry
12.1	12	342.189042	-44.530050	6.95	geom			2	
12.2	12	342.181042	-44.534619	6.112	spec			3	flag=b;Tailor-made photometry
12.3	12	342.190875	-44.537469	6.112	spec			3	flag=b;
12.4	12	342.171292	-44.519811	6.112	spec			3	flag=b;
12.5	12	342.184075	-44.531628	6.112	spec			2	
13.1	13	342.181550	-44.539375	4.113	spec			3	flag=b;
13.2	13	342.179138	-44.538678	4.113	spec			3	flag=b;
14.1	14	342.178833	-44.535869	3.118	spec			3	flag=b;
14.2	14	342.187417	-44.538689	3.118	spec			3	flag=b;
14.3	14	342.170667	-44.522089	3.24	geom			3	flag=b;
15.1	15	342.191708	-44.530519	2.35	geom			1	
15.2	15	342.192542	-44.534419	2.35	geom			1	
15.3	15	342.175917	-44.519650	2.35	geom			1	
16.1	16	342.166250	-44.533650	2.81	geom			1	
16.2	16	342.166792	-44.534931	2.81	geom			1	
16.3	16	342.177833	-44.543069	2.81	geom			1	
17.1	17	342.185833	-44.538850	3.72	phot	3.43	4.07	1	
17.2	17	342.178833	-44.536731	3.72	phot	3.43	4.07	1	
