image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
2a	2	342.195590	-44.528390	1.229	spec				zspec_ref=a,b,d
2b	2	342.194830	-44.527350	1.229	spec				zspec_ref=a,b,d
2c	2	342.186310	-44.521070	1.229	spec				zspec_ref=a,b
3a	3	342.192690	-44.531180	1.260	spec				zspec_ref=a,b
3b	3	342.192120	-44.529840	1.260	spec				zspec_ref=a,b;image position from model / uncertain(*)
3c	3	342.179860	-44.521560	1.260	spec				zspec_ref=d
4a	4	342.193170	-44.536520	1.398	spec_sys				z propagated from same system
4b	4	342.187820	-44.527300	1.398	spec				zspec_ref=a,b
4c	4	342.179190	-44.523580	1.398	spec				zspec_ref=a,b,d
6a	6	342.188470	-44.539980	1.428	spec				zspec_ref=a,b,e
6b	6	342.175850	-44.532540	1.428	spec				zspec_ref=e
6c	6	342.174200	-44.528310	1.428	spec				zspec_ref=d,e
7a	7	342.180060	-44.538420	1.035	spec				zspec_ref=e
7b	7	342.175540	-44.535900	1.035	spec				zspec_ref=e
7c	7	342.171910	-44.530230	1.035	spec				zspec_ref=e
8a	8	342.180060	-44.538420	1.837	spec				zspec_ref=a;image position from model / uncertain(*)
8b	8	342.175540	-44.535900	1.837	spec				zspec_ref=a;image position from model / uncertain(*)
8c	8	342.171910	-44.530230	1.837	spec_sys				image position from model / uncertain(*);z propagated from same system
9a	9	342.180300	-44.540820	2.48	model	0.05	0.05		
9b	9	342.174800	-44.538600	2.48	model	0.05	0.05		zmodel ditto from system
9c	9	342.167790	-44.526270	2.48	model	0.05	0.05		zmodel ditto from system
11a	11	342.175050	-44.541020	3.116	spec				zspec_ref=e;image position from model / uncertain(*)
11b	11	342.173150	-44.539990	3.116	spec				zspec_ref=a,b,e;image position from model / uncertain(*)
11c	11	342.165570	-44.529530	3.116	spec_sys				image position from model / uncertain(*);z propagated from same system
13a	13	342.193690	-44.530140	1.27	model	0.03	0.03		
13b	13	342.193310	-44.529420	1.27	model	0.03	0.03		zmodel ditto from system
14a	14	342.190880	-44.537470	6.112	spec				zspec_ref=b,c,e
14b	14	342.181060	-44.534620	6.111	spec				zspec_ref=b,c,e
14c	14	342.189040	-44.530040	6.112	spec_sys				z propagated from same system
14d	14	342.171290	-44.519820	6.111	spec				zspec_ref=b,c
14e	14	342.184080	-44.531620	6.112	spec_sys				z propagated from same system
15a	15	342.192540	-44.534390	3.14	model	0.10	0.09		
15b	15	342.191710	-44.530550	3.14	model	0.10	0.09		zmodel ditto from system
15c	15	342.173690	-44.519400	3.14	model	0.10	0.09		zmodel ditto from system
16a	16	342.177280	-44.540690	1.43	model	0.02	0.02		
16b	16	342.171630	-44.537170	1.43	model	0.02	0.02		zmodel ditto from system
16c	16	342.168940	-44.532560	1.43	model	0.02	0.02		zmodel ditto from system;image position from model / uncertain(*)
17a	17	342.177790	-44.543060	2.39	model	0.06	0.05		
17b	17	342.166810	-44.534930	2.39	model	0.06	0.05		zmodel ditto from system;image position from model / uncertain(*)
17c	17	342.166210	-44.533630	2.39	model	0.06	0.05		zmodel ditto from system
18a	18	342.181500	-44.539360	4.113	spec				zspec_ref=e
18b	18	342.179180	-44.538700	4.113	spec				zspec_ref=e
20a	20	342.187450	-44.538690	3.118	spec				zspec_ref=a
20b	20	342.178860	-44.535870	3.118	spec				zspec_ref=a
20c	20	342.170650	-44.522090	2.39	model	0.06	0.05		zmodel ditto from system
21a	21	342.185860	-44.538830	3.49	model	0.12	0.13		
21b	21	342.178920	-44.536680	3.49	model	0.12	0.13		zmodel ditto from system
21c	21	342.169810	-44.521920	3.49	model	0.12	0.13		zmodel ditto from system
