image_pair	method	quantity	value	uncertainty
S2-S1	Template_LC_Fits	time_delay_days	4	4
S2-S1	Polynomial_Curve_Fits	time_delay_days	7	2
S3-S1	Template_LC_Fits	time_delay_days	2	5
S3-S1	Polynomial_Curve_Fits	time_delay_days	0.6	3
S4-S1	Template_LC_Fits	time_delay_days	24	7
S4-S1	Polynomial_Curve_Fits	time_delay_days	27	8
S2-S1	Template_LC_Fits	magnification_ratio	1.15	0.05
S2-S1	Polynomial_Curve_Fits	magnification_ratio	1.17	0.02
S3-S1	Template_LC_Fits	magnification_ratio	1.01	0.04
S3-S1	Polynomial_Curve_Fits	magnification_ratio	1.00	0.01
S4-S1	Template_LC_Fits	magnification_ratio	0.34	0.02
S4-S1	Polynomial_Curve_Fits	magnification_ratio	0.38	0.02
