image_pair	method	quantity	value_maxlike	p2.27	p16	p50	p84	p97.73	minus_1sigma	plus_1sigma
S2-S1	Polyn.	time_delay_days	8.49	-6.67	5.49	8.57	11.8	17.75	3.0	3.31
S3-S1	Polyn.	time_delay_days	7.52	-0.07	4.12	7.46	10.72	17.02	3.4	3.2
S2-S1	GPR	time_delay_days	11.09	-0.8	7.95	11.61	15.83	23.48	3.14	4.74
S3-S1	GPR	time_delay_days	11.13	2.24	8.04	11.74	16.25	23.06	3.09	5.12
S2-S1	SNTD	time_delay_days	4.28	-13.97	-3.1	3.23	8.74	17.61	7.38	4.46
S3-S1	SNTD	time_delay_days	12.93	-0.85	7.23	13.52	19.58	28.07	5.7	6.65
S2-S1	PyCS	time_delay_days	12.89	-9.96	9.6	12.8	15.93	20.95	3.29	3.04
S3-S1	PyCS	time_delay_days	11.73	2.99	8.15	11.65	14.77	19.83	3.58	3.04
S2-S1	Combined	time_delay_days	9.69	-8.97	5.96	9.92	14.06	20.56	3.73	4.37
S3-S1	Combined	time_delay_days	7.92	0.47	5.16	8.95	13.56	20.19	2.76	5.64
S4-S1	Polyn.	time_delay_days	19.24	4.92	14.19	19.29	24.36	31.75	5.05	5.12
SX-S1	Polyn.	time_delay_days	376.02	365.31	370.63	375.74	380.99	387.37	5.39	4.97
S4-S1	GPR	time_delay_days	55.48	38.12	49.51	58.52	70.77	85.43	5.97	15.29
SX-S1	GPR	time_delay_days	383.83	367.04	375.96	383.62	390.23	400.15	7.87	6.4
S4-S1	SNTD	time_delay_days	16.84	-15.09	5.24	16.27	27.06	36.89	11.6	10.22
SX-S1	SNTD	time_delay_days	380.83	360.53	370.68	379.58	386.68	394.58	10.15	5.85
S4-S1	PyCS	time_delay_days	31.25	0.65	24.37	31.22	37.83	44.79	6.88	6.58
SX-S1	PyCS	time_delay_days	382.43	367.43	376.45	382.53	389.14	450.11	5.98	6.71
S4-S1	Combined	time_delay_days	19.44	5.94	14.56	20.28	27.45	43.15	4.88	8.01
SX-S1	Combined	time_delay_days	376.02	365.12	370.5	376.03	381.65	390.23	5.52	5.63
S2-S1	Polyn.	magnification_ratio	1.021	0.618	0.915	1.048	1.287	1.921	0.106	0.266
S3-S1	Polyn.	magnification_ratio	0.907	0.357	0.799	0.969	1.25	2.021	0.108	0.343
S2-S1	GPR	magnification_ratio	1.057	0.767	0.944	1.081	1.296	1.794	0.113	0.239
S3-S1	GPR	magnification_ratio	0.919	0.506	0.803	0.977	1.285	2.025	0.116	0.366
S2-S1	SNTD	magnification_ratio	1.021	0.451	0.91	1.056	1.308	1.949	0.111	0.287
S3-S1	SNTD	magnification_ratio	0.889	0.281	0.721	0.933	1.206	2.008	0.168	0.317
S2-S1	PyCS	magnification_ratio	1.051	0.667	0.952	1.079	1.315	1.885	0.099	0.264
S3-S1	PyCS	magnification_ratio	0.931	0.396	0.827	0.996	1.279	2.044	0.104	0.348
S2-S1	Combined	magnification_ratio	1.06	0.63	0.94	1.08	1.3	1.78	0.12	0.24
S3-S1	Combined	magnification_ratio	0.91	0.5	0.8	0.97	1.3	2.07	0.11	0.39
S4-S1	Polyn.	magnification_ratio	0.296	0.199	0.268	0.303	0.363	0.529	0.028	0.067
SX-S1	Polyn.	magnification_ratio	0.287	0.211	0.264	0.297	0.35	0.459	0.023	0.063
S4-S1	GPR	magnification_ratio	0.357	0.239	0.298	0.356	0.42	0.525	0.059	0.063
SX-S1	GPR	magnification_ratio	0.311	0.203	0.264	0.311	0.362	0.455	0.047	0.051
S4-S1	SNTD	magnification_ratio	0.278	0.176	0.247	0.285	0.345	0.495	0.031	0.067
SX-S1	SNTD	magnification_ratio	0.275	0.198	0.253	0.289	0.343	0.447	0.022	0.068
S4-S1	PyCS	magnification_ratio	0.333	0.248	0.31	0.344	0.397	0.538	0.023	0.064
SX-S1	PyCS	magnification_ratio	0.305	0.194	0.274	0.309	0.355	0.437	0.031	0.05
S4-S1	Combined	magnification_ratio	0.28	0.18	0.26	0.3	0.37	0.52	0.02	0.09
SX-S1	Combined	magnification_ratio	0.3	0.22	0.27	0.31	0.35	0.45	0.03	0.05
