image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
1a	1	064.049084	-24.062862	3.2355	spec				zprev_ref=
1b	1	064.046959	-24.060797	3.2355	spec				zprev_ref=
1c	1	064.046449	-24.060397	3.2355	spec				zprev_ref=a
2a	2	064.050865	-24.066538	6.1452	spec				zprev_ref=
2b	2	064.048179	-24.062406	6.1452	spec				zprev_ref=
2c	2	064.043572	-24.059004	6.1452	spec				zprev_ref=
3a	3	064.049232	-24.068174	3.2885	spec				zprev_ref=
3b	3	064.045269	-24.062763	3.2885	spec				zprev_ref=
3c	3	064.041556	-24.059997	3.2885	spec				zprev_ref=
4a	4	064.048126	-24.066957	2.107	spec_sys				zprev_ref=;z propagated from same system
4b	4	064.047468	-24.066039	2.107	spec				zprev_ref=a
4c	4	064.042209	-24.060541	2.107	spec_sys				zprev_ref=;z propagated from same system
5a	5	064.047463	-24.068822	1.8950	spec				zprev_ref=def
5b	5	064.043071	-24.063080	1.8950	spec				zprev_ref=def
5c	5	064.041089	-24.061806	1.8950	spec				zprev_ref=def
6a	6	064.047808	-24.070164	3.6065	spec				zprev_ref=
6b	6	064.043657	-24.064401	3.6065	spec				zprev_ref=
6c	6	064.037676	-24.060756	3.6065	spec				zprev_ref=
7a	7	064.047098	-24.071105	2.085	spec				zprev_ref=def
7b	7	064.040664	-24.063586	2.0881	spec				zprev_ref=def
7c	7	064.039795	-24.063081	2.0881	spec				zprev_ref=def
8a	8	064.044624	-24.071488	2.282	spec				zprev_ref=a
8b	8	064.040485	-24.066330	2.267	spec				zprev_ref=b
8c	8	064.034256	-24.062997	2.282	spec_sys				zprev_ref=;z propagated from same system
9a	9	064.045112	-24.072341	3.2882	spec				zprev_ref=
9b	9	064.040079	-24.066738	3.2882	spec				zprev_ref=
9c	9	064.033157	-24.062893	3.2882	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
10a	10	064.044564	-24.072092	2.094	spec				zprev_ref=a
10b	10	064.039576	-24.066623	2.094	spec_sys				zprev_ref=;z propagated from same system
10c	10	064.034336	-24.063734	2.091	spec				zprev_ref=a
11a	11	064.046676	-24.075312	3.2922	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
11b	11	064.038515	-24.065965	3.2922	spec				zprev_ref=
11c	11	064.035223	-24.064731	3.2922	spec				zprev_ref=
