Galaxy	D_L_Mpc	V_c	F_HI	V85	A_F	K	SNR	sigma_mJy	logM_HI	incl_deg	V_rot	V_rot_i90	HI_Ref	NUV_r	logM_star	logM_bary
PRC A-01	83	5557 +/- 8	2.70 +/- 0.42	336 +/- 21	1.03 +/- 0.08	-0.072 +/- 0.019	14.5	2.4	9.6 +/- 0.1	40 +/- 7	259 +/- 38	171 +/- 10	1	4.3	10.1	10.3 +/- 0.3
PRC A-02	69	4601 +/- 5	3.05 +/- 0.48	320 +/- 19	1.03 +/- 0.07	-0.049 +/- 0.016	30.0	1.5	9.5 +/- 0.1			164 +/- 9	2			
PRC A-03	13	867 +/- 3	54.85 +/- 8.67	245 +/- 15	1.06 +/- 0.07	-0.049 +/- 0.015	194.3	4.4	9.3 +/- 0.1	60 +/- 6	147 +/- 12	128 +/- 7	1	4.4	10.2	10.3 +/- 0.3
PRC A-04	106	7034 +/- 6	2.47 +/- 0.39	426 +/- 28	1.02 +/- 0.08	-0.063 +/- 0.018	24.2	1.4	9.8 +/- 0.1	48 +/- 7	284 +/- 34	214 +/- 13	3	4.8	10.4	10.5 +/- 0.3
PRC A-05	43	2909 +/- 4	22.53 +/- 3.55	217 +/- 13	1.03 +/- 0.08	-0.048 +/- 0.016	27.6	8.7	10.0 +/- 0.1			115 +/- 6	4			
PRC A-06	81	5451 +/- 3	6.36 +/- 1.01	255 +/- 16	1.56 +/- 0.11	0.066 +/- 0.016	67.8	1.5	10.0 +/- 0.1	53 +/- 6	164 +/- 16	133 +/- 7	5	4.5	10.1	10.4 +/- 0.3
PRC B-01	26	1728 +/- 3	22.62 +/- 3.58	284 +/- 19	1.66 +/- 0.12	0.076 +/- 0.018	79.7	3.6	9.5 +/- 0.1			147 +/- 9	1			
PRC B-03	68							2.3	<=8.4	53 +/- 6			1	4.7	10.4	
PRC B-09	90	6035 +/- 4	0.82 +/- 0.13	119 +/- 9	1.12 +/- 0.09	-0.002 +/- 0.018	15.9	1.2	9.2 +/- 0.1	48 +/- 7	89 +/- 10	69 +/- 4	5	5.2	10.6	10.7 +/- 0.3
PRC B-16	42	2840 +/- 9	3.67 +/- 0.57	321 +/- 22	1.45 +/- 0.12	0.065 +/- 0.018	13.3	3.7	9.2 +/- 0.1			164 +/- 10	1			
PRC B-17	19	1254 +/- 3	7.47 +/- 1.18	151 +/- 9	1.02 +/- 0.07	0.024 +/- 0.015	53.6	2.6	8.8 +/- 0.1	36 +/- 7	135 +/- 23	84 +/- 4	1	2.5	8.9	9.2 +/- 0.3
PRC C-13	13	859 +/- 3	148.21 +/- 23.43	267 +/- 16	1.12 +/- 0.08	-0.029 +/- 0.015	543.3	4.4	9.7 +/- 0.1	67 +/- 6	150 +/- 10	139 +/- 8	3	4.5	10.0	10.2 +/- 0.3
PRC C-27	29	1967 +/- 3	6.90 +/- 1.09	140 +/- 9	1.08 +/- 0.08	-0.009 +/- 0.016	42.1	2.9	9.1 +/- 0.1	44 +/- 7	107 +/- 13	79 +/- 4	1	1.8	9.3	9.6 +/- 0.3
PRC C-28	22	1467 +/- 3	39.30 +/- 6.21	251 +/- 15	1.02 +/- 0.07	-0.036 +/- 0.015	143.3	3.1	9.6 +/- 0.1			131 +/- 7	8			
PRC C-45	8	527 +/- 17	97.53 +/- 16.31	484 +/- 34	2.00 +/- 0.29	-0.046 +/- 0.049	17.3	52.0	9.2 +/- 0.1			241 +/- 16	4			
SPRC 001	343									48 +/- 7				5.1	11.0	
SPRC 003	168	11019 +/- 17	1.25 +/- 0.23	230 +/- 33	1.13 +/- 0.30	0.013 +/- 0.044	6.5	2.7	9.9 +/- 0.1	19 +/- 11	351 +/- 193	121 +/- 15	1	3.7	10.0	10.3 +/- 0.3
SPRC 004	197									47 +/- 7				3.5	9.8	
SPRC 007	278									45 +/- 7				3.2	10.2	
SPRC 010	194							1.0	<=9.0	58 +/- 7			1	5.1	10.3	
SPRC 013	144									43 +/- 7				3.8	10.3	
SPRC 014	145							1.7	<=9.0	22 +/- 10			1	4.4	10.6	
SPRC 027	222	14769 +/- 13	0.88 +/- 0.16	306 +/- 37	1.00 +/- 0.14	-0.027 +/- 0.032	9.0	1.4	10.0 +/- 0.1	28 +/- 8	324 +/- 95	157 +/- 18	1	3.7	10.3	10.5 +/- 0.3
SPRC 033	20	1413 +/- 4	8.55 +/- 1.35	346 +/- 21	1.34 +/- 0.09	-0.023 +/- 0.018	74.1	1.7	8.9 +/- 0.1	28 +/- 8	362 +/- 97	176 +/- 10	3	5.5	10.3	10.3 +/- 0.3
SPRC 037	315									20 +/- 11				3.3	10.6	
SPRC 039	133							1.9		52 +/- 6			1	5.6	9.9	
SPRC 040	17	1137 +/- 3	5.85 +/- 0.93	132 +/- 8	1.17 +/- 0.09	0.079 +/- 0.015	45.1	2.4	8.6 +/- 0.1			75 +/- 4	1			
SPRC 060	367									45 +/- 7				2.4	10.2	
SPRC 067	126							2.4	<=9.0	57 +/- 7			1	5.3	10.6	
SPRC 069	111	7398 +/- 4	2.22 +/- 0.35	427 +/- 28	1.15 +/- 0.08	0.014 +/- 0.017	38.2	0.8	9.8 +/- 0.1	10 +/- 18	1127 +/- 1871	214 +/- 13	5	4.4	10.2	10.4 +/- 0.3
SPRC 241	79	5382 +/- 13	1.01 +/- 0.19	196 +/- 31	1.00 +/- 0.39	0.099 +/- 0.044	6.0	2.9	9.2 +/- 0.1	54 +/- 6	127 +/- 20	105 +/- 15	1	4.7	10.3	10.3 +/- 0.3
SPRC 260	96	6382 +/- 5	6.29 +/- 1.00	370 +/- 22	1.46 +/- 0.11	-0.046 +/- 0.015	43.1	1.9	10.1 +/- 0.1	48 +/- 7	246 +/- 28	187 +/- 10	1	3.7	10.3	10.6 +/- 0.3
NGC 7625	24	1630 +/- 3	19.08 +/- 3.02	156 +/- 9	1.03 +/- 0.07	0.041 +/- 0.015	131.6	2.7	9.4 +/- 0.1	35 +/- 7	142 +/- 25	87 +/- 4	3	3.5	10.1	10.2 +/- 0.3
