Component	M_1e9Msun	h_kpc	r_kpc	r1_kpc	r2_kpc
HG bulge	0.2		0.17		
HG disk	10.3	0.5	0.948		
Polar disk	15.	0.5		5.95	6.8
HI disk	7.2	0.5		3.4	15.3
DM halo	15	1.2	6.0		
