Name	D_Mpc	i_ring_deg	i_CG_deg	delta_deg	col6_1e10Msun	col7_kpc	col8_1e10Msun	col9_kpc	col10_kpc	col11_kpc	col12_kpc
SPRC 7	261.6	50 +/- 10	49 +/- 10	58 +/- 9 / 73 +/- 12	1.77	0.97	3.4	0.8	4	3.7	23
NGC 4262	14.6	65 +/- 3	36 +/- 4	50 +/- 6 / 88 +/- 6	1.02	0.9	0.4	0.2	1	4.2	15
