No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|AM 1934-563|294.66646 | -56.45439 |GTrpl| 11663| 0.038904 |UUN |     ||2|0|0|1|1|0|0
1|AM 1934-563 NED02|294.66002 | -56.45796 |G| 11649| 0.038857 |UUN |15.97||22|2|41|9|5|2|0
1|AM 2020-504|305.97878 | -50.65187 |G|  5080| 0.016945 |SLS |14.5 ||40|3|35|9|6|2|0
1|ESO 235- G 058|316.61815 | -48.12104 |G|  4310| 0.014378 |S1L |14.3r||49|4|55|15|13|16|0
1|ESO 415- G 026| 37.08376 | -31.88100 |G|  4604| 0.015357 |SUN |14.81||60|6|55|19|15|19|0
1|ESO 474- G 026| 11.78138 | -24.37074 |G| 15802| 0.052710 |SUN |15.19||41|2|49|15|9|12|0
1|ESO 503- G 017|171.71896 | -27.70584 |G| 10465| 0.034907 |SUN |16.54||17|4|34|6|5|13|0
1|ESO 576- G 069|202.52204 | -20.93306 |G|  5339| 0.017809 |SUN |14.97||55|6|49|12|8|14|0
1|ESO 603- G 021|342.84188 | -20.24734 |G|  3124| 0.010421 |SUN |15.31||45|5|45|18|10|14|0
1|IC 0051| 11.60097 | -13.44224 |G|  1720| 0.005736 |S1L |13.75||95|5|57|25|17|6|0
1|IC 1689| 20.94950 |  33.05532 |G|  4566| 0.015231 |SUN |14.68||47|1|39|12|8|6|0
1|IC 2006| 58.61856 | -35.96710 |G|  1382| 0.004610 |SUN |12.2B||191|6|63|25|19|19|0
1|NGC 0660| 25.76005 |  13.64504 |G|   848| 0.002829 |S1L |12.0B||502|14|239|65|50|12|0
1|NGC 2685|133.89470 |  58.73442 |G|   883| 0.002945 |SUN |12.12||430|15|131|44|28|12|0
1|NGC 2748|138.42916 |  76.47538 |G|  1476| 0.004923 |UUN |12.4 ||232|12|84|42|19|7|1
1|NGC 3718|173.14522 |  53.06792 |G|   993| 0.003312 |SUN |11.59||387|11|161|62|51|12|0
1|NGC 3808B|175.18636 |  22.44716 |G|  7198| 0.024009 |SLS |14.9g||80|3|56|21|15|9|1
1|NGC 4111|181.76302 |  43.06570 |G|   788| 0.002628 |S1L |11.63||370|16|159|58|39|10|0
1|NGC 4262|184.87741 |  14.87765 |G|  1359| 0.004533 |SUN |12.49||368|12|123|57|39|11|0
1|NGC 4632|190.63329 |  -0.08269 |G|  1721| 0.005741 |S1L |12.36||186|4|38|37|30|5|1
1|NGC 4650A|191.20439 | -40.71432 |G|  2880| 0.009607 |SUN |13.9 ||135|5|60|18|17|16|0
1|NGC 4753|193.09195 |  -1.19961 |G|  1163| 0.003879 |UUN |10.85||330|10|90|43|28|8|0
1|NGC 5014|197.87994 |  36.28200 |G|  1135| 0.003787 |SLS |13.3g||176|2|120|52|37|10|0
1|NGC 5122|201.06225 | -10.65423 |G|  2818| 0.009400 |SUN |13.94||47|4|34|11|11|3|1
1|NGC 5128|201.36506 | -43.01911 |G|   547| 0.001825 |UUN | 7.84||2420|33|532|144|132|22|0
1|NGC 5907:[IDD2022] X026|228.97183 |  56.32988 |G|   665| 0.002218 |S1L |11.12||600|15|125|57|31|7|0
1|NGC 6156|248.71892 | -60.61892 |G|  3263| 0.010885 |S1L |12.30||87|2|107|37|19|16|0
1|NGC 7625|350.12535 |  17.22565 |G|  1629| 0.005434 |S1L |12.83||287|14|108|41|38|8|0
1|PRC A-01| 24.73014 |  -7.76546 |G|  5528| 0.018439 |SUN |16.0b||46|4|35|9|9|2|0
1|UGC 04261|122.73392 |  36.82931 |G|  6446| 0.021502 |SUN |14.7B||62|4|74|19|18|13|0
1|UGC 04385|125.96664 |  14.75185 |G|  1970| 0.006571 |S1L |18.7g||75|3|57|25|24|11|0
1|UGC 05119|144.30273 |  38.09239 |G|  6011| 0.020050 |SLS |14.2g||52|2|74|18|13|15|0
1|UGC 07576|186.92441 |  28.69806 |G|  7017| 0.023406 |SLS |15.5g||65|1|52|13|12|11|0
1|UGC 09562|222.81009 |  35.54232 |G|  1276| 0.004256 |SLS |14.3g||157|9|112|33|27|16|0
1|UGC 09796|228.98462 |  43.16679 |G|  5390| 0.017980 |SLS |15.8g||61|5|38|18|17|11|0
