variant	domain	name	radius_kpc	gbar_m_s2	gdyn_m_s2	response_log10_ratio	has_stellar_robustness	gbar_with_stars_m_s2	a	a2	a3	a_x_c	a_x_m	c	m	m_x_c	population_proxy	s	transition_balance	transition_product	v
primary	galaxy	IC2574	8.500000000000e-01	1.753225375115e-12	4.044873821378e-12	3.630672307330e-01	0	nan	-1.835343498307e+00	3.368485756777e+00	-6.182328432839e+00	-1.125404694217e+00	2.481594790856e+00	6.131847772666e-01	-1.352114627668e+00	-8.295192476187e-01	0.000000000000e+00	-1.045522239035e+00	5.650565596722e-01	1.593696611089e-03	-1.658707016302e+00
primary	galaxy	IC2574	1.140000000000e+00	2.043398047055e-12	4.730684925934e-12	3.645710500648e-01	0	nan	-1.768828272073e+00	3.128753456083e+00	-5.534227569464e+00	-1.325139532276e+00	2.610510045477e+00	7.491623427769e-01	-1.475841429433e+00	-1.165526724930e+00	0.000000000000e+00	-1.101260258045e+00	6.191433651401e-01	1.147328068918e-03	-1.850422600821e+00
primary	galaxy	IC2574	1.420000000000e+00	2.202772517588e-12	6.138309842880e-12	4.450791570277e-01	0	nan	-1.736211596585e+00	3.014430708117e+00	-5.233689552534e+00	-1.308901518996e+00	2.580401151888e+00	7.538836404331e-01	-1.486225041328e+00	-1.251973905301e+00	0.000000000000e+00	-1.109283221111e+00	5.654556732623e-01	1.427832025318e-03	-1.863166861544e+00
primary	galaxy	IC2574	1.710000000000e+00	2.433807242043e-12	6.556608204539e-12	4.303930537639e-01	0	nan	-1.692895066990e+00	2.865893707839e+00	-4.851657320519e+00	-5.179653565822e-01	2.206906799516e+00	3.059642423692e-01	-1.303628820562e+00	-4.033390060700e-01	0.000000000000e+00	-1.150646699378e+00	3.064656771047e-01	2.062226706964e-03	-1.456610941747e+00
primary	galaxy	IC2574	1.990000000000e+00	2.717505802928e-12	6.384498053436e-12	3.709562787448e-01	0	nan	-1.645010765901e+00	2.706060419931e+00	-4.451498523966e+00	-7.766264238614e-01	2.355005674555e+00	4.721102377929e-01	-1.431605022514e+00	-6.762507068502e-01	0.000000000000e+00	-1.195549903618e+00	4.643161573078e-01	1.164287065660e-03	-1.667660141411e+00
primary	galaxy	IC2574	2.280000000000e+00	2.725649603718e-12	9.682680963870e-12	5.505255981574e-01	0	nan	-1.643711221751e+00	2.701786580510e+00	-4.440956921161e+00	-1.156603889185e+00	2.579985426291e+00	7.036539471655e-01	-1.569609912101e+00	-1.144287974416e+00	0.000000000000e+00	-1.217782938518e+00	6.111826407204e-01	7.609575146077e-04	-1.921436885683e+00
primary	galaxy	IC2574	2.550000000000e+00	2.821916827094e-12	9.751441337246e-12	5.385246032198e-01	0	nan	-1.628637036795e+00	2.652458597619e+00	-4.319892310647e+00	-7.866370295684e-01	2.380684399448e+00	4.830032793044e-01	-1.461764865751e+00	-7.556623626368e-01	0.000000000000e+00	-1.220263226099e+00	4.357253273076e-01	1.222845041307e-03	-1.703266505404e+00
primary	galaxy	IC2574	2.840000000000e+00	2.794158823058e-12	1.006570071629e-11	5.565929251099e-01	0	nan	-1.632930157792e+00	2.666460900227e+00	-4.354144418555e+00	-3.143796539088e-01	2.255329964456e+00	1.925248623823e-01	-1.381155191295e+00	-2.710607886750e-01	0.000000000000e+00	-1.284892760104e+00	1.988735564083e-01	1.492396975140e-03	-1.477417622486e+00
primary	galaxy	IC2574	3.130000000000e+00	2.745966650065e-12	1.127542698468e-11	6.134377385878e-01	0	nan	-1.640485987648e+00	2.691194275670e+00	-4.414866499276e+00	-7.473807082075e-01	2.518611586978e+00	4.555849387528e-01	-1.535283815858e+00	-7.012202315268e-01	0.000000000000e+00	-1.307491346481e+00	4.562239161531e-01	7.577861719676e-04	-1.763076285234e+00
primary	galaxy	IC2574	3.410000000000e+00	2.669665118567e-12	1.150942331580e-11	6.345967765761e-01	0	nan	-1.652724458945e+00	2.731498137196e+00	-4.514413780906e+00	-2.148337669901e+00	3.155697439137e+00	1.299876490769e+00	-1.909391140221e+00	-2.513902108112e+00	0.000000000000e+00	-1.259452894837e+00	8.694768800860e-01	1.833984755035e-04	-2.559329385606e+00
