variant	domain	name	radius_kpc	gbar_m_s2	gdyn_m_s2	response_log10_ratio	has_stellar_robustness	gbar_with_stars_m_s2	a	a2	a3	a_x_c	a_x_m	c	m	m_x_c	population_proxy	s	transition_balance	transition_product	v
primary	galaxy	IC2574	3.700000000000e+00	2.431993330188e-12	1.072960710694e-11	6.446214398743e-01	0	nan	-1.693218866510e+00	2.866990129907e+00	-4.854441778058e+00	-1.247982708057e+00	2.851519617988e+00	7.370474855560e-01	-1.684082119794e+00	-1.405493206167e+00	0.000000000000e+00	-1.315558377016e+00	5.319950182518e-01	7.281099056602e-04	-2.052605862572e+00
primary	galaxy	IC2574	3.980000000000e+00	2.211192258982e-12	1.238498818906e-11	7.482690914534e-01	0	nan	-1.734554740744e+00	3.008680148637e+00	-5.218720415200e+00	-1.790586698256e+00	3.194078860857e+00	1.032303366504e+00	-1.841440218535e+00	-1.904583117568e+00	0.000000000000e+00	-1.325288535283e+00	8.140496982924e-01	1.902607818449e-04	-2.357591901788e+00
primary	galaxy	IC2574	4.260000000000e+00	2.205708617980e-12	9.804574544669e-12	6.478806127973e-01	0	nan	-1.735633106013e+00	3.012422278689e+00	-5.228459836184e+00	-2.125945897890e+00	3.350537058352e+00	1.224882085116e+00	-1.930440855700e+00	-2.434756748146e+00	0.000000000000e+00	-1.317999813141e+00	8.328099480933e-01	1.846266403558e-04	-2.542881898258e+00
primary	galaxy	IC2574	4.550000000000e+00	2.552019672225e-12	1.139614695189e-11	6.498740229588e-01	0	nan	-1.672297228230e+00	2.796578019545e+00	-4.676709670613e+00	-3.605219785837e-01	2.399763949640e+00	2.155848688246e-01	-1.435010421072e+00	-3.401116773536e-01	0.000000000000e+00	-1.327217986660e+00	2.093532774756e-01	1.298149296739e-03	-1.542802855485e+00
primary	galaxy	IC2574	4.840000000000e+00	2.899268110587e-12	1.002827011159e-11	5.389376444619e-01	0	nan	-1.616892867338e+00	2.614342544449e+00	-4.227111812899e+00	1.383022954889e+00	1.274648944023e+00	-8.553584364349e-01	-7.883323439490e-01	6.772912683776e-01	0.000000000000e+00	-1.216011562166e+00	-5.909900840839e-01	1.154416748421e-02	-3.606531257315e-01
primary	galaxy	IC2574	5.120000000000e+00	3.048273834828e-12	1.105941251111e-11	5.596780790635e-01	0	nan	-1.595127267759e+00	2.544431000348e+00	-4.058691269587e+00	7.447755581441e-01	1.692466391157e+00	-4.669066683252e-01	-1.061022794460e+00	4.823088449993e-01	0.000000000000e+00	-1.294476128623e+00	-4.092747939466e-01	5.305530185725e-03	-8.275694602975e-01
primary	galaxy	IC2574	5.410000000000e+00	3.017163721368e-12	1.102469983750e-11	5.627678969591e-01	0	nan	-1.599582368966e+00	2.558663755107e+00	-4.092793430781e+00	-4.350667782680e-01	2.244468637599e+00	2.719877304907e-01	-1.403159150254e+00	-4.027982533447e-01	0.000000000000e+00	-1.267165285008e+00	2.695969538532e-01	1.430441095961e-03	-1.539153015499e+00
primary	galaxy	IC2574	5.680000000000e+00	3.107497106128e-12	1.124778637331e-11	5.586563264210e-01	0	nan	-1.586770513173e+00	2.517840661474e+00	-3.995235318494e+00	4.144732690149e-01	1.858055718349e+00	-2.612055527716e-01	-1.170966880796e+00	2.804758898845e-01	0.000000000000e+00	-1.301569657182e+00	-2.478396412018e-01	3.645474172759e-03	-1.040364104410e+00
primary	galaxy	IC2574	5.970000000000e+00	3.142042732826e-12	1.153657714191e-11	5.648648871342e-01	0	nan	-1.581969158754e+00	2.502626419249e+00	-3.959077811135e+00	4.507847138816e-01	1.929720845502e+00	-2.849516448454e-01	-1.219822039402e+00	3.477405387083e-01	0.000000000000e+00	-1.362297861824e+00	-2.821170546419e-01	2.842536264729e-03	-1.077346216979e+00
primary	galaxy	IC2574	6.260000000000e+00	3.263901939057e-12	1.242988989450e-11	5.807301793264e-01	0	nan	-1.565444143750e+00	2.450615367200e+00	-3.836301475166e+00	-1.124296629182e-01	2.291810426123e+00	7.181965793358e-02	-1.464000127550e+00	-1.281737390896e-01	0.000000000000e+00	-1.428090298584e+00	8.254544976685e-02	1.185180296149e-03	-1.499909956517e+00
primary	galaxy	IC2574	6.540000000000e+00	3.379401641422e-12	1.334769954410e-11	5.965666114684e-01	0	nan	-1.550341435366e+00	2.403558566211e+00	-3.726336437525e+00	-5.953034233899e-01	2.504695856856e+00	3.839821408434e-01	-1.615576930165e+00	-6.364157128247e-01	0.000000000000e+00	-1.423585859744e+00	3.866513472989e-01	5.703245835355e-04	-1.807568000587e+00
primary	galaxy	IC2574	6.830000000000e+00	3.300592070484e-12	1.337881946165e-11	6.078259412965e-01	0	nan	-1.560589394085e+00	2.435439256930e+00	-3.800720674303e+00	9.940207178924e-02	2.219358959814e+00	-6.369521167195e-02	-1.422128695880e+00	8.961514937626e-02	0.000000000000e+00	-1.453976301716e+00	-6.755078179417e-02	1.237637016628e-03	-1.390281090044e+00
primary	galaxy	IC2574	7.100000000000e+00	3.271066197695e-12	1.331001747608e-11	6.094892925235e-01	0	nan	-1.564491912866e+00	2.447634945424e+00	-3.829305077766e+00	1.036929979814e-01	2.292213655321e+00	-6.627902460129e-02	-1.465148932040e+00	9.710864211122e-02	0.000000000000e+00	-1.498288444341e+00	-7.112576622319e-02	1.025681947462e-03	-1.432009419739e+00
primary	galaxy	IC2574	7.390000000000e+00	3.216486162311e-12	1.370340937950e-11	6.294469447997e-01	0	nan	-1.571799558691e+00	2.470553852703e+00	-3.883215455402e+00	3.311434339480e-01	2.149450764505e+00	-2.106779023553e-01	-1.367509459218e+00	2.875466486573e-01	0.000000000000e+00	-1.472848410396e+00	-2.186061863985e-01	1.565352368763e-03	-1.262170508040e+00
primary	galaxy	IC2574	7.680000000000e+00	3.273650834479e-12	1.458958326367e-11	6.490105309264e-01	0	nan	-1.564148890075e+00	2.446561750324e+00	-3.826786846271e+00	1.044880699538e+00	1.895181649924e+00	-6.680186944911e-01	-1.211637627306e+00	8.037662598892e-01	0.000000000000e+00	-1.545646974551e+00	-5.775205766215e-01	2.788060908410e-03	-8.776282800601e-01
primary	galaxy	IC2574	7.960000000000e+00	3.288505667911e-12	1.336735958950e-11	6.090470362499e-01	0	nan	-1.562182651323e+00	2.440414636093e+00	-3.812373406538e+00	1.023845318886e+00	1.947927544657e+00	-6.553941166991e-01	-1.246926883363e+00	8.174826212161e-01	0.000000000000e+00	-1.574623941712e+00	-5.829312450280e-01	2.442057975949e-03	-9.192298250132e-01
primary	galaxy	IC2574	8.250000000000e+00	3.271075861940e-12	1.145468170669e-11	5.442924095875e-01	0	nan	-1.564490629761e+00	2.447630930611e+00	-3.829295656055e+00	6.214899556847e-01	2.228987208869e+00	-3.972474771418e-01	-1.424736694785e+00	5.581008126449e-01	0.000000000000e+00	-1.623360433356e+00	-3.933586925392e-01	1.240067612327e-03	-1.226112956214e+00
primary	galaxy	IC2574	8.520000000000e+00	3.138933806355e-12	1.548286109264e-11	6.930690600324e-01	0	nan	-1.582399088627e+00	2.503986875686e+00	-3.962306550019e+00	6.192500747354e-01	2.310259114342e+00	-3.913362180162e-01	-1.459972475304e+00	5.609568996152e-01	0.000000000000e+00	-1.655640584313e+00	-3.855298872160e-01	1.066171396215e-03	-1.264304366296e+00
primary	galaxy	NGC2403	1.600000000000e-01	5.455690907559e-11	1.215798605306e-10	3.480118834812e-01	0	nan	-3.423314886778e-01	1.171908481404e-01	-4.011811750331e-02	-3.584066964687e-01	1.353535883268e-01	1.046958016783e+00	-3.953874907901e-01	-4.199971968792e-01	0.000000000000e+00	1.280915176016e-01	4.350489028219e-01	2.383261786013e-02	-9.188664991818e-01
primary	galaxy	NGC2403	2.600000000000e-01	7.779172215423e-11	1.553193332609e-10	3.002921315699e-01	0	nan	-1.882478600349e-01	3.543725680771e-02	-6.670987759557e-03	-1.362868353931e-01	5.106437257787e-02	7.239754830035e-01	-2.712613708778e-01	-2.316934092231e-01	0.000000000000e+00	9.072637062400e-02	2.572710777408e-01	3.791145840179e-02	-6.332491123795e-01
primary	galaxy	NGC2403	3.600000000000e-01	9.963387481990e-11	1.680019983648e-10	2.269074270265e-01	0	nan	-8.077422543370e-02	6.524475494414e-03	-5.270094544224e-04	-3.499361852212e-02	1.272026986365e-02	4.332275343308e-01	-1.574793171380e-01	-8.757046412848e-02	0.000000000000e+00	5.913445002737e-02	1.030854363348e-01	5.145115605832e-02	-3.740930843035e-01
primary	galaxy	NGC2403	4.600000000000e-01	1.135368486964e-10	1.905014608404e-10	2.247614744906e-01	0	nan	-2.404441017231e-02	5.781336605342e-04	-1.390088286830e-05	-6.677831271517e-03	3.594777656186e-03	2.777290531838e-01	-1.495057533300e-01	-4.046534435251e-02	0.000000000000e+00	-1.064122673810e-02	5.260413545721e-02	5.592192555829e-02	-2.883702799219e-01
primary	galaxy	NGC2403	5.600000000000e-01	1.180729351355e-10	2.146327613658e-10	2.595456536825e-01	0	nan	-7.030886692717e-03	4.943336768583e-05	-3.475604070385e-07	-4.622262991512e-03	2.797677699704e-03	6.574224836108e-01	-3.979124997992e-01	-4.510994105718e-01	0.000000000000e+00	-6.920125799378e-02	3.107561187162e-01	3.913554422309e-02	-7.266237416046e-01
primary	galaxy	NGC2403	6.600000000000e-01	1.125030048772e-10	2.125970854962e-10	2.763931841573e-01	0	nan	-2.801712374104e-02	7.849592227209e-04	-2.199229967464e-05	-3.532891236206e-02	2.053890539363e-02	1.260975705022e+00	-7.330840090320e-01	-1.046816755659e+00	0.000000000000e+00	-1.025961565208e-01	6.855083799879e-01	1.472345596649e-02	-1.363571861543e+00
primary	galaxy	NGC2403	7.600000000000e-01	1.074403639437e-10	2.192169715962e-10	3.097067030394e-01	0	nan	-4.801377525440e-02	2.305322614180e-03	-1.106872418861e-04	-4.486397340948e-02	2.681632323402e-02	9.343979549988e-01	-5.585131161199e-01	-8.505930719579e-01	0.000000000000e+00	-9.131413862057e-02	5.551727892840e-01	2.391898506441e-02	-1.025712093619e+00
primary	galaxy	NGC2403	8.600000000000e-01	1.003685323736e-10	2.097145961680e-10	3.200310847003e-01	0	nan	-7.758367226832e-02	6.019226202637e-03	-4.669936730143e-04	-9.202837022979e-03	8.975537403854e-03	1.186182189360e-01	-1.156884836904e-01	-2.349695578139e-01	0.000000000000e+00	-5.637937422242e-02	1.575328880318e-01	5.088204509366e-02	-1.749975931584e-01
primary	galaxy	NGC2403	9.600000000000e-01	9.516139403859e-11	1.878693257338e-10	2.953950812037e-01	0	nan	-1.007204505677e-01	1.014460916257e-02	-1.021769605687e-03	2.581478617465e-02	2.744186713136e-03	-2.563013373068e-01	-2.724557622278e-02	1.050842664572e-02	0.000000000000e+00	-1.553962448762e-01	-1.371652835533e-02	5.907464261802e-02	1.009050924306e-01
primary	galaxy	NGC2403	1.060000000000e+00	9.150138845109e-11	1.793911974299e-10	2.923734446346e-01	0	nan	-1.177535619039e-01	1.386590134105e-02	-1.632759271917e-03	9.841579177638e-03	2.381759008310e-02	-8.357776205251e-02	-2.022664087439e-01	-4.304947272162e-02	0.000000000000e+00	-2.440552897702e-01	4.849318450974e-02	4.994903506516e-02	-1.604775277177e-01
primary	galaxy	NGC2403	1.160000000000e+00	8.885051667689e-11	1.721594153136e-10	2.872708214160e-01	0	nan	-1.305212884221e-01	1.703580673137e-02	-2.223535443890e-03	-3.353679663264e-02	5.223788058636e-02	2.569450320179e-01	-4.002249841222e-01	-1.445698678016e-01	0.000000000000e+00	-2.717524681132e-01	1.692130064521e-01	3.751721914795e-02	-5.286975001311e-01
primary	galaxy	NGC2403	1.270000000000e+00	8.684519639963e-11	1.774916125550e-10	3.104320334407e-01	0	nan	-1.404354443909e-01	1.972211404127e-02	-2.769683849715e-03	-5.078875044636e-02	6.696580867604e-02	3.616519367075e-01	-4.768440685788e-01	-1.724306570600e-01	0.000000000000e+00	-2.960181002251e-01	2.029506313917e-01	3.296377503579e-02	-6.576700369326e-01
primary	galaxy	NGC2403	1.360000000000e+00	8.719193123540e-11	1.778844688568e-10	3.096617343007e-01	0	nan	-1.387049489829e-01	1.923906287236e-02	-2.668553234190e-03	-3.274444181251e-02	6.064799204836e-02	2.360726279243e-01	-4.372446152287e-01	-1.134191337527e-01	0.000000000000e+00	-3.192083012666e-01	1.334892541235e-01	3.698263594733e-02	-5.552809291909e-01
primary	galaxy	NGC2403	1.470000000000e+00	8.597764086011e-11	1.684050013948e-10	2.919694609573e-01	0	nan	-1.447957217064e-01	2.096580102448e-02	-3.035758290493e-03	-5.237988549697e-03	5.320360072567e-02	3.617502290791e-02	-3.674390382441e-01	-1.901931599010e-02	0.000000000000e+00	-3.493515267902e-01	2.202964106998e-02	4.382396858851e-02	-3.855265496981e-01
primary	galaxy	NGC2403	1.570000000000e+00	8.577448674988e-11	1.683159617597e-10	2.927671749543e-01	0	nan	-1.458231180062e-01	2.126438174506e-02	-3.100838448540e-03	3.906195938076e-03	5.566471422810e-02	-2.678721996541e-02	-3.817276368052e-01	1.037394354961e-02	0.000000000000e+00	-3.951212467879e-01	-1.290020664671e-02	4.295265531325e-02	-3.683340268225e-01
primary	galaxy	NGC2403	1.670000000000e+00	8.644699772726e-11	1.689259115502e-10	2.909463561406e-01	0	nan	-1.424313310649e-01	2.028668406892e-02	-2.889459414830e-03	-1.643052219011e-02	6.921311138329e-02	1.153574994158e-01	-4.859402131947e-01	-7.936959185816e-02	0.000000000000e+00	-4.282614634868e-01	8.529206070150e-02	3.443797904280e-02	-5.436189629026e-01
primary	galaxy	NGC2403	1.770000000000e+00	8.664317174906e-11	1.593820747395e-10	2.647051337703e-01	0	nan	-1.414469039089e-01	2.000722662541e-02	-2.829960261968e-03	-4.450385684662e-02	8.616994471678e-02	3.146329514238e-01	-6.092034702455e-01	-2.040011589103e-01	0.000000000000e+00	-4.518869945336e-01	2.220212417188e-01	2.436644654788e-02	-7.665199459574e-01
primary	galaxy	NGC2403	1.870000000000e+00	8.604536161137e-11	1.570658413444e-10	2.613542809322e-01	0	nan	-1.444537819696e-01	2.086689512531e-02	-3.014301918813e-03	-1.734296413348e-02	7.606368634254e-02	1.200589136333e-01	-5.265607123984e-01	-7.565911882922e-02	0.000000000000e+00	-4.665312555818e-01	8.302596876315e-02	3.111468552983e-02	-5.865901692151e-01
primary	galaxy	NGC2403	1.970000000000e+00	8.536877748430e-11	1.554231685380e-10	2.602166962766e-01	0	nan	-1.478821838555e-01	2.186914030186e-02	-3.234056226880e-03	3.843525419534e-02	3.726018132006e-02	-2.599045618159e-01	-2.519585547674e-01	-4.384181695175e-02	0.000000000000e+00	-3.819108356753e-01	5.391771664895e-02	3.751798105471e-02	-1.220062738594e-01
primary	galaxy	NGC2403	2.080000000000e+00	8.468595891913e-11	1.530147964114e-10	2.569220192748e-01	0	nan	-1.513698365368e-01	2.291282741317e-02	-3.468310940127e-03	1.018041073880e-01	-1.306995527641e-02	-6.725521392981e-01	8.634451602405e-02	-9.902922182031e-02	0.000000000000e+00	-2.499315536250e-01	1.220380519852e-01	4.108318232096e-02	4.226205856731e-01
primary	galaxy	NGC2403	2.180000000000e+00	8.441301446808e-11	1.433560205282e-10	2.300065271364e-01	0	nan	-1.527718364369e-01	2.333923400830e-02	-3.565577640478e-03	1.301898044242e-01	8.775158286126e-03	-8.521845875567e-01	-5.743963344809e-02	5.426227262011e-02	0.000000000000e+00	-4.835319272265e-01	-6.539288219060e-02	3.821234308764e-02	3.686526603303e-01
primary	galaxy	NGC2403	2.280000000000e+00	8.176568659215e-11	1.370684757682e-10	2.243664954517e-01	0	nan	-1.666101581480e-01	2.775894479811e-02	-4.624922182836e-03	7.767417447577e-02	5.656575775594e-02	-4.662031135386e-01	-3.395096576626e-01	2.074690679518e-02	0.000000000000e+00	-5.726112144319e-01	-2.883862187151e-02	3.053179973535e-02	-1.064081008933e-01
primary	galaxy	NGC2403	2.370000000000e+00	7.793122673701e-11	1.318633437770e-10	2.284125716990e-01	0	nan	-1.874697334050e-01	3.514490094294e-02	-6.588605210319e-03	3.660116662434e-03	1.108696146445e-01	-1.952377376313e-02	-5.914000763257e-01	-5.873848313886e-02	0.000000000000e+00	-6.011619632073e-01	6.358231618316e-02	2.313324576829e-02	-5.816381894442e-01
primary	galaxy	NGC2403	2.470000000000e+00	7.400752420453e-11	1.239609886720e-10	2.240091554994e-01	0	nan	-2.099053701762e-01	4.406026442882e-02	-9.248486114995e-03	-2.139158049694e-02	1.401220841869e-01	1.019105918013e-01	-6.675488295953e-01	-6.827100089691e-02	0.000000000000e+00	-6.165935336947e-01	7.573669930773e-02	2.112442066478e-02	-7.185041254960e-01
primary	galaxy	NGC2403	2.570000000000e+00	7.058866335797e-11	1.216016049616e-10	2.362043486940e-01	0	nan	-2.304462877212e-01	5.310549152448e-02	-1.223796337943e-02	-1.594638484524e-02	1.520229748470e-01	6.919783782557e-02	-6.596894068042e-01	-4.577872458400e-02	0.000000000000e+00	-6.250904878915e-01	5.106184178124e-02	2.166977407727e-02	-6.942883257170e-01
primary	galaxy	NGC2403	2.680000000000e+00	6.693554095645e-11	1.166104943102e-10	2.410808587241e-01	0	nan	-2.535244684488e-01	6.427465610222e-02	-1.629519802304e-02	-3.083755130367e-02	1.803217947613e-01	1.216354046312e-01	-7.112599263679e-01	-8.733382225478e-02	0.000000000000e+00	-6.504422240523e-01	9.457780098271e-02	1.851556831120e-02	-7.720776286835e-01
primary	galaxy	NGC2403	2.780000000000e+00	6.395552609814e-11	1.124158722127e-10	2.449495586410e-01	0	nan	-2.733031702550e-01	7.469462287141e-02	-2.041427723176e-02	2.336898727478e-02	1.430988074217e-01	-8.550573069818e-02	-5.235900018585e-01	-1.987717456998e-02	0.000000000000e+00	-5.663428672076e-01	1.419898644971e-02	3.048373969248e-02	-4.808371365094e-01
primary	galaxy	NGC2403	2.880000000000e+00	6.122972764554e-11	1.105106862971e-10	2.564419483239e-01	0	nan	-2.922189183823e-01	8.539189626052e-02	-2.495312756386e-02	1.036256474485e-01	8.195583661334e-02	-3.546164910271e-01	-2.804604064208e-01	7.605650964157e-02	0.000000000000e+00	-4.577686519343e-01	-9.814597240055e-02	4.595258456621e-02	-1.031521609072e-01
primary	galaxy	NGC2403	2.980000000000e+00	5.888466388653e-11	1.087509828673e-10	2.664309902558e-01	0	nan	-3.091790456019e-01	9.559168223928e-02	-2.955494508222e-02	2.040428526155e-01	6.792094578451e-02	-6.599504575682e-01	-2.196815946963e-01	1.441613013000e-01	0.000000000000e+00	-5.496568234804e-01	-1.764414149242e-01	4.196133304595e-02	1.102936340878e-01
primary	galaxy	NGC2403	3.080000000000e+00	5.702497754809e-11	1.094709991149e-10	2.832339588432e-01	0	nan	-3.231161230896e-01	1.044040290004e-01	-3.373462508556e-02	1.763956058755e-01	1.146175044378e-01	-5.459201608042e-01	-3.547254260848e-01	1.582801486152e-01	0.000000000000e+00	-6.276855064869e-01	-1.882263197350e-01	3.521376898413e-02	-8.176534568265e-02
primary	galaxy	NGC2403	3.190000000000e+00	5.515730817111e-11	1.036338229831e-10	2.738984560345e-01	0	nan	-3.375781827962e-01	1.139590295000e-01	-3.847008209181e-02	1.050106952771e-01	1.819909516916e-01	-3.110707404350e-01	-5.391075637179e-01	1.609418166446e-01	0.000000000000e+00	-6.946429339354e-01	-1.854892241819e-01	2.851761200673e-02	-3.835721935004e-01
primary	galaxy	NGC2403	3.290000000000e+00	5.398658138809e-11	1.004838587587e-10	2.698104770386e-01	0	nan	-3.468954186930e-01	1.203364315102e-01	-4.174415679275e-02	2.233889375063e-02	2.408671205626e-01	-6.439662372826e-02	-6.943508261657e-01	4.128573283093e-02	0.000000000000e+00	-7.265491380298e-01	-4.599913737447e-02	1.957385976747e-02	-6.621525143016e-01
primary	galaxy	NGC2403	3.390000000000e+00	5.302640221144e-11	1.014201400641e-10	2.816320443149e-01	0	nan	-3.546890843774e-01	1.258043465765e-01	-4.462142849791e-02	-8.394416802183e-02	3.030609407449e-01	2.366697248921e-01	-8.544411263088e-01	-2.497465774942e-01	0.000000000000e+00	-7.361062638627e-01	2.060680188883e-01	1.276819676357e-02	-9.727759887548e-01
primary	galaxy	NGC2403	3.490000000000e+00	5.204565529177e-11	1.063142753148e-10	3.102071022064e-01	0	nan	-3.627967650649e-01	1.316214927416e-01	-4.775185177966e-02	-1.941933841737e-01	3.667875543004e-01	5.352676839302e-01	-1.011000068412e+00	-5.500149925453e-01	0.000000000000e+00	-7.433662264471e-01	4.619491914743e-01	6.401823608508e-03	-1.278633910377e+00
primary	galaxy	NGC2403	3.590000000000e+00	5.080901759099e-11	1.092296083629e-10	3.323995787507e-01	0	nan	-3.732404482823e-01	1.393084322340e-01	-5.199554169653e-02	-1.601330816990e-01	3.539927986518e-01	4.290346409023e-01	-9.484309652956e-01	-4.080683771499e-01	0.000000000000e+00	-7.339136448445e-01	3.718170221282e-01	7.946151321446e-03	-1.162948285747e+00
primary	galaxy	NGC2403	3.690000000000e+00	4.994703795659e-11	1.101689306417e-10	3.435493958967e-01	0	nan	-3.806715079851e-01	1.449107969917e-01	-5.516341161415e-02	-3.882064218836e-02	3.134845761987e-01	1.019793742742e-01	-8.235041751823e-01	-1.272044427044e-01	0.000000000000e+00	-7.725144880452e-01	1.036564269505e-01	1.339031586025e-02	-8.744938623195e-01
primary	galaxy	NGC2403	3.790000000000e+00	4.879938134019e-11	1.111270914132e-10	3.574056312637e-01	0	nan	-3.907669298286e-01	1.526987934477e-01	-5.966963870407e-02	9.225909664704e-02	2.725492766584e-01	-2.360975036642e-01	-6.974727282524e-01	1.565953304249e-01	0.000000000000e+00	-8.155214800845e-01	-1.730526094238e-01	1.902822582619e-02	-5.794239764203e-01
primary	galaxy	NGC2403	3.900000000000e+00	4.732689402593e-11	1.157041303236e-10	3.882408588815e-01	0	nan	-4.040732425655e-01	1.632751853574e-01	-6.597513357784e-02	1.214445326859e-01	2.788195716112e-01	-3.005507910270e-01	-6.900223579292e-01	2.075375822046e-01	0.000000000000e+00	-8.402977534427e-01	-2.235099971564e-01	1.916468108830e-02	-5.397469624157e-01
primary	galaxy	NGC2403	3.990000000000e+00	4.611433141950e-11	1.130942627224e-10	3.896046572259e-01	0	nan	-4.153453295701e-01	1.725117427957e-01	-7.165194666620e-02	1.361914737200e-01	2.884104176509e-01	-3.278993743855e-01	-6.943870488429e-01	2.277170864633e-01	0.000000000000e+00	-8.583367360356e-01	-2.438773660914e-01	1.879655080830e-02	-5.304373616501e-01
primary	galaxy	NGC2403	4.470000000000e+00	4.067756889734e-11	1.009499123629e-10	3.947509569243e-01	0	nan	-4.698262567138e-01	2.207367114977e-01	-1.037079028823e-01	6.740016490249e-02	4.366332767963e-01	-1.434576376679e-01	-9.293505217234e-01	1.212603420418e-01	0.000000000000e+00	-1.001079340557e+00	-1.180711060840e-01	8.865400093958e-03	-8.576217028895e-01
primary	galaxy	NGC2403	4.970000000000e+00	3.575758430478e-11	9.546931504377e-11	4.264956354389e-01	0	nan	-5.258130748091e-01	2.764793896402e-01	-1.453764779881e-01	-2.510854485962e-01	7.062316009996e-01	4.775184578424e-01	-1.343122936332e+00	-6.563218383715e-01	0.000000000000e+00	-1.104363707411e+00	4.506890918665e-01	1.790156437657e-03	-1.581882165253e+00
primary	galaxy	NGC2403	5.470000000000e+00	3.152281783056e-11	9.109729863711e-11	4.608804665515e-01	0	nan	-5.805562138302e-01	3.370455174169e-01	-1.956738694800e-01	9.237548927728e-02	6.643784072300e-01	-1.591154948938e-01	-1.144382561762e+00	1.800281482415e-01	0.000000000000e+00	-1.223940309209e+00	-1.559944546139e-01	3.919171379745e-03	-1.064824814315e+00
