slug	name	cluster_z	aperture_kpc	weight_power	catalog_rows	member_count_including_bcg	effective_member_count	eight_sector_footprint_kpc	concentration_c20	centroid_shift	quadrupole_amplitude	m3_aperture_amplitude	m4_aperture_amplitude	multipole_energy	position_angle_deg	inner_50kpc_fraction	inner_100kpc_fraction	centroid_offset	centered_quadrupole
a209	A209	2.090000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	2069	2.800000000000000e+01	2.800000000000000e+01	2.272000000000000e+02	1.785714285714286e-01	7.745811132440258e-02	1.747283432168490e-01	6.584741444501351e-02	1.319305734186535e-01	2.286297271025207e-01	-5.622639201450204e+01	2.500000000000000e-01	7.142857142857143e-01	3.034424041357371e-02	1.760420463948427e-01
a209	A209	2.090000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	2069	2.800000000000000e+01	1.188290327079622e+01	2.272000000000000e+02	3.078856519469642e-01	6.279474025375514e-02	2.760976720058249e-01	5.632029739002144e-02	1.293172291001043e-01	3.100400718088960e-01	-5.079679556406587e+01	3.602546565140730e-01	7.680231690480331e-01	6.516414175630146e-02	2.873058372696031e-01
a209	A209	2.090000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	2069	2.800000000000000e+01	2.740270733061136e+00	2.272000000000000e+02	6.120055490648711e-01	3.649115148554557e-02	3.864329937334464e-01	2.854043256922515e-02	6.822876717931142e-02	3.934465397075453e-01	-5.016009737834450e+01	6.286071507042245e-01	8.792191426159369e-01	4.883654957646512e-02	3.986419755414198e-01
a2261	A2261	2.240000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1728	2.300000000000000e+01	2.300000000000000e+01	2.035000000000000e+02	8.695652173913043e-02	1.042215029052882e-01	3.296911274525838e-01	9.933780514079832e-02	2.377375980911443e-02	3.451513156669239e-01	8.700235687083060e+01	2.173913043478261e-01	5.652173913043478e-01	2.123098131098276e-01	3.743355297462467e-01
a2261	A2261	2.240000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1728	2.300000000000000e+01	4.692523765902403e+00	2.035000000000000e+02	4.669877778875993e-01	5.079903495358267e-02	4.417994590306769e-01	5.329534807164655e-02	1.415644996308627e-02	4.452275386826763e-01	8.998832922597788e+01	5.424388761870786e-01	7.912338965582302e-01	5.882917682310749e-02	4.569691539314463e-01
a2261	A2261	2.240000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1728	2.300000000000000e+01	1.242454867026245e+00	2.035000000000000e+02	9.006953341405579e-01	7.940238753145581e-03	5.249069549726055e-01	1.028376410452206e-02	1.805770012381033e-03	5.250107884492546e-01	-8.807449044224899e+01	9.170468620204372e-01	9.646642632573232e-01	4.143257792230804e-03	5.256676030953957e-01
a383	A383	1.870000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1912	2.500000000000000e+01	2.500000000000000e+01	1.973000000000000e+02	4.000000000000000e-02	7.587654666170542e-02	1.515191657289831e-01	8.272149637073073e-02	3.505810888959669e-02	1.761532700347475e-01	-4.455647923684581e+01	2.000000000000000e-01	6.800000000000000e-01	6.882748059994545e-02	1.561251869075364e-01
a383	A383	1.870000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1912	2.500000000000000e+01	1.091725476355141e+01	1.973000000000000e+02	2.338859930499285e-01	5.358408158306824e-02	2.076318851754703e-01	8.348807209859793e-02	3.186173840083373e-02	2.260451908317970e-01	-6.889852207800708e+01	3.976108520965775e-01	7.503539131420964e-01	4.847334780608172e-02	2.123803453077200e-01
a383	A383	1.870000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1912	2.500000000000000e+01	2.669536775713344e+00	1.973000000000000e+02	5.972028508449913e-01	3.086723604085527e-02	2.352040734444328e-01	5.379588669459738e-02	2.274221805512517e-02	2.423471932418013e-01	-8.242025282575450e+01	6.839583875780274e-01	8.838282461199817e-01	3.243456409195221e-02	2.374218471843504e-01
a611	A611	2.880000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1123	1.900000000000000e+01	1.900000000000000e+01	2.896000000000000e+02	2.105263157894737e-01	8.744310816702669e-02	2.135688374147643e-01	1.872782634024587e-01	4.156270767127540e-02	2.870753471245879e-01	-4.886897920774714e+01	2.631578947368421e-01	6.315789473684210e-01	7.844976380819370e-02	2.321699622544005e-01
a611	A611	2.880000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1123	1.900000000000000e+01	7.637448345289307e+00	2.896000000000000e+02	3.899291849656872e-01	6.364226548833422e-02	2.188662575884933e-01	1.888980290133396e-01	8.482936272060464e-02	3.012987302586937e-01	-3.055533729148618e+01	4.362589244235416e-01	6.868209035426840e-01	7.046902618851665e-02	2.197098597816084e-01
a611	A611	2.880000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1123	1.900000000000000e+01	1.696999780233010e+00	2.896000000000000e+02	7.780215941404207e-01	2.615431692257125e-02	3.526895675797431e-01	9.133348345957729e-02	5.809243181522738e-02	3.689260995303177e-01	-1.344273945980514e+01	7.944149551074396e-01	8.726779735376554e-01	4.939132548571611e-02	3.415735765043993e-01
macs0329	MACS J0329.7-0211	4.500000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1617	1.800000000000000e+01	1.800000000000000e+01	3.834000000000000e+02	1.666666666666667e-01	7.430092068586341e-02	1.800139041100474e-01	3.494334481470791e-02	8.003849935112620e-02	2.000804947968720e-01	-2.355020519454613e+01	3.888888888888889e-01	6.666666666666666e-01	1.683891118359592e-01	2.193760933435165e-01
macs0329	MACS J0329.7-0211	4.500000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1617	1.800000000000000e+01	5.818356584382744e+00	3.834000000000000e+02	4.483549350611216e-01	5.532585538433780e-02	1.233693175984135e-01	4.476855074253603e-02	7.145656701092193e-02	1.494331041947253e-01	-1.923138539679304e+01	5.719097242524095e-01	7.509723197384953e-01	1.256923214762574e-01	1.430107628583323e-01
