slug	name	redshift	bcg_stellar_mass_1e11_msun
a383	A383	0.187	4.45
a209	A209	0.206	4.85
a2261	A2261	0.224	12.30
rxj2129	RX J2129.7+0005	0.234	5.81
a611	A611	0.288	6.58
ms2137	MS2137-2353	0.313	3.65
rxj2248	RX J2248.7-4431	0.348	8.09
macs1115	MACS J1115.9+0129	0.355	3.00
macs1931	MACS J1931.8-2635	0.352	6.92
rxj1532	RX J1532.9+3021	0.362	3.34
macs1720	MACS J1720.3+3536	0.387	6.59
macs0416	MACS J0416.1-2403	0.397	3.14
macs0429	MACS J0429.6-0253	0.399	11.90
macs1206	MACS J1206.2-0847	0.439	3.13
macs0329	MACS J0329.7-0211	0.450	8.47
rxj1347	RX J1347.5-1145	0.451	4.52
macs1149	MACS J1149.5+2223	0.544	4.72
macs0717	MACS J0717.5+3745	0.548	2.19
macs0647	MACS J0647.7+7015	0.584	14.70
macs0744	MACS J0744.9+3927	0.686	7.74
