case,grid,model,component,azimuth_nodes,r_kpc,sigma_hi_msun_pc2,gbar_inward,radial_rms_deviation,tangential_rms
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.05,0.0006343696440605477,664.921165784391,29.530726061218058,314.8450607564093
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.05625,0.004867749545252664,715.2240265655099,57.47441362830464,347.5335195330797
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.0625,0.01493912629419247,756.8877068079336,81.97070255227975,377.9959675350706
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.06875,0.17900151174878867,645.9439296917691,93.7820846231366,229.6453775875641
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.07500000000000001,0.4588847037726305,657.5759071368893,98.78998820802619,236.13699366033723
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.08125,0.8084530286299532,671.7603826998005,110.4824364644829,257.9453240799919
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.08750000000000001,1.212390685603328,682.8629633033637,123.07236646559124,283.08525896580335
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.09375,1.6620850612717053,690.3589246831808,135.68977670646507,307.90833218914764
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.1,2.09459708429865,697.5968900499421,149.98444644001628,333.0012472178015
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.10625000000000001,2.5194518657313836,704.9746698397109,167.18124389920143,356.23522211411125
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.1125,2.9538532538695046,713.0756766892324,187.56196064547044,376.1604136486136
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.11875000000000001,3.403329624231283,722.0869879089196,208.85505046811815,392.37906114106244
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.125,3.8659339009553095,731.3906933506796,228.5366870745343,404.51079405646806
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.13125,4.368839793182593,755.2400781391644,257.26843764715863,413.88869636262314
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.1375,4.900040757221339,782.7064718316267,279.25226767142715,421.191630565644
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.14375000000000002,5.433234151173483,807.0071655239656,292.3085497172387,425.3384415677295
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.15000000000000002,5.958073179042158,827.6921096270554,299.4105016420169,426.32882393934887
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.15625,6.469632525329218,845.4041061101879,302.9639133308866,424.735741482871
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.1625,6.967716683537841,866.7824371611518,302.44961248219323,422.2254756409755
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.16875,7.435682137647832,888.0954136505954,299.4721975649017,418.60051940777953
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.17500000000000002,7.866417610618053,907.5033707085308,295.54894247374074,414.1542820301256
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.18125000000000002,8.259666797104895,925.0998617146385,291.29050318310493,409.5192459686363
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.1875,8.616919548495572,941.2402953275927,286.82325523265115,405.3368713946852
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.19375,8.915513341146278,956.6874205715646,282.1770514319222,401.9694776630324
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.2,9.164031613961557,971.6540608381722,277.41030938444874,399.6223048063144
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.20625000000000002,9.372638827563625,986.459417813942,272.021528740436,398.7036368911726
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.21250000000000002,9.545575606671425,1001.5140686682893,265.5897167470608,399.35900771705974
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.21875,9.686565394341788,1017.0219292601696,257.86024334991095,401.52958316520784
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.225,9.766264937897256,1032.0320213983266,251.06227806192658,404.4429765871614
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.23125,9.790624499595548,1047.5638163514946,243.6325062530868,408.5908641155604
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.23750000000000002,9.774704989125127,1063.9321800437037,235.41142238328203,413.6341246704836
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.24375000000000002,9.72862848823678,1081.1711051648958,227.309376008716,419.2196552667665
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.25,9.66096666028073,1099.5685227911233,220.76019725452014,425.04096470993284
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.25625000000000003,9.527264535641972,1118.7783276493903,218.6711157728204,430.57448036739515
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.2625,9.347772364240443,1139.146374756158,221.45171538707478,436.076283110275
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.26875,9.144986940117283,1160.7932160122784,229.243352288701,441.16749059596185
f4-stars-h0p1,nf96,newton,stellar_luminosity,512,0.275,8.928021202779084,1183.8254845711226,241.93794300791333,445.5147040944808
