model,core,q,logpdf
selected,validation_r02_c07,0.9943762448858737,0.09618628094583942
selected,validation_r02_c08,1.0045911900163071,0.09107880838062285
selected,validation_r03_c05,0.9620657951607596,0.11234150580839655
selected,validation_r03_c06,0.9861773819280182,0.10028571242476726
selected,validation_r04_c04,0.9847413243594275,0.10100374120906258
selected,validation_r04_c05,1.0248845131201854,0.08093214682868369
selected,validation_r05_c03,0.9788867737996968,0.10393101648892791
selected,validation_r05_c04,0.981889892415418,0.10242945718106737
selected,validation_r06_c03,1.0308901711548542,0.07792931781134943
selected,validation_r07_c02,0.9917671100215325,0.0974908483780101
selected,validation_r08_c02,1.0238902497570237,0.0814292785102645
selected,validation_r09_c02,0.9926633948373249,0.09704270597011401
selected,validation_r10_c01,0.9885669095037908,0.099090948636881
selected,validation_r10_c02,1.0008056390376001,0.09297158386997623
selected,validation_r11_c02,0.9710426431177305,0.1078530818299112
selected,validation_r12_c02,1.0369040463651606,0.07492238020619602
selected,validation_r13_c02,0.984355310384714,0.10119674819641936
selected,validation_r14_c02,0.9715421278786955,0.10760333944942867
selected,validation_r14_c03,0.9437909428907097,0.12147893194342158
selected,validation_r15_c03,0.999332188349786,0.09370830921388333
selected,validation_r16_c04,0.9751475050183114,0.10580065087962062
selected,validation_r17_c05,0.9607049331675794,0.11302193680498666
selected,validation_r17_c06,0.9881437354972145,0.09930253564016917
selected,validation_r18_c06,0.9911979372213909,0.09777543477808089
selected,validation_r18_c07,1.0225100423965292,0.08211938219051176
selected,validation_r18_c08,0.981447757633992,0.10265052457178035
selected,validation_r19_c08,1.0438773510743595,0.07143572785159655
uniform_0.1,validation_r02_c07,1.0043657819883607,0.09410987191956562
uniform_0.1,validation_r02_c08,1.0153968302387304,0.08859434779438084
uniform_0.1,validation_r03_c05,0.9770782610380245,0.10775363239473376
uniform_0.1,validation_r03_c06,0.9955685333342653,0.09850849624661336
uniform_0.1,validation_r04_c04,0.993837254313063,0.09937413575721447
uniform_0.1,validation_r04_c05,1.0353975751459796,0.07859397534075614
uniform_0.1,validation_r05_c03,0.9863286335348411,0.10312844614632542
uniform_0.1,validation_r05_c04,0.9930609871450385,0.09976226934122677
uniform_0.1,validation_r06_c03,1.045341877167967,0.07362182432976255
uniform_0.1,validation_r07_c02,1.0073748974894183,0.09260531416903679
uniform_0.1,validation_r08_c02,1.0326518364614838,0.07996684468300404
uniform_0.1,validation_r09_c02,1.0026771120463032,0.09495420689059447
uniform_0.1,validation_r10_c01,0.9975317533004159,0.0975268862635381
uniform_0.1,validation_r10_c02,1.0147447663304388,0.08892037974852654
uniform_0.1,validation_r11_c02,0.9870093301281158,0.10278809784968818
uniform_0.1,validation_r12_c02,1.045009796810896,0.07378786450829793
uniform_0.1,validation_r13_c02,0.9909163573894302,0.1008345842190309
uniform_0.1,validation_r14_c02,0.9833066928455525,0.10463941649096976
uniform_0.1,validation_r14_c03,0.9596457916380121,0.11646986709474004
uniform_0.1,validation_r15_c03,1.0078936679619215,0.09234592893278523
uniform_0.1,validation_r16_c04,0.9870464610878419,0.10276953236982499
uniform_0.1,validation_r17_c05,0.968890913999624,0.11184730591393396
uniform_0.1,validation_r17_c06,0.9978908447153452,0.09734734055607341
uniform_0.1,validation_r18_c06,0.9999890839011303,0.09629822096318082
uniform_0.1,validation_r18_c07,1.0327670286046662,0.0799092486114128
uniform_0.1,validation_r18_c08,0.9936555035746832,0.09946501112640434
uniform_0.1,validation_r19_c08,1.0527732193313377,0.06990615324807709
uniform_0.3,validation_r02_c07,0.9742589248314041,0.09382610302506751
uniform_0.3,validation_r02_c08,0.9812587863312235,0.09032617227515788
uniform_0.3,validation_r03_c05,0.9407644232761866,0.11057335380267633
uniform_0.3,validation_r03_c06,0.9620188658566875,0.09994613251242586
uniform_0.3,validation_r04_c04,0.963399681911977,0.09925572448478119
uniform_0.3,validation_r04_c05,1.002213292842329,0.0798489190196051
uniform_0.3,validation_r05_c03,0.9552713024544071,0.10331991421356605
uniform_0.3,validation_r05_c04,0.9614262822776497,0.10024242430194465
uniform_0.3,validation_r06_c03,1.0126107628673386,0.07465018400710033
uniform_0.3,validation_r07_c02,0.9706843443795462,0.09561339325099648
uniform_0.3,validation_r08_c02,1.002717013971083,0.07959705845522802
uniform_0.3,validation_r09_c02,0.9699048360634769,0.09600314740903104
uniform_0.3,validation_r10_c01,0.9651842803339084,0.09836342527381553
uniform_0.3,validation_r10_c02,0.9776319949038436,0.09213956798884786
uniform_0.3,validation_r11_c02,0.9481553819442573,0.10687787446864092
uniform_0.3,validation_r12_c02,1.0130946367220848,0.07440824707972712
uniform_0.3,validation_r13_c02,0.9622661155510078,0.0998225076652656
uniform_0.3,validation_r14_c02,0.9531977821250464,0.10435667437824633
uniform_0.3,validation_r14_c03,0.9238387759839854,0.11903617744877691
uniform_0.3,validation_r15_c03,0.9788566308868072,0.09152724999736611
uniform_0.3,validation_r16_c04,0.954850910356732,0.10353011026240361
uniform_0.3,validation_r17_c05,0.9388350930830778,0.11153801889923069
uniform_0.3,validation_r17_c06,0.9660665355344438,0.09792229767354771
uniform_0.3,validation_r18_c06,0.9680353704471794,0.09693788021717985
uniform_0.3,validation_r18_c07,1.000129124728731,0.08089100307640416
uniform_0.3,validation_r18_c08,0.9616942266432226,0.10010845211915838
uniform_0.3,validation_r19_c08,1.020538290872496,0.07068642000452166
uniform_0.6,validation_r02_c07,0.9560767004652603,0.08571358641834773
uniform_0.6,validation_r02_c08,0.9597988703644813,0.0838525014687373
uniform_0.6,validation_r03_c05,0.9159880262973891,0.10575792350228341
uniform_0.6,validation_r03_c06,0.9382639628217269,0.09461995524011453
uniform_0.6,validation_r04_c04,0.9429505188832726,0.09227667720934155
uniform_0.6,validation_r04_c05,0.9790247921480935,0.07423954057693108
uniform_0.6,validation_r05_c03,0.9329048763583501,0.09729949847180282
uniform_0.6,validation_r05_c04,0.9422515966452572,0.09262613832834944
uniform_0.6,validation_r06_c03,0.9945082714035445,0.06649780094920556
uniform_0.6,validation_r07_c02,0.9479849658907077,0.08975945370562405
uniform_0.6,validation_r08_c02,0.9847855396315616,0.07135916683519716
uniform_0.6,validation_r09_c02,0.9482477990693097,0.08962803711632307
uniform_0.6,validation_r10_c01,0.9415651685644487,0.09296935236875349
uniform_0.6,validation_r10_c02,0.9522157557877824,0.0876440587570867
uniform_0.6,validation_r11_c02,0.9218751790235882,0.10281434713918375
uniform_0.6,validation_r12_c02,0.9902028603677916,0.0686505064670821
uniform_0.6,validation_r13_c02,0.9438892398165665,0.09180731674269453
uniform_0.6,validation_r14_c02,0.9344825444646943,0.09651066441863076
uniform_0.6,validation_r14_c03,0.9011398559588273,0.11318200867156432
uniform_0.6,validation_r15_c03,0.9612021134184536,0.08315087994175109
uniform_0.6,validation_r16_c04,0.9358632560899814,0.09582030860598724
uniform_0.6,validation_r17_c05,0.9188101923931166,0.10434684045441966
uniform_0.6,validation_r17_c06,0.9441806083356102,0.09166163248317283
uniform_0.6,validation_r18_c06,0.9461376637227131,0.09068310478962131
uniform_0.6,validation_r18_c07,0.9800988597579873,0.07370250677198432
uniform_0.6,validation_r18_c08,0.9428255730113361,0.09233915014530993
uniform_0.6,validation_r19_c08,0.9991756170862568,0.06416412810784945
uniform_1.0,validation_r02_c07,1.0110446466650906,0.04741351309349963
uniform_1.0,validation_r02_c08,1.012611917723019,0.04662987756453561
uniform_1.0,validation_r03_c05,0.9456057673034297,0.08013295277433023
uniform_1.0,validation_r03_c06,0.9761413495017507,0.06486516167516972
uniform_1.0,validation_r04_c04,0.9886601473929459,0.05860576272957201
