model,side,q,trace_ratio,q_pass
selected,1,1.0111324097387018,1.0418902387714413,True
selected,2,1.1838184399689542,1.2213251295426462,True
selected,4,1.1520369936087742,1.189323584344523,True
selected,8,1.1200486604949274,1.1378940992310538,True
selected,12,1.1804686931904331,1.1855258203683063,True
selected,24,1.1660826708317389,1.0309924046517662,True
uniform_0.1,1,1.0486619519564524,1.0418902387714413,True
uniform_0.1,2,1.2452888655543253,1.2213251295426462,False
uniform_0.1,4,1.2380216705297813,1.189323584344523,False
uniform_0.1,8,1.2808692983703875,1.1378940992310538,False
uniform_0.1,12,1.4489291305619925,1.1855258203683063,False
uniform_0.1,24,4.2242767165371475,1.0309924046517662,False
uniform_0.3,1,1.0184021545567772,1.0418902387714413,True
uniform_0.3,2,1.2039896905470906,1.2213251295426462,False
uniform_0.3,4,1.187335530195229,1.189323584344523,True
uniform_0.3,8,1.1934888556389762,1.1378940992310538,True
uniform_0.3,12,1.3089452377935227,1.1855258203683063,False
uniform_0.3,24,1.894293623898307,1.0309924046517662,False
uniform_0.6,1,0.9966637087109389,1.0418902387714413,True
uniform_0.6,2,1.1733858553260081,1.2213251295426462,True
uniform_0.6,4,1.1490102611642932,1.189323584344523,True
uniform_0.6,8,1.1266367184370494,1.1378940992310538,True
uniform_0.6,12,1.20408509896084,1.1855258203683063,False
uniform_0.6,24,1.2711253128485411,1.0309924046517662,False
uniform_1.0,1,1.044519443894163,1.0418902387714413,True
uniform_1.0,2,1.2265592281272872,1.2213251295426462,False
uniform_1.0,4,1.1976151226839467,1.189323584344523,True
uniform_1.0,8,1.159290156997658,1.1378940992310538,True
uniform_1.0,12,1.2247689155623709,1.1855258203683063,False
uniform_1.0,24,1.1660826708317389,1.0309924046517662,True
