fold,band,alpha,core,q,logpdf
0,DC,0.1,training_r02_c14,4.62461860906486,-3.1706743300106632
0,DC,0.1,training_r03_c15,5.184761882774798,-3.450745966865633
0,DC,0.1,training_r04_c16,12.796980936339697,-7.256855493648082
0,DC,0.1,training_r05_c17,16.343757368055623,-9.030243709506047
0,DC,0.1,training_r06_c18,4.5896690992046825,-3.153199575080575
0,DC,0.1,training_r09_c18,9.027118487672121,-5.371924269314294
0,DC,0.1,training_r10_c19,6.131233202510365,-3.9239816267334167
0,DC,0.1,training_r12_c18,5.395791526549199,-3.5562607887528332
0,DC,0.1,training_r16_c16,6.116164550574305,-3.9164473007653866
0,DC,0.1,training_r18_c12,5.7960498015834565,-3.756389926269962
0,DC,0.3,training_r02_c14,1.8191493582271439,-2.0673390323204006
0,DC,0.3,training_r03_c15,2.073337042631889,-2.1944328745227732
0,DC,0.3,training_r04_c16,4.727991252701616,-3.521759979557637
0,DC,0.3,training_r05_c17,5.868442034936992,-4.091985370675324
0,DC,0.3,training_r06_c18,1.855450015263389,-2.0854893608385234
0,DC,0.3,training_r09_c18,3.691046384119115,-3.003287545266386
0,DC,0.3,training_r10_c19,2.190737469456284,-2.253133087934971
0,DC,0.3,training_r12_c18,1.944376654858768,-2.129952680636213
0,DC,0.3,training_r16_c16,2.3275347787375287,-2.3215317425755932
0,DC,0.3,training_r18_c12,2.170138601803102,-2.24283365410838
0,DC,0.6,training_r02_c14,1.1458514388633265,-1.8974494170005005
0,DC,0.6,training_r03_c15,1.3707414703329976,-2.0098944327353356
0,DC,0.6,training_r04_c16,2.640242111587616,-2.644644753362645
0,DC,0.6,training_r05_c17,3.2575830751440202,-2.953315235140847
0,DC,0.6,training_r06_c18,1.2152715295176195,-1.9321594623276468
0,DC,0.6,training_r09_c18,2.439246700700636,-2.5441470479191555
0,DC,0.6,training_r10_c19,1.2392588757925804,-1.9441531354651276
0,DC,0.6,training_r12_c18,1.1081261515430303,-1.8785867733403525
0,DC,0.6,training_r16_c16,1.429656148185997,-2.0393517716618357
0,DC,0.6,training_r18_c12,1.3184890228513,-1.9837682089944872
0,DC,1.0,training_r02_c14,1.0056756796900816,-1.8982325179627557
0,DC,1.0,training_r03_c15,1.3146135897614049,-2.052701472998417
0,DC,1.0,training_r04_c16,1.8456280767092368,-2.3182087164723333
0,DC,1.0,training_r05_c17,2.3179104959666756,-2.554349926101053
0,DC,1.0,training_r06_c18,1.1458639528056727,-1.9683266545205513
0,DC,1.0,training_r09_c18,2.3485470976422698,-2.5696682269388496
0,DC,1.0,training_r10_c19,1.0005485323174395,-1.8956689442764345
0,DC,1.0,training_r12_c18,0.8915126710204169,-1.8411510136279232
0,DC,1.0,training_r16_c16,1.3156680612561846,-2.053228708745807
0,DC,1.0,training_r18_c12,1.2360522301505719,-2.0134207931930006
0,low,0.1,training_r02_c14,1.1948891848148249,-1.7633504314373962
0,low,0.1,training_r03_c15,1.090235961518476,-1.711023819789222
0,low,0.1,training_r04_c16,1.2362821360743028,-1.7840469070671354
0,low,0.1,training_r05_c17,1.1170447240527,-1.7244282010563334
0,low,0.1,training_r06_c18,1.224865718274116,-1.7783386981670422
0,low,0.1,training_r09_c18,1.0459690881048753,-1.6888903830824213
0,low,0.1,training_r10_c19,1.261692689773452,-1.7967521839167102
0,low,0.1,training_r12_c18,1.203795347144073,-1.7678035126020206
0,low,0.1,training_r16_c16,1.2883489599088984,-1.8100803189844332
0,low,0.1,training_r18_c12,1.0818651037889975,-1.7068383909244826
0,low,0.3,training_r02_c14,1.0762883174382043,-1.7366731152297146
0,low,0.3,training_r03_c15,0.9814038306026993,-1.6892308718119624
0,low,0.3,training_r04_c16,1.1281104429775635,-1.7625841779993945
0,low,0.3,training_r05_c17,1.011490663111248,-1.7042742880662363
0,low,0.3,training_r06_c18,1.0894394821771372,-1.7432486975991817
0,low,0.3,training_r09_c18,0.9530554773645534,-1.6750566951928894
0,low,0.3,training_r10_c19,1.1441029207211288,-1.7705804168711776
0,low,0.3,training_r12_c18,1.0947130320930498,-1.7458854725571376
0,low,0.3,training_r16_c16,1.1668605260302332,-1.7819592195257294
0,low,0.3,training_r18_c12,0.9795341067923908,-1.6882960099068083
0,low,0.6,training_r02_c14,0.9853785335320883,-1.7228259793003788
0,low,0.6,training_r03_c15,0.9113354715704897,-1.6858044483195793
0,low,0.6,training_r04_c16,1.054610710706197,-1.7574420678874332
0,low,0.6,training_r05_c17,0.9372239808376664,-1.6987487029531678
0,low,0.6,training_r06_c18,0.9873870751764725,-1.7238302501225713
0,low,0.6,training_r09_c18,0.8853731731390769,-1.6728232991038734
0,low,0.6,training_r10_c19,1.0634768294016044,-1.7618751272351367
0,low,0.6,training_r12_c18,1.0188083372547947,-1.739540881161732
0,low,0.6,training_r16_c16,1.0796719157947494,-1.7699726704317096
0,low,0.6,training_r18_c12,0.9116967632643816,-1.6859850941665253
0,low,1.0,training_r02_c14,0.9728236525745056,-1.7333073022591383
0,low,1.0,training_r03_c15,0.9501917227255522,-1.7219913373346618
0,low,1.0,training_r04_c16,1.0765177450874508,-1.785154348515611
0,low,1.0,training_r05_c17,0.948233769919919,-1.7210123609318448
0,low,1.0,training_r06_c18,0.9769907013387822,-1.7353908266412768
0,low,1.0,training_r09_c18,0.9056350756950148,-1.6997130138193934
0,low,1.0,training_r10_c19,1.0996296866545754,-1.7967103192991734
0,low,1.0,training_r12_c18,1.0557466207081088,-1.7747687863259398
0,low,1.0,training_r16_c16,1.1129470011999185,-1.8033689765718446
0,low,1.0,training_r18_c12,0.9673724657474336,-1.7305817088456026
0,middle,0.1,training_r02_c14,1.0661321666227912,-1.2287446709454846
0,middle,0.1,training_r03_c15,1.0504853092397344,-1.2209212422539562
0,middle,0.1,training_r04_c16,0.9959365998912575,-1.1936468875797182
0,middle,0.1,training_r05_c17,1.0404131542465005,-1.215885164757339
0,middle,0.1,training_r06_c18,1.0352254763726252,-1.2132913258204017
0,middle,0.1,training_r09_c18,1.021759523162169,-1.2065583492151737
0,middle,0.1,training_r10_c19,1.1012551281402427,-1.2463061517042102
0,middle,0.1,training_r12_c18,1.0176705124274406,-1.2045138438478087
0,middle,0.1,training_r16_c16,1.001957136946709,-1.1966571561074437
0,middle,0.1,training_r18_c12,1.0317027692489542,-1.2115299722585657
0,middle,0.3,training_r02_c14,1.030812572269279,-1.2282564914337788
0,middle,0.3,training_r03_c15,1.014753524867454,-1.2202269677328663
0,middle,0.3,training_r04_c16,0.9550845383463835,-1.190392474472331
0,middle,0.3,training_r05_c17,1.005138067147976,-1.2154192388731275
0,middle,0.3,training_r06_c18,0.9965417723829718,-1.2111210914906256
0,middle,0.3,training_r09_c18,0.9885006539924649,-1.207100532295372
0,middle,0.3,training_r10_c19,1.0568742981054893,-1.241287354351884
0,middle,0.3,training_r12_c18,0.9787031950756153,-1.2022018028369472
0,middle,0.3,training_r16_c16,0.9665122098359904,-1.1961063102171348
0,middle,0.3,training_r18_c12,0.9902007315755048,-1.2079505710868919
0,middle,0.6,training_r02_c14,1.0047345737216065,-1.234137023131455
0,middle,0.6,training_r03_c15,0.9965201857255136,-1.2300298291334084
0,middle,0.6,training_r04_c16,0.9207506166055985,-1.1921450445734503
0,middle,0.6,training_r05_c17,0.9814722577966299,-1.2225058651689662
0,middle,0.6,training_r06_c18,0.9678883762815383,-1.2157139244114203
0,middle,0.6,training_r09_c18,0.9702915816570646,-1.2169155270991834
0,middle,0.6,training_r10_c19,1.0220218740462013,-1.242780673293752
0,middle,0.6,training_r12_c18,0.9518172747089517,-1.207678373625127
0,middle,0.6,training_r16_c16,0.9420354254816895,-1.2027874490114958
0,middle,0.6,training_r18_c12,0.9554361062805301,-1.2094877894109162
0,middle,1.0,training_r02_c14,1.0397680092509767,-1.2631325361196726
0,middle,1.0,training_r03_c15,1.0996156395806065,-1.2930563512844881
0,middle,1.0,training_r04_c16,0.9412733579174863,-1.213885210452928
0,middle,1.0,training_r05_c17,1.038184191213586,-1.2623406271009774
0,middle,1.0,training_r06_c18,1.009806671701249,-1.2481518673448093
