domain_id,samples,A_Q_min,A_Q_median,A_Q_max,L_au_min,L_au_median,L_au_max
D00_SUN_SPHERE_ONLY,601,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.602236450758e-03,3.602236450758e-03,3.602236450758e-03
D01_SUN_OBLATE_ONLY,601,3.666666667141e-07,3.666666667141e-07,3.666666667141e-07,3.602236450758e-03,3.602236450758e-03,3.602236450758e-03
D02_SUN_INNER_BARYCENTERS,601,1.456192895476e-01,2.112986287555e-01,2.853401003466e-01,4.220716593305e-03,4.252923484903e-03,4.282052538152e-03
D03_SUN_THROUGH_JUPITER,601,9.991216332588e-01,9.993498075794e-01,9.995356591847e-01,1.529045571930e-01,1.606036771465e-01,1.684363058271e-01
D04_SUN_THROUGH_SATURN,601,4.999616391105e-01,7.959791546937e-01,9.996495024006e-01,2.164664327861e-01,2.276680157000e-01,2.389936786899e-01
D05_SUN_EIGHT_PLANETS,601,5.001317671262e-01,6.482999550281e-01,9.115153133016e-01,3.289435423296e-01,3.379660019935e-01,3.472927512208e-01
D06_MOON_SPLIT,601,5.001317671262e-01,6.482999550287e-01,9.115153133001e-01,3.289435423299e-01,3.379660019939e-01,3.472927512212e-01
D07_ASTEROID_RING,601,5.001317670769e-01,6.482999318956e-01,9.115152567740e-01,3.289435574114e-01,3.379660166613e-01,3.472927654829e-01
