galaxy,partitions,previous_all_splits_pass,coarse_pixel_arcsec,extra_smoothing_sigma_arcsec,warning_dilation_radius_cells,native_positive_pixels,native_negative_pixels,native_nonfinite_pixels,support_conservation_absolute_error,annulus_direct_pixel_fraction,annulus_expanded_pixel_fraction,minimum_direct_partition_fraction,maximum_direct_partition_fraction,minimum_expanded_partition_fraction,maximum_expanded_partition_fraction
DDO154,16,True,12.00000029184,19.485598314419896,9,223065,402,0,0.0,0.04845183486238532,0.22219036697247707,0.0,0.15625,0.14835164835164835,0.4722222222222222
IC2574,16,True,12.00000029184,19.644019763948226,9,388389,484,0,0.0,0.21109839816933637,0.6278604118993135,0.10875331564986737,0.32432432432432434,0.41025641025641024,0.8386167146974063
NGC2841,16,False,12.00000029184,19.835283475319336,9,375278,5565,0,0.0,0.25559380378657487,0.4690189328743546,0.12322274881516587,0.40540540540540543,0.368,0.5882352941176471
NGC2903,16,False,12.00000029184,19.324746766055707,9,359483,1705,0,0.0,0.2615912993703492,0.44161419576416716,0.19444444444444445,0.43548387096774194,0.3333333333333333,0.47419354838709676
NGC2976,16,True,12.00000029184,20.13956882593348,9,95513,7230,0,0.0,0.0,0.001430615164520744,0.0,0.0,0.0,0.0
NGC3198,16,False,12.00000029184,19.79726308372912,9,199751,11143,0,0.0,0.11213077143676513,0.26441066819615716,0.0,0.30303030303030304,0.16708229426433915,0.4416403785488959
NGC3521,16,True,12.00000029184,19.479389715246672,9,185237,128,0,0.0,0.08890163464295957,0.26412388872956694,0.0,0.17142857142857143,0.0,0.43529411764705883
NGC4214,16,True,12.00000029184,19.405062132839724,9,333918,248,0,0.0,0.05932932072226999,0.5078819145887074,0.0,0.1891891891891892,0.2022792022792023,0.6578947368421053
NGC5055,16,True,12.00000029184,19.93119517827775,9,854453,4803,0,0.0,0.9629948364888123,1.0,0.9166666666666666,1.0,1.0,1.0
NGC6946,16,True,12.00000029184,20.221560983798962,9,752458,32429,0,0.0,0.9473532796317606,1.0,0.8126888217522659,1.0,1.0,1.0
NGC7331,16,True,12.00000029184,20.21693025241519,9,93556,9456,0,0.0,0.027212832999140648,0.146089945574334,0.0,0.02830188679245283,0.05263157894736842,0.19811320754716982
UGC04305,16,True,12.00000029184,19.531161381090563,9,289127,1526,0,0.0,0.07533657977656832,0.3311372099684904,0.006896551724137931,0.11345646437994723,0.2553191489361702,0.40359897172236503
