galaxy,split,split_sha256,role,pixels,direct_pixels,expanded_pixels,direct_pixel_fraction,native_positive_area_fraction,expanded_pixel_fraction
DDO154,9062028-forward,8cbbd76edb73555582d3e3db9017c43f2f4c26df3af77a3744e6acd66c165b6f,calibration,349,0,110,0.0,0.0,0.3151862464183381
DDO154,9062028-forward,8cbbd76edb73555582d3e3db9017c43f2f4c26df3af77a3744e6acd66c165b6f,validation,36,5,10,0.1388888888888889,0.1267361111111111,0.2777777777777778
DDO154,9062028-reverse,5d98f0c8b939eb33997fd8d37090f2bced766408fb5bb1953aada449feafb8b0,calibration,377,43,89,0.11405835543766578,0.0997181697612732,0.23607427055702918
DDO154,9062028-reverse,5d98f0c8b939eb33997fd8d37090f2bced766408fb5bb1953aada449feafb8b0,validation,32,0,12,0.0,0.0,0.375
DDO154,9062029-forward,9fbdefdeda17b12ab153c63724facd18a44307196ce2dd2b2cd02c0d73fd7d40,calibration,362,43,145,0.11878453038674033,0.10385013812154696,0.4005524861878453
DDO154,9062029-forward,9fbdefdeda17b12ab153c63724facd18a44307196ce2dd2b2cd02c0d73fd7d40,validation,32,0,5,0.0,0.0,0.15625
DDO154,9062029-reverse,b66e96b311842c7909c1c49e0353baa6170f341693b1d5747002dbb52fad1571,calibration,364,0,54,0.0,0.0,0.14835164835164835
DDO154,9062029-reverse,b66e96b311842c7909c1c49e0353baa6170f341693b1d5747002dbb52fad1571,validation,36,5,17,0.1388888888888889,0.1267361111111111,0.4722222222222222
DDO154,9062030-forward,82db53a4b571b13ca1b4ca7927300be35c0c915a839c1783bea9d1bad124f0e6,calibration,357,43,71,0.12044817927170869,0.1053046218487395,0.19887955182072828
DDO154,9062030-forward,82db53a4b571b13ca1b4ca7927300be35c0c915a839c1783bea9d1bad124f0e6,validation,34,0,14,0.0,0.0,0.4117647058823529
DDO154,9062030-reverse,3a1c217bf5208906022041003a12c3c2c1e34cfbbe6d5806e909d568cc5dd5ab,calibration,369,0,128,0.0,0.0,0.34688346883468835
DDO154,9062030-reverse,3a1c217bf5208906022041003a12c3c2c1e34cfbbe6d5806e909d568cc5dd5ab,validation,34,5,8,0.14705882352941177,0.13419117647058823,0.23529411764705882
DDO154,9062031-forward,dd3c534e2e3219007e105bdbe8d146a30d72bcf308af9d60093887e726dfd4f4,calibration,296,0,129,0.0,0.0,0.4358108108108108
DDO154,9062031-forward,dd3c534e2e3219007e105bdbe8d146a30d72bcf308af9d60093887e726dfd4f4,validation,36,5,7,0.1388888888888889,0.1267361111111111,0.19444444444444445
DDO154,9062031-reverse,0526d0d464e6e1031955d0ae13d70de005dab1d467a1e30f615c3923f0a28f07,calibration,430,43,70,0.1,0.08742732558139535,0.16279069767441862
DDO154,9062031-reverse,0526d0d464e6e1031955d0ae13d70de005dab1d467a1e30f615c3923f0a28f07,validation,32,0,15,0.0,0.0,0.46875
DDO154,9062032-forward,af6b602ed77fd85225b1b0ff03f5169657c8ace695f4114b1cffc1005f7289a9,calibration,380,0,98,0.0,0.0,0.2578947368421053
DDO154,9062032-forward,af6b602ed77fd85225b1b0ff03f5169657c8ace695f4114b1cffc1005f7289a9,validation,33,5,12,0.15151515151515152,0.13825757575757575,0.36363636363636365
DDO154,9062032-reverse,527f1d8e6a95dc8cd6ad7fa0bdc88baf8ad66e77327177b37fb4b778ba570cf5,calibration,346,43,101,0.12427745664739884,0.10865245664739884,0.29190751445086704
DDO154,9062032-reverse,527f1d8e6a95dc8cd6ad7fa0bdc88baf8ad66e77327177b37fb4b778ba570cf5,validation,35,0,10,0.0,0.0,0.2857142857142857
DDO154,9062033-forward,aa0f70d41d0475473af15bc3ed87b5e41e0d3a78c312b33de738a2e42634856e,calibration,363,43,145,0.1184573002754821,0.10356404958677685,0.39944903581267216
DDO154,9062033-forward,aa0f70d41d0475473af15bc3ed87b5e41e0d3a78c312b33de738a2e42634856e,validation,32,0,5,0.0,0.0,0.15625
DDO154,9062033-reverse,1c2719e090c641e655d337e266bcdcae04efe82c13c0e4d79c20cfabf4ce6308,calibration,363,0,54,0.0,0.0,0.1487603305785124
DDO154,9062033-reverse,1c2719e090c641e655d337e266bcdcae04efe82c13c0e4d79c20cfabf4ce6308,validation,36,5,17,0.1388888888888889,0.1267361111111111,0.4722222222222222
DDO154,9062034-forward,1061f82ee9ef2bca2c7bf66349e3260c4fc61e00bc4ca82f2380745989c2e8b8,calibration,374,0,72,0.0,0.0,0.1925133689839572
DDO154,9062034-forward,1061f82ee9ef2bca2c7bf66349e3260c4fc61e00bc4ca82f2380745989c2e8b8,validation,32,5,15,0.15625,0.142578125,0.46875
DDO154,9062034-reverse,171862646eba506a9470c89d9eb3745a489075c243592786189a2320a9288a0d,calibration,352,43,127,0.12215909090909091,0.10680042613636363,0.36079545454545453
DDO154,9062034-reverse,171862646eba506a9470c89d9eb3745a489075c243592786189a2320a9288a0d,validation,36,0,7,0.0,0.0,0.19444444444444445
DDO154,9062035-forward,94b61b1db3b985ea4e5b856e6cfeabf9d78b122b59bc6a90752b2887796d4c82,calibration,337,0,129,0.0,0.0,0.3827893175074184
DDO154,9062035-forward,94b61b1db3b985ea4e5b856e6cfeabf9d78b122b59bc6a90752b2887796d4c82,validation,34,5,7,0.14705882352941177,0.13419117647058823,0.20588235294117646
DDO154,9062035-reverse,f60ee8168ebf594c9bd6af28519a39d7ccaf25c94f6c15b9f60297af2c2db503,calibration,389,43,70,0.11053984575835475,0.09664203084832905,0.17994858611825193
DDO154,9062035-reverse,f60ee8168ebf594c9bd6af28519a39d7ccaf25c94f6c15b9f60297af2c2db503,validation,34,0,15,0.0,0.0,0.4411764705882353
IC2574,9062028-forward,be804242c5743382de64a16c4ac1c2cd77375d47c27839f269c361a00d3eb35a,calibration,378,44,247,0.1164021164021164,0.08023313492063493,0.6534391534391535
IC2574,9062028-forward,be804242c5743382de64a16c4ac1c2cd77375d47c27839f269c361a00d3eb35a,validation,39,12,21,0.3076923076923077,0.30408653846153844,0.5384615384615384
IC2574,9062028-reverse,cad86c7b95643fba3950be09634f4326e9a3c2e6391e9795eb83ba1110a8f19b,calibration,358,109,204,0.30446927374301674,0.2967004189944134,0.5698324022346368
IC2574,9062028-reverse,cad86c7b95643fba3950be09634f4326e9a3c2e6391e9795eb83ba1110a8f19b,validation,38,5,25,0.13157894736842105,0.10485197368421052,0.6578947368421053
IC2574,9062029-forward,5c552f0791bf859a2386e2efd2daadd4448c716efbba7e5fa9683b135036a76b,calibration,373,98,246,0.26273458445040215,0.2460623324396783,0.6595174262734584
IC2574,9062029-forward,5c552f0791bf859a2386e2efd2daadd4448c716efbba7e5fa9683b135036a76b,validation,39,5,20,0.1282051282051282,0.10416666666666667,0.5128205128205128
