galaxy,split,role,band,channels,pixels,mean_square,median,q05,q95,upper_to_lower_tail_ratio,above_median_plus_3_fraction,below_median_minus_3_fraction,lag,channel_pairs,pixel_pairs,product,normalized_product
DDO154,9062028-forward,calibration,band_ends,16,349,1.0,0.012830244540602092,-1.6594921299162988,1.6174114741112553,0.9594927712976111,0.00035816618911174784,0.0016117478510028654,1,14,4886,0.15393278382397757,0.15393278382397757
DDO154,9062028-forward,calibration,band_ends,16,349,1.0,0.012830244540602092,-1.6594921299162988,1.6174114741112553,0.9594927712976111,0.00035816618911174784,0.0016117478510028654,2,12,4188,0.02560792901498162,0.02560792901498162
DDO154,9062028-forward,calibration,band_ends,16,349,1.0,0.012830244540602092,-1.6594921299162988,1.6174114741112553,0.9594927712976111,0.00035816618911174784,0.0016117478510028654,3,10,3490,0.05512418236318986,0.05512418236318985
DDO154,9062028-forward,calibration,band_ends,16,349,1.0,0.012830244540602092,-1.6594921299162988,1.6174114741112553,0.9594927712976111,0.00035816618911174784,0.0016117478510028654,6,4,1396,0.03297983518561983,0.03297983518561983
DDO154,9062028-forward,calibration,band_center,41,349,1.0,0.013461083819501125,-1.6530646596902843,1.6279920076127727,0.9688004701283461,0.00027954434272136415,0.0012579495422461388,1,40,13960,0.2635881922121198,0.2635881922121199
DDO154,9062028-forward,calibration,band_center,41,349,1.0,0.013461083819501125,-1.6530646596902843,1.6279920076127727,0.9688004701283461,0.00027954434272136415,0.0012579495422461388,2,39,13611,0.14097699843846256,0.1409769984384626
DDO154,9062028-forward,calibration,band_center,41,349,1.0,0.013461083819501125,-1.6530646596902843,1.6279920076127727,0.9688004701283461,0.00027954434272136415,0.0012579495422461388,3,38,13262,0.10628747014442191,0.10628747014442193
DDO154,9062028-forward,calibration,band_center,41,349,1.0,0.013461083819501125,-1.6530646596902843,1.6279920076127727,0.9688004701283461,0.00027954434272136415,0.0012579495422461388,6,35,12215,0.10605132930445237,0.10605132930445237
DDO154,9062028-forward,validation,band_ends,16,36,1.0466621177149724,-0.032174757762706514,-1.8787074996805393,1.5355116906451647,0.848989250404329,0.0,0.003472222222222222,1,14,504,0.22863627488017182,0.21714215902832099
DDO154,9062028-forward,validation,band_ends,16,36,1.0466621177149724,-0.032174757762706514,-1.8787074996805393,1.5355116906451647,0.848989250404329,0.0,0.003472222222222222,2,12,432,0.009543456745188417,0.009059604095920848
DDO154,9062028-forward,validation,band_ends,16,36,1.0466621177149724,-0.032174757762706514,-1.8787074996805393,1.5355116906451647,0.848989250404329,0.0,0.003472222222222222,3,10,360,-0.05760799880915963,-0.05417042178248512
DDO154,9062028-forward,validation,band_ends,16,36,1.0466621177149724,-0.032174757762706514,-1.8787074996805393,1.5355116906451647,0.848989250404329,0.0,0.003472222222222222,6,4,144,0.0609262591920768,0.061941012436378694
DDO154,9062028-forward,validation,band_center,41,36,1.377784970842745,0.09055801605678633,-1.7264786996373354,2.07731205574857,1.09340335422602,0.016260162601626018,0.005420054200542005,1,40,1440,0.4756534205233812,0.3434508130043086
DDO154,9062028-forward,validation,band_center,41,36,1.377784970842745,0.09055801605678633,-1.7264786996373354,2.07731205574857,1.09340335422602,0.016260162601626018,0.005420054200542005,2,39,1404,0.36616076746345805,0.26723090936905686
DDO154,9062028-forward,validation,band_center,41,36,1.377784970842745,0.09055801605678633,-1.7264786996373354,2.07731205574857,1.09340335422602,0.016260162601626018,0.005420054200542005,3,38,1368,0.3767516772075884,0.2738113758351417
