model,x,y,z,gx,gy,gz
newton,0.5,0.0,0.0,-1239.3915711080626,-765.2899030005501,0.0
newton,0.46193976625564337,0.1913417161825449,0.0,-1598.701803386133,-2955.287286530453,0.0
newton,0.3535533905932738,0.3535533905932738,0.0,-1173.6735994659898,-2385.0954192925,0.0
newton,0.19134171618254492,0.46193976625564337,0.0,-276.69230587646376,-2621.393830834905,0.0
newton,3.061616997868383e-17,0.5,0.0,-737.0911096106281,-3236.764247470303,0.0
newton,-0.19134171618254486,0.46193976625564337,0.0,-1803.3240192414166,-1731.212636687124,0.0
newton,-0.35355339059327373,0.3535533905932738,0.0,194.13820562499026,-206.31590355857554,0.0
newton,-0.46193976625564337,0.19134171618254495,0.0,1065.5429632777684,-1275.9761812299691,0.0
newton,-0.5,6.123233995736766e-17,0.0,2104.41588612023,-1727.9237665167896,0.0
newton,-0.4619397662556434,-0.19134171618254484,0.0,1813.8548560453808,1593.1962433489794,0.0
newton,-0.35355339059327384,-0.35355339059327373,0.0,1631.4515383148562,4597.518807419585,0.0
newton,-0.19134171618254517,-0.46193976625564326,0.0,742.39582811741,6237.533636934589,0.0
newton,-9.184850993605148e-17,-0.5,0.0,791.9068056904804,5242.769725973981,0.0
newton,0.191341716182545,-0.4619397662556433,0.0,-525.9153008936823,4831.3881433420465,0.0
newton,0.3535533905932737,-0.35355339059327384,0.0,-1134.1781211318557,3205.1791036701234,0.0
newton,0.46193976625564326,-0.1913417161825452,0.0,-1020.3634185523566,746.266460107121,0.0
newton,1.0,0.0,0.0,-2543.7519796073902,-3016.7770587385457,0.0
newton,0.9238795325112867,0.3826834323650898,0.0,-2002.2028769980304,-2046.589394153465,0.0
newton,0.7071067811865476,0.7071067811865476,0.0,-1313.1181072552836,-3237.053117491778,0.0
newton,0.38268343236508984,0.9238795325112867,0.0,-876.2416431404974,-3696.6370109955205,0.0
newton,6.123233995736766e-17,1.0,0.0,-707.7113865462452,-3362.1743564427234,0.0
newton,-0.3826834323650897,0.9238795325112867,0.0,146.15168809238634,-4438.2441445435215,0.0
newton,-0.7071067811865475,0.7071067811865476,0.0,1448.699147578652,-5145.7375314995315,0.0
newton,-0.9238795325112867,0.3826834323650899,0.0,1378.1838311093093,-762.0484246594225,0.0
newton,-1.0,1.2246467991473532e-16,0.0,3116.9351136796895,221.32412972157093,0.0
newton,-0.9238795325112868,-0.38268343236508967,0.0,3190.64380602465,1571.4577869185155,0.0
newton,-0.7071067811865477,-0.7071067811865475,0.0,1166.3219997855228,4086.964708968322,0.0
newton,-0.38268343236509034,-0.9238795325112865,0.0,761.5900780611626,3099.4654632955167,0.0
newton,-1.8369701987210297e-16,-1.0,0.0,-308.24468518246357,3261.6360831636407,0.0
newton,0.38268343236509,-0.9238795325112866,0.0,-229.84855252464328,3987.017444714641,0.0
newton,0.7071067811865474,-0.7071067811865477,0.0,-799.7913757881877,3951.742002674543,0.0
newton,0.9238795325112865,-0.3826834323650904,0.0,-20.79377460183784,4875.860295434886,0.0
newton,1.5,0.0,0.0,-2618.605284894482,-566.635639502776,0.0
newton,1.38581929876693,0.5740251485476346,0.0,-2784.648480757512,-3342.662858863945,0.0
newton,1.0606601717798214,1.0606601717798214,0.0,-1257.8260413835603,-2741.0623667243062,0.0
newton,0.5740251485476348,1.38581929876693,0.0,-1026.1808272009441,-2045.5576074174994,0.0
newton,9.184850993605148e-17,1.5,0.0,69.09780257319423,2251.479530990763,0.0
newton,-0.5740251485476346,1.38581929876693,0.0,879.9351075878344,-2550.504034856151,0.0
newton,-1.0606601717798212,1.0606601717798214,0.0,1397.5107093093015,-3394.397035532586,0.0
newton,-1.38581929876693,0.5740251485476349,0.0,3257.7842186948487,-3574.883053329416,0.0
