omega,r0,kind,time,radius,energy,internal_signed_energy,q,q_equilibrium
0.2,1.0,circular,0.0,1.0,-0.050062149654475495,-1.655457485271491e-05,0.028770275331246747,0.028770275331246747
0.2,1.0,circular,0.1,1.0000000000000002,-0.05006214965447548,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,0.2,1.0000000000000002,-0.050062149654475495,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,0.30000000000000004,1.0,-0.05006214965447551,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,0.4,1.0000000000000002,-0.05006214965447548,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,0.5,1.0000000000000002,-0.050062149654475474,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,0.6000000000000001,1.0000000000000002,-0.05006214965447548,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,0.7000000000000001,1.0000000000000002,-0.050062149654475474,-1.6554574852714896e-05,0.028770275331246747,0.028770275331246736
0.2,1.0,circular,0.8,1.0000000000000002,-0.05006214965447547,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,0.9,1.0000000000000002,-0.05006214965447545,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.0,1.0,-0.05006214965447545,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.1,1.0,-0.05006214965447546,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.2000000000000002,1.0000000000000002,-0.050062149654475446,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.3,1.0000000000000002,-0.05006214965447543,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.4000000000000001,1.0000000000000002,-0.05006214965447543,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.5,1.0000000000000002,-0.05006214965447543,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.6,1.0000000000000002,-0.05006214965447545,-1.6554574852714903e-05,0.028770275331246747,0.028770275331246743
0.2,1.0,circular,1.7000000000000002,1.0000000000000002,-0.05006214965447546,-1.6554574852714896e-05,0.028770275331246747,0.028770275331246736
0.2,1.0,circular,1.8,1.0000000000000004,-0.050062149654475425,-1.6554574852714896e-05,0.028770275331246747,0.028770275331246736
0.2,1.0,circular,1.9000000000000001,1.0000000000000004,-0.05006214965447544,-1.6554574852714896e-05,0.028770275331246747,0.028770275331246736
0.2,1.0,circular,2.0,1.0000000000000007,-0.05006214965447541,-1.6554574852714883e-05,0.028770275331246747,0.028770275331246726
0.2,1.0,circular,2.1,1.0000000000000007,-0.050062149654475425,-1.6554574852714883e-05,0.028770275331246747,0.028770275331246726
0.2,1.0,circular,2.2,1.0000000000000009,-0.0500621496544754,-1.6554574852714876e-05,0.028770275331246747,0.028770275331246722
0.2,1.0,circular,2.3000000000000003,1.000000000000001,-0.05006214965447539,-1.6554574852714876e-05,0.028770275331246747,0.028770275331246715
0.2,1.0,circular,2.4000000000000004,1.000000000000001,-0.050062149654475384,-1.6554574852714862e-05,0.028770275331246747,0.02877027533124671
0.2,1.0,circular,2.5,1.0000000000000013,-0.0500621496544754,-1.6554574852714862e-05,0.028770275331246747,0.02877027533124671
0.2,1.0,circular,2.6,1.0000000000000016,-0.050062149654475384,-1.6554574852714862e-05,0.028770275331246747,0.028770275331246705
0.2,1.0,circular,2.7,1.0000000000000016,-0.050062149654475405,-1.655457485271485e-05,0.028770275331246747,0.028770275331246698
0.2,1.0,circular,2.8000000000000003,1.0000000000000018,-0.05006214965447542,-1.655457485271485e-05,0.028770275331246747,0.028770275331246695
0.2,1.0,circular,2.9000000000000004,1.000000000000002,-0.05006214965447541,-1.6554574852714835e-05,0.028770275331246747,0.028770275331246684
0.2,1.0,circular,3.0,1.0000000000000022,-0.05006214965447539,-1.655457485271483e-05,0.028770275331246747,0.028770275331246677
