id,radius_inner_kpc,relative_image_rms
stellar_luminosity-h0p0,0.0,0.00015722823302295288
stellar_luminosity-h0p0,0.5,0.00021708248664601069
stellar_luminosity-h0p0,1.0,0.011185200029152086
stellar_luminosity-h0p0,1.5,0.12137975504557999
stellar_luminosity-h0p0,2.0,0.0018896135413687704
stellar_luminosity-h0p0,2.5,0.021295313584022986
stellar_luminosity-h0p1,0.0,0.015684474823652875
stellar_luminosity-h0p1,0.5,0.01856609283252215
stellar_luminosity-h0p1,1.0,0.08451756687717456
stellar_luminosity-h0p1,1.5,0.38476129562188605
stellar_luminosity-h0p1,2.0,0.12195702437544849
stellar_luminosity-h0p1,2.5,0.17407856307180922
stellar_luminosity-h0p2,0.0,0.035584736937401204
stellar_luminosity-h0p2,0.5,0.04220784189103244
stellar_luminosity-h0p2,1.0,0.15015714390010246
stellar_luminosity-h0p2,1.5,0.4819608634641244
stellar_luminosity-h0p2,2.0,0.36081655107495997
stellar_luminosity-h0p2,2.5,0.22680035822154893
stellar_luminosity-h0p4,0.0,0.051436649366045986
stellar_luminosity-h0p4,0.5,0.06208274252059586
stellar_luminosity-h0p4,1.0,0.18051980607394028
stellar_luminosity-h0p4,1.5,0.5612398860411901
stellar_luminosity-h0p4,2.0,0.5189880493376138
stellar_luminosity-h0p4,2.5,0.4322733158597951
atomic_helium-h0p0,0.0,0.00019202703560574803
atomic_helium-h0p0,0.5,0.0001577462965054513
atomic_helium-h0p0,1.0,0.0001490696203660214
atomic_helium-h0p0,1.5,0.0001770656578666616
atomic_helium-h0p0,2.0,0.0016119536003608899
atomic_helium-h0p0,2.5,0.00817922935396609
atomic_helium-h0p1,0.0,0.009899692172526122
atomic_helium-h0p1,0.5,0.010904928568003942
atomic_helium-h0p1,1.0,0.007194518963452825
atomic_helium-h0p1,1.5,0.013082546195514588
atomic_helium-h0p1,2.0,0.03396318396708284
atomic_helium-h0p1,2.5,0.054926245928573134
atomic_helium-h0p2,0.0,0.04841489160567742
atomic_helium-h0p2,0.5,0.052102620608031065
atomic_helium-h0p2,1.0,0.036503711018269436
atomic_helium-h0p2,1.5,0.05624751781957043
atomic_helium-h0p2,2.0,0.09450007904254183
atomic_helium-h0p2,2.5,0.12689949230309744
atomic_helium-h0p4,0.0,0.11698627659862187
atomic_helium-h0p4,0.5,0.0980802316158013
atomic_helium-h0p4,1.0,0.09358316753123344
atomic_helium-h0p4,1.5,0.1406199681115484
atomic_helium-h0p4,2.0,0.1784601874858635
atomic_helium-h0p4,2.5,0.21965467805036715
co21-h0p0,0.0,0.00013164341897116348
co21-h0p0,0.5,0.00022369827848423688
co21-h0p0,1.0,0.010654868960699204
co21-h0p0,1.5,0.09439272771384563
co21-h0p0,2.0,0.42350825863899
co21-h0p0,2.5,0.6700199571072166
co21-h0p1,0.0,0.01838584470270449
co21-h0p1,0.5,0.027404430739600943
co21-h0p1,1.0,0.025982185368160944
co21-h0p1,1.5,0.133028624145639
co21-h0p1,2.0,0.5025070480187314
co21-h0p1,2.5,0.716325182318598
co21-h0p2,0.0,0.04691315898616545
co21-h0p2,0.5,0.071279817065843
co21-h0p2,1.0,0.06733928664216346
co21-h0p2,1.5,0.2228145463642301
co21-h0p2,2.0,0.6246864834445391
co21-h0p2,2.5,0.7828337225576276
co21-h0p4,0.0,0.08775156463006954
co21-h0p4,0.5,0.14220953060002497
co21-h0p4,1.0,0.179588933514293
co21-h0p4,1.5,0.452989221136664
co21-h0p4,2.0,0.8330203705379109
co21-h0p4,2.5,0.8841094940991931
