id,component,height_kpc,unchanged_source_image_rms,refitted_source_image_rms,gross_refitted_mismatch,optimizer_converged,iterations,conditional_source_integral,fitted_cells,reported_cells,noise_likelihood,independent_prediction
stellar_luminosity-h0p0,stellar_luminosity,0.0,0.1359820298577967,0.05227956610634372,True,True,250,3494729004.450078,4996,1776,False,False
stellar_luminosity-h0p1,stellar_luminosity,0.1,0.23941261491182117,0.17151141612438384,True,True,750,3551019561.0006714,4996,1776,False,False
stellar_luminosity-h0p2,stellar_luminosity,0.2,0.2903245804485289,0.22634775610190438,True,True,1100,3571822940.6119,4996,1776,False,False
stellar_luminosity-h0p4,stellar_luminosity,0.4,0.3679642544117004,0.26958385652722383,True,True,1450,3600443622.015536,4996,1776,False,False
atomic_helium-h0p0,atomic_helium,0.0,0.052873607224387074,0.0012529929916955942,False,True,300,177040152.05583677,4572,1789,False,False
atomic_helium-h0p1,atomic_helium,0.1,0.11369256965118187,0.014982648107341116,False,True,650,181718379.08415926,4572,1789,False,False
atomic_helium-h0p2,atomic_helium,0.2,0.1732896859354158,0.053538856000712585,True,True,1050,183508318.90679944,4572,1789,False,False
atomic_helium-h0p4,atomic_helium,0.4,0.2664758023401151,0.11875972067700986,True,True,1500,187683288.8322634,4572,1789,False,False
co21-h0p0,co21,0.0,0.11706287323461181,0.0985328283404459,True,True,550,16632741.710506057,2712,1760,False,False
co21-h0p1,co21,0.1,0.1869255609130981,0.11515604070623067,True,True,600,16653303.200511495,2712,1760,False,False
co21-h0p2,co21,0.2,0.28822516802915116,0.15459385101710965,True,True,900,17605987.15262774,2712,1760,False,False
co21-h0p4,co21,0.4,0.44130989673026416,0.2636632855479299,True,True,1550,19587766.201131508,2712,1760,False,False
