model,log_acceleration_mse_gain_percent,fractional_speed_mse_gain_percent,kms_mse_gain_percent,galaxies_improving,diagnostic,algebraic_alias
local_atomic_force_share,7.443273804764683,5.86668569505453,6.368746233418143,49,False,False
combined,3.8440727535126062,3.2704153239948464,5.266227347738484,55,False,False
selected_physical,3.825151029639229,2.6211086964982644,4.621312573174652,46,False,False
global_atomic_fraction,2.424165492922614,5.513425935499794,4.758964651984687,44,False,False
central_brightness,1.4975810383746624,4.0306857034345995,4.251592400188164,50,False,False
bulge_light_share,1.0923930740644572,1.425970797124454,3.1222646670723164,46,False,False
quality,0.9855561597308826,2.2886956683439985,-0.23433950153548544,49,True,False
atomic_mass,0.711129699312707,0.5444824801211223,-1.8644993641403262,47,False,False
force_curvature,0.7046742733887279,0.3512242693445522,-0.4589797286849162,44,False,False
inclination_uncertainty,0.4784530965462386,0.8294719064742773,-1.968661775550995,47,True,False
radial_coverage,0.4295172006534176,-2.469677135740933,0.5989849966501537,44,True,False
radial_sampling,0.42686265285764025,-0.2927950502854104,-2.3429940541825234,36,True,False
distance,-0.0028203807453497376,-0.1810510652662911,0.3805128818934578,44,True,False
stellar_luminosity,-0.21250451161594075,0.5348735439247854,-4.0364603814464495,50,False,False
bulge_force_share,-0.27573475177447015,-0.3500933174535259,-0.7623155936605341,46,False,False
distance_uncertainty,-0.3715463061265023,-0.07240035967266412,0.3144100248348325,39,True,False
truncated_potential,-0.4023826533217534,0.08294225770384411,-2.1353551873772636,50,False,False
stellar_curvature,-0.4049397755782058,-0.20889852196455116,-0.054701371770216056,40,False,False
radial_profile_waviness,-0.45323392680900465,-0.5409539615174985,-0.1753995302729905,42,False,False
outer_stellar_contrast,-0.5187846300703791,-0.7700058366937101,-0.24475941541175494,43,False,False
potential_shape,-0.5735841250714246,-2.3080845554196205,-1.1831065541560326,46,False,False
stellar_slope,-0.6769612019068783,-0.5274445058851107,-0.14489210413617393,35,False,False
stellar_surface_density,-0.7623140438606457,-1.4621200641990129,-0.7718235732906864,38,False,False
exterior_light_fraction,-0.8474559637058121,-2.9376278739272177,0.03538463485640575,34,False,False
interior_light_fraction,-0.847455964001842,-2.9376278731664263,0.03538463465986297,34,False,False
morphology,-1.0200242620647115,-0.3643419493978062,0.3717824423338123,45,False,False
mass_size_compactness,-1.194691809172288,0.09611501310858861,-4.91949584713427,47,False,False
spherical_equivalent_density,-1.3039320579117275,-1.0807288836247597,-2.978952903750254,47,False,True
radius,-1.3039320583627667,-1.0807288836322648,-2.9789529052399955,47,False,False
predicted_angular_momentum,-1.3039320585131353,-1.0807288836347517,-2.978952905736598,47,False,True
predicted_speed,-1.3039320588138503,-1.0807288836398365,-2.9789529067297815,47,False,True
predicted_period,-1.3039320589488312,-1.0807288836385487,-2.9789529067702603,47,False,True
force_slope,-1.6446225157261685,-1.5790955711621812,-0.8712234541831565,39,False,False
radius_over_Rd,-1.8901007817879956,-1.55166706523715,-0.610067304654005,38,False,False
inner_stellar_contrast,-1.910530414724132,-1.8820478795780415,-1.452486715389445,40,False,False
radius_over_Re,-2.1034828501078184,-2.78496027553079,-1.8626103102932667,41,False,False
effective_brightness,-2.545251995277753,-0.6835568951213622,-5.9869152308913876,43,False,False
inner_force_contrast,-2.7759377104918714,-1.3155248083744908,-3.2579203840308324,46,False,False
gas_to_stellar_size,-4.3401662872665,-3.3320400665313388,-3.934022730819442,35,False,False
outer_force_contrast,-4.347077294821511,-9.386499345079425,-1.7098256141721002,39,False,False
inclination,-4.9589155788400285,-6.198146168759333,-9.013784580095162,38,True,False
