seed,family,region,galaxies,radii,mean_signed_logspeed_bias,rmse_dex,galaxies_positive_bias
9062301,clock_core_original_scale,all,102,2212,-0.03797939971955121,0.1213109705919069,27
9062301,clock_core_original_scale,inner_lt1,96,525,0.04740318142737526,0.1596903113332156,62
9062301,clock_core_original_scale,middle_1to3,102,817,-0.021405280630453983,0.09744932673610494,34
9062301,clock_core_original_scale,outer_ge3,90,870,-0.09204961476803201,0.11761976956708503,7
9062301,clock_core_mass_scale,all,102,2212,-0.024120344624412555,0.10969336943213097,37
9062301,clock_core_mass_scale,inner_lt1,96,525,0.04498319547544241,0.1565030027692806,58
9062301,clock_core_mass_scale,middle_1to3,102,817,-0.010324132554600263,0.10121392047182669,39
9062301,clock_core_mass_scale,outer_ge3,90,870,-0.06507584196925371,0.1006101751135029,16
9062302,clock_core_original_scale,all,102,2212,-0.03797939971955121,0.1213109705919069,27
9062302,clock_core_original_scale,inner_lt1,96,525,0.04740318142737526,0.1596903113332156,62
9062302,clock_core_original_scale,middle_1to3,102,817,-0.021405280630453983,0.09744932673610494,34
9062302,clock_core_original_scale,outer_ge3,90,870,-0.09204961476803201,0.11761976956708503,7
9062302,clock_core_mass_scale,all,102,2212,-0.024120344624412555,0.10969336943213097,37
9062302,clock_core_mass_scale,inner_lt1,96,525,0.04498319547544241,0.1565030027692806,58
9062302,clock_core_mass_scale,middle_1to3,102,817,-0.010324132554600263,0.10121392047182669,39
9062302,clock_core_mass_scale,outer_ge3,90,870,-0.06507584196925371,0.1006101751135029,16
9062303,clock_core_original_scale,all,102,2212,-0.03797939971955121,0.1213109705919069,27
9062303,clock_core_original_scale,inner_lt1,96,525,0.04740318142737526,0.1596903113332156,62
9062303,clock_core_original_scale,middle_1to3,102,817,-0.021405280630453983,0.09744932673610494,34
9062303,clock_core_original_scale,outer_ge3,90,870,-0.09204961476803201,0.11761976956708503,7
9062303,clock_core_mass_scale,all,102,2212,-0.024120344624412555,0.10969336943213097,37
9062303,clock_core_mass_scale,inner_lt1,96,525,0.04498319547544241,0.1565030027692806,58
9062303,clock_core_mass_scale,middle_1to3,102,817,-0.010324132554600263,0.10121392047182669,39
9062303,clock_core_mass_scale,outer_ge3,90,870,-0.06507584196925371,0.1006101751135029,16
9062301,clock_potential,all,102,2212,0.017293732801513643,0.15294706238680708,54
9062301,clock_potential,inner_lt1,96,525,0.1677065433934549,0.25416257167337186,84
9062301,clock_potential,middle_1to3,102,817,0.02725235358048585,0.10944907293658386,58
9062301,clock_potential,outer_ge3,90,870,-0.06772174699408674,0.10286151350410762,15
9062301,mond_fixed,all,102,2212,0.03022091845283256,0.10666845542291734,64
9062301,mond_fixed,inner_lt1,96,525,0.06421671352327805,0.1643385759328922,67
9062301,mond_fixed,middle_1to3,102,817,0.025037620793085854,0.10004708908259778,57
9062301,mond_fixed,outer_ge3,90,870,0.01968819311394652,0.07053614995896242,55
9062301,mond_adjusted,all,102,2212,-0.005587336130305479,0.10144485437998493,45
9062301,mond_adjusted,inner_lt1,96,525,0.04277789885588416,0.15386246238556975,62
9062301,mond_adjusted,middle_1to3,102,817,-0.006248803732493507,0.09365974865193005,43
9062301,mond_adjusted,outer_ge3,90,870,-0.02765305616421159,0.07157883880810466,26
9062302,clock_potential,all,102,2212,0.017293732801513643,0.15294706238680708,54
9062302,clock_potential,inner_lt1,96,525,0.1677065433934549,0.25416257167337186,84
9062302,clock_potential,middle_1to3,102,817,0.02725235358048585,0.10944907293658386,58
9062302,clock_potential,outer_ge3,90,870,-0.06772174699408674,0.10286151350410762,15
9062302,mond_fixed,all,102,2212,0.03022091845283256,0.10666845542291734,64
9062302,mond_fixed,inner_lt1,96,525,0.06421671352327805,0.1643385759328922,67
9062302,mond_fixed,middle_1to3,102,817,0.025037620793085854,0.10004708908259778,57
9062302,mond_fixed,outer_ge3,90,870,0.01968819311394652,0.07053614995896242,55
9062302,mond_adjusted,all,102,2212,-0.005587336130305479,0.10144485437998493,45
9062302,mond_adjusted,inner_lt1,96,525,0.04277789885588416,0.15386246238556975,62
9062302,mond_adjusted,middle_1to3,102,817,-0.006248803732493507,0.09365974865193005,43
9062302,mond_adjusted,outer_ge3,90,870,-0.02765305616421159,0.07157883880810466,26
9062303,clock_potential,all,102,2212,0.017293732801513643,0.15294706238680708,54
9062303,clock_potential,inner_lt1,96,525,0.1677065433934549,0.25416257167337186,84
9062303,clock_potential,middle_1to3,102,817,0.02725235358048585,0.10944907293658386,58
9062303,clock_potential,outer_ge3,90,870,-0.06772174699408674,0.10286151350410762,15
9062303,mond_fixed,all,102,2212,0.03022091845283256,0.10666845542291734,64
9062303,mond_fixed,inner_lt1,96,525,0.06421671352327805,0.1643385759328922,67
9062303,mond_fixed,middle_1to3,102,817,0.025037620793085854,0.10004708908259778,57
9062303,mond_fixed,outer_ge3,90,870,0.01968819311394652,0.07053614995896242,55
9062303,mond_adjusted,all,102,2212,-0.005587336130305479,0.10144485437998493,45
9062303,mond_adjusted,inner_lt1,96,525,0.04277789885588416,0.15386246238556975,62
9062303,mond_adjusted,middle_1to3,102,817,-0.006248803732493507,0.09365974865193005,43
9062303,mond_adjusted,outer_ge3,90,870,-0.02765305616421159,0.07157883880810466,26
