seed,family,galaxies,radii,mse_logspeed,rmse_dex
9062301,clock_core_original_scale,102,2212,0.0147163515859505,0.1213109705919069
9062301,clock_core_mass_scale,102,2212,0.012032635297373964,0.10969336943213097
9062302,clock_core_original_scale,102,2212,0.0147163515859505,0.1213109705919069
9062302,clock_core_mass_scale,102,2212,0.012032635297373964,0.10969336943213097
9062303,clock_core_original_scale,102,2212,0.0147163515859505,0.1213109705919069
9062303,clock_core_mass_scale,102,2212,0.012032635297373964,0.10969336943213097
9062301,clock_potential,102,2212,0.02339280389275386,0.15294706238680708
9062301,mond_fixed,102,2212,0.011378159382310904,0.10666845542291734
9062301,mond_adjusted,102,2212,0.010291058480176349,0.10144485437998493
9062302,clock_potential,102,2212,0.02339280389275386,0.15294706238680708
9062302,mond_fixed,102,2212,0.011378159382310904,0.10666845542291734
9062302,mond_adjusted,102,2212,0.010291058480176349,0.10144485437998493
9062303,clock_potential,102,2212,0.02339280389275386,0.15294706238680708
9062303,mond_fixed,102,2212,0.011378159382310904,0.10666845542291734
9062303,mond_adjusted,102,2212,0.010291058480176349,0.10144485437998493
