case,conversion,fill,stellar_msun,atomic_helium_msun,molecular_helium_msun,total_msun
nominal,nominal,zero,2099947202.0030031,178557948.10375336,102536796.12491609,2381041946.231673
nominal,nominal,annular,2103029096.8359892,185301857.96269125,106148290.56279074,2394479245.361471
nominal,low_conversion,zero,1399964801.3353357,178557948.10375336,30643180.45112435,1609165929.8902135
nominal,low_conversion,annular,1402019397.8906596,185301857.96269125,31722477.639454708,1619043733.4928055
nominal,high_conversion,zero,2799929602.6706715,178557948.10375336,245145443.6089948,3223632994.3834195
nominal,high_conversion,annular,2804038795.781319,185301857.96269125,253779821.11563766,3243120474.859648
registration_reverse,nominal,zero,2099926431.5439553,178557948.10375336,102536796.12491609,2381021175.772625
registration_reverse,nominal,annular,2103080269.7045925,185301857.96269125,106148290.56279074,2394530418.2300744
registration_reverse,low_conversion,zero,1399950954.362637,178557948.10375336,30643180.45112435,1609152082.9175148
registration_reverse,low_conversion,annular,1402053513.1363952,185301857.96269125,31722477.639454708,1619077848.7385411
registration_reverse,high_conversion,zero,2799901908.725274,178557948.10375336,245145443.6089948,3223605300.438022
registration_reverse,high_conversion,annular,2804107026.2727904,185301857.96269125,253779821.11563766,3243188705.3511195
distance_low,nominal,zero,1358146512.6203246,115482834.18099323,66315949.24838345,1539945296.0497012
distance_low,nominal,annular,1360131598.9229372,119848764.73088738,68635487.77764401,1548615851.4314685
distance_low,low_conversion,zero,905431008.4135499,115482834.18099323,19818559.545493905,1040732402.1400371
distance_low,low_conversion,annular,906754399.2819582,119848764.73088738,20511754.968031544,1047114918.9808772
distance_low,high_conversion,zero,1810862016.8270998,115482834.18099323,158548476.36395124,2084893327.3720443
distance_low,high_conversion,annular,1813508798.5639164,119848764.73088738,164094039.74425235,2097451603.0390563
distance_high,nominal,zero,3002746536.7866206,255322733.7205709,146618928.8776448,3404688199.384836
distance_high,nominal,annular,3007154066.1342645,264962574.33783358,151849917.78733477,3423966558.259433
distance_high,low_conversion,zero,2001831024.5244138,255322733.7205709,43817151.15883639,2300970909.403821
distance_high,low_conversion,annular,2004769377.4228432,264962574.33783358,45380435.2008127,2315112386.9614897
distance_high,high_conversion,zero,4003662049.0488276,255322733.7205709,350537209.2706911,4609521992.04009
distance_high,high_conversion,annular,4009538754.8456864,264962574.33783358,363043481.6065016,4637544810.790022
intrinsic_flat,nominal,zero,2103332430.3943493,179059682.1216605,102535354.597659,2384927467.113669
intrinsic_flat,nominal,annular,2106425072.74197,185999477.94366744,106331709.2455587,2398756259.931196
intrinsic_flat,low_conversion,zero,1402221620.2628996,179059682.1216605,30642749.64987511,1611924052.0344353
intrinsic_flat,low_conversion,annular,1404283381.82798,185999477.94366744,31777292.41821295,1622060152.1898603
intrinsic_flat,high_conversion,zero,2804443240.5257993,179059682.1216605,245141997.19900087,3228644919.846461
intrinsic_flat,high_conversion,annular,2808566763.65596,185999477.94366744,254218339.3457036,3248784580.945331
intrinsic_thicker,nominal,zero,2090329079.1087785,176953941.1789972,102570617.55343975,2369853637.8412156
intrinsic_thicker,nominal,annular,2093433889.437544,183178881.50930998,105697281.86384416,2382310052.810698
intrinsic_thicker,low_conversion,zero,1393552719.4058523,176953941.1789972,30653288.004476253,1601159948.5893257
intrinsic_thicker,low_conversion,annular,1395622592.9583628,183178881.50930998,31587693.43057412,1610389167.898247
intrinsic_thicker,high_conversion,zero,2787105438.8117046,176953941.1789972,245226304.03581002,3209285684.0265117
intrinsic_thicker,high_conversion,annular,2791245185.9167256,183178881.50930998,252701547.44459295,3227125614.8706284
pa_low,nominal,zero,2099879321.0981019,178620179.42258218,102510796.14266743,2381010296.6633515
pa_low,nominal,annular,2102800239.9091163,185302345.6766977,106195417.13440977,2394298002.720224
pa_low,low_conversion,zero,1399919547.3987348,178620179.42258218,30635410.34148682,1609175137.162804
pa_low,low_conversion,annular,1401866826.6060777,185302345.6766977,31736561.442467295,1618905733.7252426
pa_low,high_conversion,zero,2799839094.7974696,178620179.42258218,245083282.73189455,3223542556.9519463
pa_low,high_conversion,annular,2803733653.2121553,185302345.6766977,253892491.53973836,3242928490.4285913
pa_high,nominal,zero,2100145651.4338703,178508517.56452954,102464232.427376,2381118401.425776
pa_high,nominal,annular,2103082928.8047557,185244621.62804416,105725502.062168,2394053052.494968
pa_high,low_conversion,zero,1400097100.9559135,178508517.56452954,30621494.748411223,1609227113.2688544
pa_high,low_conversion,annular,1402055285.8698373,185244621.62804416,31596127.053061705,1618896034.5509431
pa_high,high_conversion,zero,2800194201.911827,178508517.56452954,244971957.9872898,3223674677.4636464
pa_high,high_conversion,annular,2804110571.7396746,185244621.62804416,252769016.42449364,3242124209.7922125
ellipticity_low,nominal,zero,2104993180.9905024,179274657.41053674,102532266.64266805,2386800105.0437074
ellipticity_low,nominal,annular,2108076970.9481995,186302465.39538154,106272600.84489363,2400652037.1884747
ellipticity_low,low_conversion,zero,1403328787.3270016,179274657.41053674,30641826.812751375,1613245271.5502896
ellipticity_low,low_conversion,annular,1405384647.2987998,186302465.39538154,31759627.83870385,1623446740.532885
ellipticity_low,high_conversion,zero,2806657574.654003,179274657.41053674,245134614.502011,3231066846.5665507
ellipticity_low,high_conversion,annular,2810769294.5975995,186302465.39538154,254077022.7096308,3251148782.702612
ellipticity_high,nominal,zero,2095174933.9758348,177799244.58478865,102570104.41758353,2375544282.978207
ellipticity_high,nominal,annular,2098377366.524984,184243692.3502344,105867245.9554172,2388488304.8306355
ellipticity_high,low_conversion,zero,1396783289.3172235,177799244.58478865,30653134.653530713,1605235668.555543
ellipticity_high,low_conversion,annular,1398918244.3499894,184243692.3502344,31638487.297021233,1614800423.997245
ellipticity_high,high_conversion,zero,2793566578.634447,177799244.58478865,245225077.2282457,3216590900.4474816
ellipticity_high,high_conversion,annular,2797836488.699979,184243692.3502344,253107898.37616986,3235188079.426383
pixels_one,nominal,zero,2100020154.8954458,178568886.0200347,102722368.54346438,2381311409.458945
pixels_one,nominal,annular,2103444778.6677432,185337334.70815927,106411018.48636283,2395193131.862265
pixels_one,low_conversion,zero,1400013436.596964,178568886.0200347,30698638.875058323,1609280961.4920568
pixels_one,low_conversion,annular,1402296519.1118288,185337334.70815927,31800994.030407287,1619434847.8503954
pixels_one,high_conversion,zero,2800026873.193928,178568886.0200347,245589111.0004666,3224184870.214429
pixels_one,high_conversion,annular,2804593038.2236576,185337334.70815927,254407952.2432583,3244338325.175075
pixels_two,nominal,zero,2099959824.9257429,178560256.91032046,102565856.29804383,2381085938.134107
pixels_two,nominal,annular,2102932758.5795047,185322925.33248153,106156254.03284068,2394411937.944827
pixels_two,low_conversion,zero,1399973216.617162,178560256.91032046,30651865.100564826,1609185338.6280472
pixels_two,low_conversion,annular,1401955172.3863366,185322925.33248153,31724857.527055837,1619002955.245874
pixels_two,high_conversion,zero,2799946433.234324,178560256.91032046,245214920.8045186,3223721610.949163
pixels_two,high_conversion,annular,2803910344.772673,185322925.33248153,253798860.2164467,3243032130.3216014
