case,component,radius_kpc,coverage,signed_mean,accepted,conditional_fill
nominal,stellar_luminosity,0.125,1.000034235826051,572.701060323938,True,572.701060323938
nominal,stellar_luminosity,0.375,1.0000017545268018,473.65229067118213,True,473.65229067118213
nominal,stellar_luminosity,0.625,0.999993634202063,410.45534608913283,True,410.45534608913283
nominal,stellar_luminosity,0.875,1.0000527965681167,329.997382193182,True,329.997382193182
nominal,stellar_luminosity,1.125,0.9998996704442361,267.5309242997119,True,267.5309242997119
nominal,stellar_luminosity,1.375,1.0001110098055357,177.28901491370812,True,177.28901491370812
nominal,stellar_luminosity,1.625,0.9999375473075423,136.53709600425512,True,136.53709600425512
nominal,stellar_luminosity,1.875,0.9999713915733842,80.70400897542784,True,80.70400897542784
nominal,stellar_luminosity,2.125,1.0000501700481368,50.719052032031904,True,50.719052032031904
nominal,stellar_luminosity,2.375,1.0000033785919358,34.85618070659226,True,34.85618070659226
nominal,stellar_luminosity,2.625,0.9837572266900787,24.283825712328067,True,24.283825712328067
nominal,stellar_luminosity,2.875,0.9700963638187095,17.30504271890929,True,17.30504271890929
nominal,stellar_luminosity,3.125,0.9927913121805689,14.126752739936478,True,14.126752739936478
nominal,stellar_luminosity,3.375,0.9995130065111845,13.617275430054745,True,13.617275430054745
nominal,stellar_luminosity,3.625,0.9964515485236558,10.257080608140395,True,10.257080608140395
nominal,stellar_luminosity,3.875,0.9972260798714715,7.650592802003192,True,7.650592802003192
nominal,stellar_luminosity,4.125,0.9971147402391558,5.150565068470217,True,5.150565068470217
nominal,stellar_luminosity,4.375,0.9971514460404508,4.10717063294241,True,4.10717063294241
nominal,stellar_luminosity,4.625,0.994672561920433,3.2922902623528114,True,3.2922902623528114
nominal,stellar_luminosity,4.875,0.9972153230812609,2.468372828842349,True,2.468372828842349
nominal,stellar_luminosity,5.125,0.9984186108893284,3.1149222197012847,True,3.1149222197012847
nominal,stellar_luminosity,5.375,0.9990011892951359,2.4403272827814195,True,2.4403272827814195
nominal,stellar_luminosity,5.625,0.9978923668003211,3.268943084706755,True,3.268943084706755
nominal,stellar_luminosity,5.875,0.994456732752388,2.2973298961752406,True,2.2973298961752406
nominal,stellar_luminosity,6.125,0.9074564169122962,3.0192058873305707,True,3.0192058873305707
nominal,stellar_luminosity,6.375,0.7823451600361233,2.678686736690989,True,2.678686736690989
nominal,stellar_luminosity,6.625,0.5821999540663516,3.793742317893475,True,3.793742317893475
nominal,stellar_luminosity,6.875,0.4529854961242721,1.0120560716823024,True,1.0120560716823024
nominal,stellar_luminosity,7.125,0.36501099752148797,0.18505311190227655,True,0.18505311190227655
nominal,stellar_luminosity,7.375,0.28752818674574565,0.2921096015509845,True,0.2921096015509845
nominal,stellar_luminosity,7.625,0.25878700482545575,-0.007910025090039147,True,0.0
nominal,stellar_luminosity,7.875,0.22641827730003722,-0.5654705278419929,True,0.0
nominal,stellar_luminosity,8.125,0.16387118777486015,0.4573808495762889,False,0.0
nominal,stellar_luminosity,8.375,0.0607591786867003,-0.49147449251138203,False,0.0
nominal,stellar_luminosity,8.625,0.012380372067276428,-0.7430100691203825,False,0.0
