training_background_pixels,validation_background_pixels,channels,minimum_calibration_validation_separation_arcsec,channel_correlation_jitter,spatial_nugget,channel_only_validation_mean_square,joint_validation_mean_square,joint_validation_channel_lag1,diagnostic_pass,covariance_exactly_gaussian_and_separable_established,galaxy_selection_mask_validated,cube_gravity_likelihood_admitted,galaxy,packet_sha256,packet_path
364,33,57,107.86457743408991,0.0,0.01,1.0792454254583796,1.0443611292771187,0.002019546027035957,False,False,False,False,DDO154,87c06770630845d547c2c7d506f0360c1e25652e3b96b187b56893757a626e81,work/private/conditional-cube-pilot-001/DDO154.npz
373,40,83,107.3468140732757,0.0,0.01,0.8690903439100258,0.8911696101485601,-0.11091584025294088,False,False,False,False,IC2574,ee638fd3c1732a36ebc6dab4090bc74fa9ae4084571dc80551ec55527779bb21,work/private/conditional-cube-pilot-001/IC2574.npz
360,34,132,107.67101551417915,0.0,0.01,1.4627880179469825,1.2251679937365398,0.2654642956967579,False,False,False,False,NGC2841,1731f0dcddcdbdeb3651a2a517ec047853dfa75f2941652532bf30606f5f6c90,work/private/conditional-cube-pilot-001/NGC2841.npz
361,36,87,107.89430309702321,0.0,0.01,0.9865881251073799,0.9466545532601703,-0.09456374394314956,False,False,False,False,NGC2903,37b9f6aa70c45edf88d3e1fa2d3988a2b43828941e8ca7f0b929104274116da0,work/private/conditional-cube-pilot-001/NGC2903.npz
359,34,42,107.34405668402404,0.0,0.01,1.1457074730966605,1.0720704762679114,0.01962253928840854,False,False,False,False,NGC2976,f7c55d69b4ec875257ed12565908ca7825a5c3bc51b57e951d7bbebdcdd13bff,work/private/conditional-cube-pilot-001/NGC2976.npz
357,34,72,107.72831107532448,0.0,0.01,1.008472075141336,0.9845903979813082,-0.043667440505836735,False,False,False,False,NGC3198,5aec3f25cebccb853a79141b1e0e9357badc0e7c6addb9f391a4abbc908c3cbb,work/private/conditional-cube-pilot-001/NGC3198.npz
361,37,109,108.00019175049928,0.0,0.01,1.1277884519776173,1.055518875176185,0.04310187652247206,False,False,False,False,NGC3521,ef122a4633694a0c298de3bce188ea7f706d6abb1806dd3950e8b1c9bbf0dfeb,work/private/conditional-cube-pilot-001/NGC3521.npz
360,38,102,107.80344145855214,0.0,0.01,1.113474243804726,1.0491185036893373,0.05504047370867114,False,False,False,False,NGC4214,817434f14feb96bc25d27d93dd774c468e422505c5cdbfdc7f85a5c31953ebe9,work/private/conditional-cube-pilot-001/NGC4214.npz
361,38,87,107.75972370806525,0.0,0.01,1.0705946204706005,0.9038099183719814,-0.06682887074253825,False,False,False,False,NGC5055,14d2fcb32a0d36c440326cf38b8f6616f84a51c77ec4eed76e14861ab1da2b42,work/private/conditional-cube-pilot-001/NGC5055.npz
365,42,115,107.55539031177508,0.0,0.01,1.077939347498765,0.914719799097918,-0.0019602311484855357,False,False,False,False,NGC6946,a84114b53301d2fe58f21e72a171f158a4a356f4cf663b362754d8c8287defdb,work/private/conditional-cube-pilot-001/NGC6946.npz
357,34,116,107.81745195602032,0.0,0.01,1.0228591393479014,0.9321879137713233,0.05019912207126988,False,False,False,False,NGC7331,e3a3ab50101b13d76941fc5dd9a657cc08d4ad55efb2f11980c94c2abba2ff16,work/private/conditional-cube-pilot-001/NGC7331.npz
477,44,54,107.1743858541801,0.0,0.01,1.054139488746935,0.9839838222064894,-0.06331733067018432,True,False,False,False,UGC04305,31f9266a8bf7118c096b8ae759b1bb9c4bdea5d18ba3db507acd0aa7743aa7e9,work/private/conditional-cube-pilot-001/UGC04305.npz
