id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc	obj_type	z_bibcode
PSZ1 G180.25+21.03	109.367170	37.743340	0.546000		SUN		1.005	0.3853	GClstr	2024ApJS..272....7B
WISEA J071728.68+374726.5	109.369505	37.790715	0.559400	5.0E-4	SLS		2.187	0.8380	G	2014ApJS..211...21E
MACS J0717:[CJ2023] 001.1	109.395271	37.741219	2.963000		SLS		1.076	0.4122	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 01973	109.393808	37.740119	2.963000		SLS		1.091	0.4180	G_Lens	2023ApJ...951..140C
MACS J0717:[CJ2023] 001.3	109.390929	37.738300	2.963000		SLS		1.125	0.4311	G_Lens	2023ApJ...951..140C
MACS J0717:[CJ2023] 001.4	109.384308	37.736981	2.963000		SLS		1.122	0.4299	G_Lens	2023ApJ...951..140C
MACS J0717:[CJ2023] 001.5	109.405767	37.761375	2.963000		SLS		1.195	0.4580	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 01897	109.398521	37.741511	1.855000		SLS		1.162	0.4452	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 02043	109.394400	37.739189	1.855000		SLS		1.153	0.4419	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 00923	109.407092	37.753850	1.855000		SLS		1.210	0.4638	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 01131	109.381000	37.750431	1.855000		SUN		0.309	0.1186	G_Lens	2016ApJ...819..114K
GLASS MACSJ0717 01636	109.376350	37.744639	1.855000		SLS		0.702	0.2691	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 00299	109.390950	37.763269	1.855000		SLS		0.639	0.2447	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 01402	109.379871	37.746869	4.273500	3.0E-4	S1L		0.528	0.2025	G_Lens	2024ApJ...970...30M
MACS J0717+3745:[PMK2023] Az9	109.377892	37.742831	4.273800	1.0E-4	S1L		0.785	0.3006	G_Lens	2023ApJ...951L..46P
MACS J0717+3745:[GSA2023] 3958	109.364308	37.757100	2.393290	6.0E-5	SLS		0.829	0.3176	G_Lens	2023ApJ...948..108G
MACS J0717+3745:[GSA2023] 4517	109.362671	37.752750	2.393300	6.0E-5	SLS		0.917	0.3514	G_Lens	2023ApJ...948..108G
MACS J0717:[CJ2023] 006.3	109.373892	37.769781	2.393000		SLS		0.930	0.3562	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 00902	109.385158	37.751889	1.699000		SLS		0.276	0.1056	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 01690	109.377571	37.742919	1.699000		SLS		0.783	0.3001	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 00466	109.391208	37.760661	1.699000		SLS		0.546	0.2093	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 01137	109.385508	37.750639	2.551850	6.0E-5	SLS		0.347	0.1329	G_Lens	2023ApJ...948..108G
MACS J0717+3745:[GSA2023] 5970	109.377542	37.739681	2.551670	6.0E-5	SLS		0.973	0.3728	G_Lens	2023ApJ...948..108G
GLASS MACSJ0717 00307	109.396179	37.763389	2.551590	6.0E-5	SLS		0.833	0.3193	G_Lens	2023ApJ...948..108G
GLASS MACSJ0717 01007	109.388771	37.752211	1.855000		SLS		0.392	0.1503	G_Lens	2023ApJ...951..140C
GLASS MACSJ0717 00397	109.396150	37.760331	1.855000		SLS		0.744	0.2852	G_Lens	2023ApJ...951..140C
MACS J0717:[CJ2023] 015.1	109.367721	37.772011	2.405000		SLS		1.188	0.4554	G_Lens	2023ApJ...951..140C
MACS J0717:[CJ2023] 015.2	109.358708	37.760081	2.405000		SLS		1.122	0.4302	G_Lens	2023ApJ...951..140C
MACS J0717:[CJ2023] 015.3	109.356600	37.754500	2.405000		SLS		1.191	0.4564	G_Lens	2023ApJ...951..140C
MACS J0717:[CJ2023] 019.2	109.407750	37.742742	6.374000	0.002	S1L		1.457	0.5583	G	2024A&A...683A.238J
MACS gJ071731.40+374428.3	109.380629	37.741353	0.555900	3.0E-4	SLS		0.854	0.3272	G	2014ApJS..211...21E
WISEA J071841.76+375007.6	109.674017	37.835459	0.503100	3.0E-4	SLS		14.666	5.6206	G	2014ApJS..211...21E
WISEA J071835.08+375137.7	109.646174	37.860475	0.590300	3.0E-4	SLS		14.030	5.3767	G	2014ApJS..211...21E
WISEA J071809.97+374201.4	109.541545	37.700409	0.541900	3.0E-4	SLS		8.277	3.1720	G	2014ApJS..211...21E
GLASS MACSJ0717 01990	109.379629	37.739700	1.855000		SLS		0.957	0.3666	G_Lens	2023ApJ...951..140C
WISEA J071808.10+373835.1	109.533775	37.643104	0.549400	3.0E-4	SLS		9.883	3.7874	G	2014ApJS..211...21E
WISEA J071837.14+375059.1	109.654787	37.849772	0.317500	3.0E-4	SLS		14.128	5.4142	G	2014ApJS..211...21E
WISEA J071900.17+374407.2	109.750715	37.735397	-0.000047	8.943089E-6	SLS		17.551	6.7260	*	2016SDSSD.C...0000:
WISEA J071738.06+373857.5	109.408597	37.649332	0.539600	3.0E-4	SLS		6.501	2.4912	G	2014ApJS..211...21E
WISEA J071641.48+374854.8	109.172871	37.815247	0.855500	3.0E-4	SLS		10.529	4.0349	G	2014ApJS..211...21E
WISEA J071830.35+374835.9	109.626486	37.809987	0.379400	3.0E-4	SLS		12.060	4.6217	G	2014ApJS..211...21E
WISEA J071815.94+373635.5	109.566421	37.609887	0.543800	3.0E-4	SLS		12.384	4.7458	G	2014ApJS..211...21E
WISEA J071823.60+374748.1	109.598350	37.796697	0.239100	3.0E-4	SLS		10.568	4.0500	G	2014ApJS..211...21E
WISEA J071642.03+374851.9	109.175134	37.814431	0.334900	3.0E-4	SLS		10.411	3.9899	G	2014ApJS..211...21E
