ID	RAdeg	DEdeg	z	qflag	zref	Rmag_Kron
CLASHVLTJ224843.99-443151.0	342.183278	-44.530826	0.34720	3	4	17.08
CLASHVLTJ224831.44-442050.3	342.130989	-44.347294	0.45440	3	1	22.54
CLASHVLTJ224904.59-442745.4	342.269139	-44.462609	0.56610	9	1	24.29
CLASHVLTJ224854.93-442951.2	342.228860	-44.497559	0.35020	3	1	23.48
CLASHVLTJ224737.29-443821.2	341.905383	-44.639224	0.34383	3	1	21.46
CLASHVLTJ224739.66-443113.5	341.915243	-44.520407	0.47856	3	1	21.02
CLASHVLTJ224838.81-442724.4	342.161711	-44.456784	0.45670	3	1	22.17
CLASHVLTJ224908.61-443800.6	342.285895	-44.633488	0.47270	3	1	19.91
CLASHVLTJ224859.22-443348.5	342.246761	-44.563470	0.39000	3	1	23.98
CLASHVLTJ224843.22-443400.9	342.180096	-44.566917	0.60990	3	1	21.33
CLASHVLTJ224854.91-442942.9	342.228812	-44.495259	0.00000	2	1	21.04
CLASHVLTJ224841.10-442945.8	342.171255	-44.496049	0.47326	3	1	20.87
CLASHVLTJ224831.26-443109.8	342.130270	-44.519387	0.47250	3	1	22.97
CLASHVLTJ224854.42-442109.8	342.226737	-44.352735	0.33400	3	1	21.53
CLASHVLTJ224852.56-444123.8	342.219008	-44.689944	0.05780	3	1	21.07
CLASHVLTJ224735.51-442912.4	341.897952	-44.486766	2.39280	3	1	23.71
CLASHVLTJ224843.92-443608.9	342.182996	-44.602478	1.11894	3	1	22.87
CLASHVLTJ224906.23-443038.0	342.275945	-44.510563	0.34283	3	1	22.46
CLASHVLTJ224854.46-442111.5	342.226905	-44.353188	0.33360	3	1	21.36
CLASHVLTJ224805.79-443440.0	342.024112	-44.577764	0.34903	3	1	23.51
CLASHVLTJ224827.34-443156.8	342.113897	-44.532453	0.67980	9	1	24.76
CLASHVLTJ224804.90-443651.2	342.020423	-44.614211	0.21090	3	1	20.54
CLASHVLTJ224742.52-443712.0	341.927156	-44.619992	0.79820	3	1	22.97
CLASHVLTJ224735.02-443735.7	341.895901	-44.626588	0.80020	9	1	23.82
CLASHVLTJ224943.59-442545.9	342.431611	-44.429413	0.08250	3	1	19.61
CLASHVLTJ224738.63-443727.5	341.910974	-44.624310	0.76090	9	1	23.01
CLASHVLTJ224825.70-444147.1	342.107074	-44.696427	0.46810	3	1	22.85
CLASHVLTJ224854.45-442538.5	342.226886	-44.427348	0.40260	2	1	20.56
CLASHVLTJ224904.59-444131.5	342.269105	-44.692090	0.34703	2	1	22.64
CLASHVLTJ224802.66-443256.2	342.011081	-44.548957	0.00000	2	1	23.98
CLASHVLTJ224848.60-443058.2	342.202503	-44.516165	0.00000	2	5	21.44
CLASHVLTJ224807.55-443146.1	342.031451	-44.529461	0.35230	3	1	21.16
CLASHVLTJ224806.93-444019.3	342.028865	-44.672041	0.34870	3	1	22.72
CLASHVLTJ224846.71-443156.2	342.194628	-44.532282	0.35150	2	4	23.95
CLASHVLTJ224800.49-443843.9	342.002050	-44.645515	0.33980	3	1	22.92
CLASHVLTJ224832.41-443025.2	342.135031	-44.507005	0.29650	3	1	23.39
CLASHVLTJ224812.41-443523.4	342.051709	-44.589838	0.33390	2	1	23.09
CLASHVLTJ224905.71-443530.9	342.273793	-44.591907	0.34600	2	1	23.47
CLASHVLTJ224841.79-442850.4	342.174126	-44.480678	0.14700	3	1	22.71
CLASHVLTJ224815.18-444116.2	342.063254	-44.687842	0.56480	3	1	22.55
CLASHVLTJ224835.64-442841.2	342.148517	-44.478100	0.35090	3	1	21.41
CLASHVLTJ224840.49-443711.6	342.168693	-44.619900	0.21400	3	1	21.77
CLASHVLTJ224941.06-443508.6	342.421072	-44.585726	0.47520	3	1	20.96
CLASHVLTJ224806.63-443334.1	342.027621	-44.559467	0.34230	3	1	21.93
CLASHVLTJ224754.41-443712.2	341.976718	-44.620056	0.21089	3	1	19.94
CLASHVLTJ224845.16-443147.0	342.188149	-44.529726	0.34900	3	4	20.57
CLASHVLTJ224911.28-443154.3	342.296983	-44.531740	0.14820	3	1	18.20
CLASHVLTJ224842.38-443030.3	342.176565	-44.508425	0.35430	3	1	21.35
CLASHVLTJ224814.43-443540.2	342.060125	-44.594496	0.34130	3	1	22.32
CLASHVLTJ224904.04-444224.9	342.266843	-44.706925	0.57141	3	1	23.00
CLASHVLTJ224913.93-443138.2	342.308059	-44.527278	0.33940	3	1	22.33
CLASHVLTJ224929.34-443930.5	342.372263	-44.658484	0.13940	3	1	18.28
CLASHVLTJ224843.56-443004.0	342.181504	-44.501113	0.35270	2	1	22.37
CLASHVLTJ224846.09-442819.2	342.192048	-44.471991	0.49635	2	1	22.76
CLASHVLTJ224917.63-442954.1	342.323468	-44.498367	0.34650	3	1	19.12
CLASHVLTJ224952.53-444249.6	342.468857	-44.713775	0.35860	3	1	22.63
CLASHVLTJ224743.65-443630.6	341.931867	-44.608501	0.43218	3	1	21.32
CLASHVLTJ224842.03-443038.0	342.175143	-44.510549	0.34270	3	1	19.99
CLASHVLTJ224933.86-444027.7	342.391100	-44.674356	0.34600	3	1	21.89
CLASHVLTJ224828.28-443542.9	342.117820	-44.595260	0.34440	3	1	21.62
CLASHVLTJ224905.26-444152.8	342.271906	-44.698002	0.47270	3	1	22.59
CLASHVLTJ224922.24-442939.6	342.342655	-44.494336	0.32110	3	1	23.67
CLASHVLTJ224940.41-443420.4	342.418377	-44.572336	0.21530	3	1	23.66
CLASHVLTJ224840.79-443108.1	342.169959	-44.518919	1.92800	2	5	24.21
CLASHVLTJ224916.88-443120.6	342.320318	-44.522387	0.59470	3	1	22.55
CLASHVLTJ224858.04-443223.0	342.241841	-44.539719	0.56870	3	1	23.40
CLASHVLTJ224813.90-442759.7	342.057921	-44.466571	0.47370	3	1	22.12
CLASHVLTJ224758.47-443923.3	341.993608	-44.656486	0.41020	3	1	23.70
CLASHVLTJ224840.11-443152.6	342.167109	-44.531278	0.00000	2	5	22.47
CLASHVLTJ224903.09-443033.4	342.262855	-44.509290	0.34040	3	1	22.44
CLASHVLTJ224843.82-443136.8	342.182563	-44.526881	0.34900	3	4	22.40
CLASHVLTJ224836.06-442924.6	342.150255	-44.490155	0.05670	3	1	20.90
CLASHVLTJ224900.94-444249.7	342.253898	-44.713809	0.50335	3	1	22.67
