id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc	obj_type	z_bibcode
SSTSL2 J224837.10-443121.4	342.154623	-44.522619	2.065000		S1L		1.241	0.3666	G	2024MNRAS.527.4913L
ABELL S1063:[KCC2017] NE-091	342.192380	-44.525050	2.976000		S1L		0.586	0.1730		2017A&A...599A..28K
ABELL S1063:[GBA2017] EL03	342.197708	-44.549722	3.069500		S1L		1.336	0.3945	EmLS	2017A&A...608A.138G
6dF J2247455-443809	341.939583	-44.635806	0.082410	1.5E-4	SLS		12.100	3.5728	G	20096dF...C...0000J
Abell S1063:[CJ2023] 070.1	342.176327	-44.520671	3.713000		SLS		0.643	0.1898	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 019.2	342.175475	-44.535862	1.035000		SLS		0.393	0.1162	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 070.3	342.195692	-44.537430	3.713000		SLS		0.734	0.2167	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 015.3	342.173685	-44.519391	3.060000		SLS		0.757	0.2235	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 004.3	342.181657	-44.521385	1.258000		SLS		0.564	0.1665	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 059.2	342.173460	-44.536597	1.875000		SLS		0.484	0.1428	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 059.3	342.169528	-44.528625	1.875000		SLS		0.519	0.1534	G_Lens	2023ApJ...951..140C
WISEA J224849.49-443043.4	342.206249	-44.512076	0.353600	2.0E-4	SLS		1.549	0.4574	G	2014ApJ...792...45R
WISEA J224836.51-443118.0	342.152159	-44.521693	0.362000	2.0E-4	SLS		1.360	0.4016	G	2014ApJ...792...45R
SSTSL2 J224843.15-443117.5	342.179870	-44.521546	1.259000		SLS		0.557	0.1646	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 007.1	342.169390	-44.527251	1.837000		SLS		0.551	0.1628	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 011.3	342.165560	-44.529543	3.117000		SLS		0.677	0.1999	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 012.4	342.171290	-44.519812	6.110000		SLS		0.785	0.2318	G	2023ApJ...951..140C
WISEA J224848.50-443224.9	342.202101	-44.540264	0.364000	2.0E-4	SLS		1.056	0.3119	G	2014ApJ...792...45R
