id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
5246	3.638750	-30.542194	0.778100				9.607	2.6144
5571	3.653750	-30.535875	0.498000				9.501	2.5855
5593	3.689583	-30.535097	2.512600				10.286	2.7994
5701	3.625417	-30.535750	0.497300				9.058	2.4650
5758	3.700833	-30.532306	0.499600				10.462	2.8472
5897	3.619583	-30.528917	0.498100				8.593	2.3386
5973	3.675000	-30.529528	0.522500				9.621	2.6182
6066	3.690417	-30.526194	0.523900				9.858	2.6827
6418	3.598750	-30.519667	0.302800				7.890	2.1472
6691	3.672500	-30.514806	0.730700				8.788	2.3917
6714	3.607917	-30.514722	0.390700				7.649	2.0817
6819	3.550833	-30.509417	0.063900				7.476	2.0346
6955	3.659583	-30.511250	0.410200				8.279	2.2530
7063	3.443750	-30.510083	0.304200				10.366	2.8210
7079	3.493333	-30.508889	0.415700				8.671	2.3597
7185	3.460000	-30.506056	0.359400				9.607	2.6146
7194	3.607500	-30.505556	0.597900				7.102	1.9329
7223	3.540250	-30.506306	0.609700				7.452	2.0280
7227	3.642917	-30.506583	0.434500				7.661	2.0850
7234	3.730417	-30.505167	0.394700				10.223	2.7822
7279	3.558750	-30.505361	0.302500				7.148	1.9453
7285	3.684583	-30.504722	0.303700				8.626	2.3475
7361	3.532917	-30.504833	0.606000				7.499	2.0409
7503	3.559583	-30.500947	0.499400				6.880	1.8723
7800	3.606250	-30.495194	0.498300				6.478	1.7630
7801	3.559583	-30.495111	0.301500				6.537	1.7791
7867	3.746250	-30.494361	0.128600				10.429	2.8382
7928	3.561250	-30.491611	0.501000				6.314	1.7183
7932	3.416667	-30.491889	0.612900				10.740	2.9229
7933	3.525333	-30.491889	0.303200				6.952	1.8919
7953	3.482917	-30.493944	0.306600				8.277	2.2527
7954	3.610417	-30.492028	0.479500				6.330	1.7226
7955	3.635417	-30.492361	0.271500				6.725	1.8301
7973	3.660000	-30.492361	0.107500				7.301	1.9870
7987	3.700000	-30.491472	0.446700				8.527	2.3207
8015	3.531000	-30.491250	0.422300				6.789	1.8477
8061	3.708333	-30.487056	0.189000				8.647	2.3533
8098	3.696250	-30.490694	0.291500				8.360	2.2752
8134	3.711250	-30.490056	0.053100				8.880	2.4167
8169	3.507250	-30.477028	0.053800				6.697	1.8225
8214	3.644583	-30.488056	0.601200				6.686	1.8197
8261	3.700000	-30.487028	0.626900				8.336	2.2687
8309	3.605000	-30.487111	0.500300				5.989	1.6299
8314	3.610833	-30.486722	0.271300				6.023	1.6390
8389	3.618750	-30.484867	0.779300				6.015	1.6370
8392	3.724167	-30.482833	0.008400				9.103	2.4773
8409	3.479583	-30.483056	0.031300				7.910	2.1525
8425	3.632083	-30.482861	0.144800				6.132	1.6688
8471	3.689167	-30.481944	0.650500				7.727	2.1029
8507	3.588750	-30.481750	0.303400				5.590	1.5213
8530	3.538792	-30.482167	0.409800				6.127	1.6674
8542	3.665833	-30.481250	0.601800				6.917	1.8824
8584	3.690833	-30.482556	0.289800				7.813	2.1263
8630	3.697083	-30.478417	0.651000				7.868	2.1413
8658	3.461667	-30.478528	1.016300				8.405	2.2874
8719	3.749167	-30.478056	0.266200				9.992	2.7192
8742	3.575000	-30.476667	0.303200				5.315	1.4465
8809	3.505000	-30.477250	0.053200				6.779	1.8448
8825	3.372083	-30.475944	0.125000				12.256	3.3355
8837	3.604167	-30.474806	0.305700				5.254	1.4299
8842	3.621667	-30.475639	0.187800				5.534	1.5060
8843	3.634583	-30.474389	0.500400				5.722	1.5572
8938	3.548750	-30.473222	0.496500				5.435	1.4791
8946	3.640417	-30.473083	0.380900				5.791	1.5761
8973	3.703333	-30.473778	0.453500				7.925	2.1567
9002	3.747083	-30.471694	0.623700				9.700	2.6397
9031	3.486250	-30.472417	0.617600				7.215	1.9634
9063	3.674583	-30.469639	0.107400				6.672	1.8159
9140	3.303333	-30.468167	0.274600				15.396	4.1898
9144	3.625000	-30.469806	0.516100				5.268	1.4337
9153	3.442500	-30.469694	0.109700				8.887	2.4185
9219	3.732083	-30.469072	0.264000				8.957	2.4376
9223	3.610000	-30.468808	0.497500				4.966	1.3516
