id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
J041523.6-241513	63.848539	-24.253769	0.679400		3		15.250	4.8862
J041654.2-241515	64.225977	-24.254275	0.406700		3		15.208	4.8728
J041514.8-241510	63.811730	-24.252819	0.691000		9		16.649	5.3343
J041552.6-241518	63.969226	-24.255078	0.355300		2		11.868	3.8024
J041558.7-241512	63.994679	-24.253513	0.716500		3		11.409	3.6555
J041624.8-241459	64.103322	-24.249869	0.507700		3		11.507	3.6870
J041603.3-241513	64.013712	-24.253882	0.275200		3		11.260	3.6078
J041540.9-241458	63.920620	-24.249550	0.394400		3		12.674	4.0609
J041658.9-241511	64.245280	-24.253148	0.304800		3		15.894	5.0927
J041615.7-241514	64.065577	-24.253945	3.319000		2		11.285	3.6157
J041610.0-241515	64.041672	-24.254227	0.393700		9		11.203	3.5895
J041624.5-241511	64.102264	-24.253195	0.297900		3		11.680	3.7422
J041634.3-241509	64.142880	-24.252742	0.921400		3		12.505	4.0066
J041515.6-241437	63.814967	-24.243773	0.418000		3		16.157	5.1769
J041619.0-241514	64.079239	-24.253897	0.387600		3		11.406	3.6545
J041529.3-241512	63.872025	-24.253462	0.477000		3		14.392	4.6111
J041540.8-241508	63.919841	-24.252281	0.420200		3		12.837	4.1131
J041604.7-241511	64.019437	-24.253143	0.466400		9		11.183	3.5831
J041553.4-241503	63.972411	-24.251100	0.550100		9		11.586	3.7123
J041541.4-241511	63.922635	-24.253229	0.567500		3		12.810	4.1044
J041516.8-241503	63.820017	-24.251109	0.292100		2		16.244	5.2047
J041650.9-241510	64.212087	-24.252885	0.305400		3		14.641	4.6912
J041533.4-241453	63.889037	-24.248311	0.558900		3		13.574	4.3492
J041647.7-241507	64.198785	-24.252060	0.596300		3		14.140	4.5304
J041619.4-241507	64.080889	-24.252196	0.405700		3		11.324	3.6283
J041600.5-241505	64.002285	-24.251642	0.422200		2		11.219	3.5946
J041618.9-241505	64.078586	-24.251397	0.406200		3		11.252	3.6051
J041525.8-241507	63.857532	-24.252097	0.502700		2		14.844	4.7562
J041653.3-241501	64.222205	-24.250535	0.305400		3		14.903	4.7751
J041557.0-241506	63.987315	-24.251925	2.715100		3		11.407	3.6550
J041632.5-241506	64.135244	-24.251762	0.350900		3		12.266	3.9300
J041558.9-241458	63.995261	-24.249632	0.465100		2		11.175	3.5804
J041530.3-241502	63.876400	-24.250635	0.316500		3		14.109	4.5206
J041524.0-241455	63.849972	-24.248621	0.059300		3		14.971	4.7969
J041523.0-241341	63.845982	-24.228307	0.252000		3		14.273	4.5730
J041637.0-241456	64.154296	-24.249026	0.790500		3		12.610	4.0404
J041540.9-241502	63.920616	-24.250569	0.395800		2		12.727	4.0778
J041526.5-241503	63.860329	-24.251046	0.356300		3		14.696	4.7085
J041638.3-241438	64.159553	-24.244087	0.305500		3		12.506	4.0070
J041637.5-241459	64.156382	-24.249823	0.303200		3		12.710	4.0722
J041607.7-241459	64.032089	-24.249991	0.306000		3		10.952	3.5091
J041537.8-241504	63.907385	-24.251120	0.702200		9		13.136	4.2088
J041607.8-241455	64.032583	-24.248652	0.637900		3		10.871	3.4831
J041529.3-241457	63.872079	-24.249273	0.636000		9		14.196	4.5484
J041545.4-241454	63.939255	-24.248521	0.395100		3		12.133	3.8875
J041647.4-241454	64.197370	-24.248532	0.733400		3		13.926	4.4620
J041703.3-241456	64.263846	-24.248908	0.364000		3		16.466	5.2757
J041536.7-241445	63.902717	-24.245924	0.433000		3		13.019	4.1715
J041655.3-241457	64.230228	-24.249215	0.630200		3		15.147	4.8531
J041705.2-241457	64.271718	-24.249421	0.664500		3		16.812	5.3865
J041551.1-241456	63.962986	-24.248982	0.299900		3		11.638	3.7288
J041632.9-241500	64.136920	-24.250022	0.560200		3		12.212	3.9128
J041642.8-241449	64.178466	-24.247081	0.594300		3		13.232	4.2395
J041659.1-241447	64.246193	-24.246423	0.304900		3		15.651	5.0146
J041558.6-241455	63.994213	-24.248866	0.540300		3		11.142	3.5699
J041605.2-241443	64.021511	-24.245522	0.400700		3		10.718	3.4340
J041659.2-241449	64.246719	-24.247097	0.298200		3		15.700	5.0302
J041657.3-241456	64.238726	-24.248953	0.306100		2		15.462	4.9542
J041654.7-241457	64.228095	-24.249245	0.342700		3		15.067	4.8276
J041638.0-241444	64.158345	-24.245749	0.308100		3		12.556	4.0230
J041551.7-241450	63.965239	-24.247497	0.419600		3		11.511	3.6882
J041618.4-241456	64.076793	-24.249016	0.391000		9		11.092	3.5541
J041649.5-241444	64.206258	-24.245662	0.169300		3		14.105	4.5193
J041528.8-241347	63.869796	-24.229956	0.385400		3		13.412	4.2974
J041532.6-241453	63.886025	-24.248065	0.467200		3		13.662	4.3774
J041631.8-241447	64.132629	-24.246641	0.624500		9		11.927	3.8214
J041610.6-241452	64.044248	-24.247979	0.305100		3		10.832	3.4705
J041532.9-241452	63.887124	-24.248027	0.312700		3		13.624	4.3651
J041553.6-241457	63.973374	-24.249193	0.465400		3		11.461	3.6722
J041622.5-241446	64.093774	-24.246120	0.508400		3		11.140	3.5692
J041625.6-241455	64.106504	-24.248717	0.587900		3		11.497	3.6838
J041555.9-241456	63.983034	-24.249087	0.297000		3		11.303	3.6214
J041546.0-241454	63.941508	-24.248431	0.432900		3		12.074	3.8684
J041651.9-241438	64.216427	-24.244064	0.536700		2		14.404	4.6150
J041609.3-241425	64.038857	-24.240290	0.207900		3		10.365	3.3210
J041530.5-241452	63.876954	-24.248048	0.351400		3		13.969	4.4759
J041642.0-241452	64.175100	-24.247857	0.588900		3		13.164	4.2177
J041549.2-241447	63.954896	-24.246446	0.592500		3		11.661	3.7363
J041637.4-241443	64.156008	-24.245426	0.269300		3		12.473	3.9963
J041655.4-241450	64.230660	-24.247414	0.407000		3		15.086	4.8336
J041548.6-241449	63.952460	-24.247037	0.571400		3		11.747	3.7636
J041531.2-241448	63.879931	-24.246719	0.465500		3		13.805	4.4232
J041607.3-241450	64.030221	-24.247259	0.463400		3		10.792	3.4577
J041702.8-241449	64.261562	-24.247094	0.298700		3		16.300	5.2226
J041547.5-241450	63.947722	-24.247499	0.636100		3		11.878	3.8056
J041626.0-241406	64.108299	-24.235194	0.298500		3		10.768	3.4501
J041624.7-241449	64.102763	-24.247179	0.385600		3		11.344	3.6348
J041614.2-241446	64.059290	-24.246275	0.711900		3		10.787	3.4561
J041636.0-241441	64.150114	-24.244796	0.304000		3		12.276	3.9333
J041613.4-241443	64.055735	-24.245490	0.406200		3		10.720	3.4349
J041658.4-241444	64.243366	-24.245572	0.308900		3		15.504	4.9674
J041700.3-241423	64.251135	-24.239756	0.306100		3		15.581	4.9923
J041600.8-241449	64.003255	-24.247202	2.551600		2		10.947	3.5076
J041616.4-241445	64.068414	-24.245884	0.394400		2		10.828	3.4695
J041705.1-241443	64.271194	-24.245404	0.435900		2		16.634	5.3297
J041612.0-241445	64.050041	-24.245898	0.794300		3		10.721	3.4352
J041655.5-241436	64.231089	-24.243417	0.303000		3		14.932	4.7843
J041612.2-241440	64.051016	-24.244671	0.215000		3		10.651	3.4127
J041543.3-241447	63.930319	-24.246568	0.403800		3		12.256	3.9269
J041701.5-241443	64.256343	-24.245436	0.432800		3		16.020	5.1330
J041528.8-241423	63.869932	-24.239960	0.384600		3		13.849	4.4374
J041622.4-241417	64.093298	-24.238325	0.560200		3		10.683	3.4229
J041619.2-241410	64.079838	-24.236260	0.387900		3		10.378	3.3250
J041626.5-241444	64.110291	-24.245640	0.587100		3		11.393	3.6504
J041555.4-241445	63.981034	-24.245888	0.546200		3		11.148	3.5718
J041522.9-241427	63.845321	-24.240966	0.382500		3		14.822	4.7490
J041635.1-241429	64.146132	-24.241616	0.350300		3		12.002	3.8456
J041601.2-241441	64.004910	-24.244921	0.687900		3		10.797	3.4594
