id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
36034	3.592037	-30.405741	0.318500		a	s	1.071	0.2914
37824	3.586257	-30.400172	0.299700		a	s	0.694	0.1888
835	3.589290	-30.369074	0.300200		b	s	1.183	0.3219
40689	3.594796	-30.391654	0.300600		a	s	0.479	0.1302
736	3.575038	-30.428344	0.317000		b	s	2.454	0.6677
938	3.610666	-30.395618	0.303300		b	s	1.332	0.3624
814	3.587469	-30.371246	0.303800		b	s	1.044	0.2841
947	3.612408	-30.409245	0.303100		b	s	1.835	0.4993
34423	3.579662	-30.409189	0.302700		a	s	1.281	0.3486
40059	3.585386	-30.394279	0.320200		a	s	0.343	0.0934
783	3.583084	-30.433553	0.292700		b	s	2.702	0.7352
20227	3.609542	-30.382110	0.320000		c	s	1.267	0.3448
39382	3.587646	-30.396426	0.303100		a	s	0.474	0.1291
36210	3.592510	-30.404611	0.315000		a	s	1.013	0.2758
809	3.586500	-30.367380	0.300700		b	s	1.274	0.3467
697	3.566354	-30.388260	0.302500		e	s	1.030	0.2803
36527	3.578511	-30.403375	0.315500		a	s	0.972	0.2646
38067	3.574900	-30.398381	0.317500		a	s	0.830	0.2259
740	3.575081	-30.377074	0.314200		b	s	0.902	0.2454
730	3.573503	-30.422861	0.318800		b	s	2.158	0.5874
37947	3.592998	-30.399330	0.309200		a	s	0.732	0.1992
834	3.589103	-30.419803	0.304400		b	s	1.877	0.5109
894	3.602057	-30.377689	0.301100		b	s	1.048	0.2853
41259	3.593289	-30.384378	0.296400		a	s	0.444	0.1209
40592	3.589220	-30.389839	0.315100		a	s	0.170	0.0464
41644	3.570173	-30.386449	0.296900		a	s	0.842	0.2292
37954	3.586559	-30.399391	0.322900		a	s	0.647	0.1761
35061	3.573945	-30.408829	0.313500		a	s	1.370	0.3729
39428	3.588152	-30.395075	0.300200		a	s	0.400	0.1089
41950	3.589184	-30.387396	0.316900		a	s	0.168	0.0458
38907	3.585204	-30.394649	0.300900		a	s	0.366	0.0997
642	3.556336	-30.387018	0.311500		b	s	1.551	0.4222
38117	3.582159	-30.398571	0.298600		a	s	0.634	0.1726
39072	3.598969	-30.397533	0.316200		a	s	0.848	0.2309
41856	3.585314	-30.387545	0.300800		a	s	0.080	0.0218
804	3.585629	-30.366902	0.299800		b	s	1.303	0.3546
37344	3.604341	-30.400124	0.319000		a	s	1.164	0.3167
41440	3.605429	-30.384843	0.311200		a	s	1.018	0.2771
38010	3.588385	-30.398355	0.317300		a	s	0.595	0.1619
678	3.562510	-30.402406	0.302500		b	s	1.481	0.4032
38930	3.588680	-30.396077	0.302000		a	s	0.465	0.1266
40243	3.580953	-30.390808	0.293100		a	s	0.304	0.0828
32284	3.602650	-30.416956	0.313200		a	s	1.901	0.5173
690	3.565544	-30.387093	0.299100		b	s	1.076	0.2927
40478	3.571507	-30.390436	0.296500		a	s	0.771	0.2098
20018	3.581566	-30.376517	0.313000		c	s	0.765	0.2082
902	3.604284	-30.414554	0.306100		b	s	1.815	0.4939
966	3.618050	-30.403670	0.311500		b	s	1.877	0.5109
42443	3.594708	-30.389115	0.303500		a	s	0.439	0.1194
40314	3.590342	-30.390939	0.297200		a	s	0.254	0.0691
720	3.571365	-30.422840	0.303000		b	s	2.193	0.5969
41363	3.588146	-30.385006	0.297700		a	s	0.237	0.0646
692	3.565347	-30.382948	0.303000		b	s	1.134	0.3086
768	3.580711	-30.418875	0.293400		b	s	1.838	0.5003
956	3.615142	-30.383729	0.306100		b	s	1.524	0.4147
38729	3.578864	-30.397111	0.319000		a	s	0.637	0.1735
973	3.618739	-30.392932	0.301500		b	s	1.701	0.4630
36892	3.587938	-30.400852	0.315000		a	s	0.740	0.2013
863	3.593561	-30.426049	0.296800		b	s	2.278	0.6199
35339	3.595907	-30.406213	0.316100		a	s	1.168	0.3180
950	3.613184	-30.389698	0.302600		b	s	1.396	0.3798
20132	3.595399	-30.380404	0.320000		c	s	0.683	0.1859
921	3.607012	-30.403478	0.296600		b	s	1.397	0.3801
655	3.559037	-30.410659	0.298400		b	s	1.932	0.5258
32547	3.601355	-30.415365	0.319700		a	s	1.786	0.4859
37068	3.605266	-30.400808	0.319700		a	s	1.226	0.3338
888	3.600962	-30.417843	0.304200		a	s	1.912	0.5204
41418	3.592547	-30.385314	0.316400		a	s	0.381	0.1037
931	3.609576	-30.378771	0.300900		b	s	1.344	0.3657
39503	3.581389	-30.393932	0.299800		a	s	0.407	0.1106
634	3.555379	-30.384632	0.300700		b	s	1.616	0.4397
34556	3.591721	-30.407807	0.319400		a	s	1.186	0.3228
816	3.587541	-30.373945	0.296300		b	s	0.882	0.2402
961	3.616679	-30.402709	0.294300		b	s	1.788	0.4865
41303	3.583714	-30.384680	0.302900		a	s	0.270	0.0734
33910	3.589134	-30.409573	0.317300		a	s	1.267	0.3447
42149	3.598764	-30.388018	0.302700		a	s	0.649	0.1765
33540	3.588817	-30.410722	0.322300		a	s	1.333	0.3629
787	3.583285	-30.432301	0.294200		b	s	2.626	0.7146
39646	3.578948	-30.394119	0.319100		a	s	0.502	0.1366
40884	3.590278	-30.382698	0.301900		a	s	0.411	0.1120
37229	3.594463	-30.400350	0.303600		a	s	0.823	0.2239
33328	3.569589	-30.412164	0.299000		a	s	1.655	0.4505
40270	3.594239	-30.390462	0.316300		a	s	0.428	0.1165
42269	3.595506	-30.388688	0.303200		a	s	0.479	0.1304
13996	3.573450	-30.377932	0.318400		d	s	0.922	0.2508
39710	3.584986	-30.392877	0.295400		a	s	0.264	0.0719
35693	3.587039	-30.404948	0.298700		a	s	0.981	0.2670
40551	3.589520	-30.389499	0.293900		a	s	0.177	0.0483
21367	3.597859	-30.405556	0.320800		a	s	1.181	0.3214
40832	3.588038	-30.382557	0.311600		a	s	0.375	0.1020
